# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       5.704026953442e+01 
       1.038448789942e-05       5.863831929976e+01 
       1.068772042073e-05       6.028114009875e+01 
       1.099980749152e-05       6.196997798306e+01 
       1.132100766931e-05       6.370614075957e+01 
       1.165158706163e-05       6.549093577857e+01 
       1.199181954648e-05       6.732573022053e+01 
       1.234198699926e-05       6.921193386394e+01 
       1.270237952626e-05       7.115097135447e+01 
       1.307329570505e-05       7.314432839176e+01 
       1.345504283181e-05       7.519351281458e+01 
       1.384793717592e-05       7.730019011887e+01 
       1.425230424201e-05       7.946581814994e+01 
       1.466847903962e-05       8.169214496475e+01 
       1.509680636071e-05       8.398082582444e+01 
       1.553764106540e-05       8.633360825939e+01 
       1.599134837587e-05       8.875232201744e+01 
       1.645830417899e-05       9.123881563653e+01 
       1.693889533774e-05       9.379494711819e+01 
       1.743352001170e-05       9.642268199644e+01 
       1.794258798689e-05       9.912404677693e+01 
       1.846652101534e-05       1.019010885447e+02 
       1.900575316444e-05       1.047559148210e+02 
       1.956073117657e-05       1.076907253987e+02 
       2.013191483923e-05       1.107077440053e+02 
       2.071977736597e-05       1.138093004563e+02 
       2.132480578841e-05       1.169977303471e+02 
       2.194750135975e-05       1.202754732713e+02 
       2.258837997005e-05       1.236450617703e+02 
       2.324797257365e-05       1.271090283830e+02 
       2.392682562900e-05       1.306700365136e+02 
       2.462550155146e-05       1.343308037880e+02 
       2.534457917919e-05       1.380941186006e+02 
       2.608465425274e-05       1.419628519082e+02 
       2.684633990860e-05       1.459399677945e+02 
       2.763026718718e-05       1.500284887106e+02 
       2.843708555556e-05       1.542315392104e+02 
       2.926746344566e-05       1.585523272204e+02 
       3.012208880792e-05       1.629941482414e+02 
       3.100166968130e-05       1.675603945739e+02 
       3.190693477991e-05       1.722545484364e+02 
       3.283863409664e-05       1.770801828278e+02 
       3.379753952460e-05       1.820409973073e+02 
       3.478444549660e-05       1.871407590188e+02 
       3.580016964326e-05       1.923833704144e+02 
       3.684555347050e-05       1.977728257298e+02 
       3.792146305661e-05       2.033132372663e+02 
       3.902878976984e-05       2.090088328213e+02 
       4.016845100688e-05       2.148639497460e+02 
       4.134139095287e-05       2.208830643076e+02 
       4.254858136364e-05       2.270707560557e+02 
       4.379102237084e-05       2.334317490158e+02 
       4.506974331045e-05       2.399708908522e+02 
       4.638580357563e-05       2.466931707037e+02 
       4.774029349437e-05       2.536037130722e+02 
       4.913433523283e-05       2.607077814946e+02 
       5.056908372497e-05       2.680107899553e+02 
       5.204572762948e-05       2.755183075632e+02 
       5.356549031448e-05       2.832360653509e+02 
       5.512963087109e-05       2.911699298365e+02 
       5.673944515656e-05       2.993259472007e+02 
       5.839626686785e-05       3.077103432138e+02 
       6.010146864658e-05       3.163294860565e+02 
       6.185646321622e-05       3.251899563473e+02 
       6.366270455252e-05       3.342984947289e+02 
       6.552168908807e-05       3.436620311598e+02 
       6.743495695211e-05       3.532877009526e+02 
       6.940409324645e-05       3.631828272657e+02 
       7.143072935870e-05       3.733549454863e+02 
       7.351654431385e-05       3.838117733846e+02 
       7.566326616533e-05       3.945612906908e+02 
       7.787267342661e-05       4.056116605952e+02 
       8.014659654471e-05       4.169712861377e+02 
       8.248691941665e-05       4.286487971227e+02 
       8.489558095026e-05       4.406530780513e+02 
       8.737457667049e-05       4.529932462365e+02 
       8.992596037266e-05       4.656786648483e+02 
       9.255184582400e-05       4.787189711725e+02 
       9.525440851488e-05       4.921240623276e+02 
       9.803588746111e-05       5.059041080834e+02 
       1.008985870589e-04       5.200695594561e+02 
       1.038448789942e-04       5.346311588724e+02 
       1.068772042073e-04       5.495999350682e+02 
       1.099980749152e-04       5.649872313582e+02 
       1.132100766931e-04       5.808047023542e+02 
       1.165158706163e-04       5.970643073968e+02 
       1.199181954648e-04       6.137783601110e+02 
       1.234198699926e-04       6.309594835032e+02 
       1.270237952626e-04       6.486206635410e+02 
       1.307329570505e-04       6.667752331312e+02 
       1.345504283181e-04       6.854368937275e+02 
       1.384793717592e-04       7.046197161685e+02 
       1.425230424201e-04       7.243381480221e+02 
       1.466847903962e-04       7.446070636241e+02 
       1.509680636071e-04       7.654416728987e+02 
       1.553764106540e-04       7.868576735178e+02 
       1.599134837587e-04       8.088711289412e+02 
       1.645830417899e-04       8.314985598111e+02 
       1.693889533774e-04       8.547569171028e+02 
       1.743352001170e-04       8.786636392991e+02 
       1.794258798689e-04       9.032366029818e+02 
       1.846652101534e-04       9.284941486582e+02 
       1.900575316444e-04       9.544551217294e+02 
       1.956073117657e-04       9.811388990184e+02 
       2.013191483923e-04       1.008565306875e+03 
       2.071977736597e-04       1.036754731313e+03 
       2.132480578841e-04       1.065728086668e+03 
       2.194750135975e-04       1.095506840870e+03 
       2.258837997005e-04       1.126113007238e+03 
       2.324797257365e-04       1.157569219673e+03 
       2.392682562900e-04       1.189898550440e+03 
       2.462550155146e-04       1.223124848245e+03 
       2.534457917919e-04       1.257272488382e+03 
       2.608465425274e-04       1.292366481410e+03 
       2.684633990860e-04       1.328432432558e+03 
       2.763026718718e-04       1.365496636011e+03 
       2.843708555556e-04       1.403586062598e+03 
       2.926746344566e-04       1.442728271510e+03 
       3.012208880792e-04       1.482951614578e+03 
       3.100166968130e-04       1.524285048944e+03 
       3.190693477991e-04       1.566758279655e+03 
       3.283863409664e-04       1.610401765771e+03 
       3.379753952460e-04       1.655246637597e+03 
       3.478444549660e-04       1.701324804763e+03 
       3.580016964326e-04       1.748668912602e+03 
       3.684555347050e-04       1.797312428424e+03 
       3.792146305661e-04       1.847289592703e+03 
       3.902878976984e-04       1.898635248172e+03 
       4.016845100688e-04       1.951385372480e+03 
       4.134139095287e-04       2.005576531610e+03 
       4.254858136364e-04       2.061246157466e+03 
       4.379102237084e-04       2.118432602647e+03 
       4.506974331045e-04       2.177174770282e+03 
       4.638580357563e-04       2.237512862131e+03 
       4.774029349438e-04       2.299487601994e+03 
       4.913433523283e-04       2.363140724088e+03 
       5.056908372497e-04       2.428514776721e+03 
       5.204572762948e-04       2.495653234355e+03 
       5.356549031448e-04       2.564600414250e+03 
       5.512963087109e-04       2.635401564094e+03 
       5.673944515656e-04       2.708102855511e+03 
       5.839626686785e-04       2.782751274382e+03 
       6.010146864658e-04       2.859394768147e+03 
       6.185646321622e-04       2.938082165216e+03 
       6.366270455252e-04       3.018863276975e+03 
       6.552168908807e-04       3.101788668374e+03 
       6.743495695211e-04       3.186910002880e+03 
       6.940409324645e-04       3.274279442446e+03 
       7.143072935870e-04       3.363950537331e+03 
       7.351654431385e-04       3.455977412782e+03 
       7.566326616533e-04       3.550415193596e+03 
       7.787267342661e-04       3.647319452082e+03 
       8.014659654471e-04       3.746747149932e+03 
       8.248691941665e-04       3.848755722197e+03 
       8.489558095026e-04       3.953403390504e+03 
       8.737457667049e-04       4.060749067772e+03 
       8.992596037266e-04       4.170852549479e+03 
       9.255184582400e-04       4.283774018965e+03 
       9.525440851488e-04       4.399574405243e+03 
       9.803588746111e-04       4.518315321719e+03 
       1.008985870589e-03       4.640058537190e+03 
       1.038448789942e-03       4.764866480983e+03 
       1.068772042073e-03       4.892801902670e+03 
       1.099980749152e-03       5.023927834569e+03 
       1.132100766931e-03       5.158307524599e+03 
       1.165158706163e-03       5.296004180243e+03 
       1.199181954648e-03       5.437081431747e+03 
       1.234198699926e-03       5.581602585733e+03 
       1.270237952626e-03       5.729637446767e+03 
       1.307329570505e-03       5.881264794570e+03 
       1.345504283181e-03       6.036528620882e+03 
       1.384793717592e-03       6.195491370625e+03 
       1.425230424202e-03       6.358214907176e+03 
       1.466847903962e-03       6.524760432532e+03 
       1.509680636071e-03       6.695187771995e+03 
       1.553764106540e-03       6.869556756830e+03 
       1.599134837587e-03       7.047925144694e+03 
       1.645830417899e-03       7.230349882979e+03 
       1.693889533774e-03       7.416886288717e+03 
       1.743352001170e-03       7.607587341617e+03 
       1.794258798689e-03       7.802505343727e+03 
       1.846652101534e-03       8.001688861885e+03 
