#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.008986e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.024594e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.040443e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.056538e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.072881e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.089478e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413899e+05    0.000000e+00
   1.106331e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413899e+05    2.413898e+05    0.000000e+00
   1.123445e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.140823e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.158471e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.176391e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.194589e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.213068e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.231833e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.250888e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.270238e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.289887e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448480e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.309841e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.330102e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.350678e-05    2.425053e+05    2.425053e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.371571e-05    2.425053e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.392788e-05    2.425053e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.414333e-05    2.425053e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.436212e-05    2.425053e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.458428e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.480989e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.503898e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.527162e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.550786e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.574775e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.599135e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.623872e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448479e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413898e+05    0.000000e+00
   1.648992e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413898e+05    2.413897e+05    0.000000e+00
   1.674500e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.700403e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.726706e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.753416e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.780540e-05    2.425052e+05    2.425052e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.808083e-05    2.425052e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.836052e-05    2.425052e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.864454e-05    2.425052e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448478e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.893296e-05    2.425052e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.922583e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.952323e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   1.982524e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   2.013191e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413897e+05    0.000000e+00
   2.044334e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413897e+05    2.413896e+05    0.000000e+00
   2.075957e-05    2.425051e+05    2.425051e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.448477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.413896e+05    2.413896e+05    0.000000e+00
