# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       5.704079778927e+01 
       1.038448789942e-05       5.863886235428e+01 
       1.068772042073e-05       6.028169836758e+01 
       1.099980749152e-05       6.197055189236e+01 
       1.132100766931e-05       6.370673074762e+01 
       1.165158706163e-05       6.549154229576e+01 
       1.199181954648e-05       6.732635372991e+01 
       1.234198699926e-05       6.921257484160e+01 
       1.270237952626e-05       7.115163028974e+01 
       1.307329570505e-05       7.314500578768e+01 
       1.345504283181e-05       7.519420918818e+01 
       1.384793717592e-05       7.730090600260e+01 
       1.425230424201e-05       7.946655408972e+01 
       1.466847903962e-05       8.169290152274e+01 
       1.509680636071e-05       8.398160357809e+01 
       1.553764106540e-05       8.633440780237e+01 
       1.599134837587e-05       8.875314396033e+01 
       1.645830417899e-05       9.123966060705e+01 
       1.693889533774e-05       9.379581576127e+01 
       1.743352001170e-05       9.642357497520e+01 
       1.794258798689e-05       9.912496477325e+01 
       1.846652101534e-05       1.019020322595e+02 
       1.900575316444e-05       1.047568849746e+02 
       1.956073117657e-05       1.076917227318e+02 
       2.013191483923e-05       1.107087692792e+02 
       2.071977736597e-05       1.138103544540e+02 
       2.132480578841e-05       1.169988138731e+02 
       2.194750135975e-05       1.202765871528e+02 
       2.258837997005e-05       1.236462068578e+02 
       2.324797257365e-05       1.271102055506e+02 
       2.392682562900e-05       1.306712466600e+02 
       2.462550155146e-05       1.343320478372e+02 
       2.534457917919e-05       1.380953975021e+02 
       2.608465425274e-05       1.419641666384e+02 
       2.684633990860e-05       1.459413193571e+02 
       2.763026718718e-05       1.500298781373e+02 
       2.843708555556e-05       1.542329675620e+02 
       2.926746344566e-05       1.585537955872e+02 
       3.012208880792e-05       1.629956577442e+02 
       3.100166968130e-05       1.675619463651e+02 
       3.190693477991e-05       1.722561437006e+02 
       3.283863409664e-05       1.770818227827e+02 
       3.379753952460e-05       1.820426832046e+02 
       3.478444549660e-05       1.871424921454e+02 
       3.580016964326e-05       1.923851520933e+02 
       3.684555347050e-05       1.977746573210e+02 
       3.792146305661e-05       2.033151201676e+02 
       3.902878976984e-05       2.090107684701e+02 
       4.016845100688e-05       2.148659396195e+02 
       4.134139095287e-05       2.208851099247e+02 
       4.254858136364e-05       2.270728589775e+02 
       4.379102237084e-05       2.334339108473e+02 
       4.506974331045e-05       2.399731132433e+02 
       4.638580357563e-05       2.466954553504e+02 
       4.774029349437e-05       2.536060617182e+02 
       4.913433523283e-05       2.607101959318e+02 
       5.056908372497e-05       2.680132720263e+02 
       5.204572762948e-05       2.755208591620e+02 
       5.356549031448e-05       2.832386884244e+02 
       5.512963087109e-05       2.911726263863e+02 
       5.673944515656e-05       2.993287192841e+02 
       5.839626686785e-05       3.077131929457e+02 
       6.010146864658e-05       3.163324156107e+02 
       6.185646321622e-05       3.251929679595e+02 
       6.366270455252e-05       3.343015906960e+02 
       6.552168908807e-05       3.436652138435e+02 
       6.743495695211e-05       3.532909727805e+02 
       6.940409324645e-05       3.631861907328e+02 
       7.143072935870e-05       3.733584031605e+02 
       7.351654431385e-05       3.838153278984e+02 
       7.566326616533e-05       3.945649447569e+02 
       7.787267342661e-05       4.056154169964e+02 
       8.014659654471e-05       4.169751477446e+02 
       8.248691941665e-05       4.286527668760e+02 
       8.489558095026e-05       4.406571589775e+02 
       8.737457667049e-05       4.529974414459e+02 
       8.992596037266e-05       4.656829775386e+02 
       9.255184582400e-05       4.787234046301e+02 
       9.525440851488e-05       4.921286199309e+02 
       9.803588746111e-05       5.059087933050e+02 
       1.008985870589e-04       5.200743758651e+02 
       1.038448789942e-04       5.346361101376e+02 
       1.068772042073e-04       5.496050249605e+02 
       1.099980749152e-04       5.649924638432e+02 
       1.132100766931e-04       5.808100812364e+02 
       1.165158706163e-04       5.970698368624e+02 
       1.199181954648e-04       6.137840443652e+02 
       1.234198699926e-04       6.309653268734e+02 
       1.270237952626e-04       6.486266704744e+02 
       1.307329570505e-04       6.667814081980e+02 
       1.345504283181e-04       6.854432416176e+02 
       1.384793717592e-04       7.046262417123e+02 
       1.425230424201e-04       7.243448561800e+02 
       1.466847903962e-04       7.446139594942e+02 
       1.509680636071e-04       7.654487617199e+02 
       1.553764106540e-04       7.868649606745e+02 
       1.599134837587e-04       8.088786199664e+02 
       1.645830417899e-04       8.315062603908e+02 
       1.693889533774e-04       8.547648330802e+02 
       1.743352001170e-04       8.786717766785e+02 
       1.794258798689e-04       9.032449679338e+02 
       1.846652101534e-04       9.285027475224e+02 
       1.900575316444e-04       9.544639610205e+02 
       1.956073117657e-04       9.811479854303e+02 
       2.013191483923e-04       1.008574647285e+03 
       2.071977736597e-04       1.036764332788e+03 
       2.132480578841e-04       1.065737956467e+03 
       2.194750135975e-04       1.095516986453e+03 
       2.258837997005e-04       1.126123436268e+03 
       2.324797257365e-04       1.157579940022e+03 
       2.392682562900e-04       1.189909570194e+03 
       2.462550155146e-04       1.223136175709e+03 
       2.534457917919e-04       1.257284132091e+03 
       2.608465425274e-04       1.292378450127e+03 
       2.684633990860e-04       1.328444735285e+03 
       2.763026718718e-04       1.365509281993e+03 
       2.843708555556e-04       1.403599061329e+03 
       2.926746344566e-04       1.442741632749e+03 
       3.012208880792e-04       1.482965348320e+03 
       3.100166968130e-04       1.524299165479e+03 
       3.190693477991e-04       1.566772789538e+03 
       3.283863409664e-04       1.610416679840e+03 
       3.379753952460e-04       1.655261966978e+03 
       3.478444549660e-04       1.701340560879e+03 
       3.580016964326e-04       1.748685107176e+03 
       3.684555347050e-04       1.797329073489e+03 
       3.792146305661e-04       1.847306700611e+03 
       3.902878976984e-04       1.898652831596e+03 
       4.016845100688e-04       1.951403444427e+03 
       4.134139095287e-04       2.005595105427e+03 
       4.254858136364e-04       2.061265246844e+03 
       4.379102237084e-04       2.118452221633e+03 
       4.506974331045e-04       2.177194933285e+03 
       4.638580357563e-04       2.237533583931e+03 
       4.774029349438e-04       2.299508897747e+03 
       4.913433523283e-04       2.363162609338e+03 
       5.056908372497e-04       2.428537267406e+03 
       5.204572762948e-04       2.495676346815e+03 
       5.356549031448e-04       2.564624165236e+03 
       5.512963087109e-04       2.635425970772e+03 
       5.673944515656e-04       2.708127935485e+03 
       5.839626686785e-04       2.782777045681e+03 
       6.010146864658e-04       2.859421249249e+03 
       6.185646321622e-04       2.938109375048e+03 
       6.366270455252e-04       3.018891234928e+03 
       6.552168908807e-04       3.101817394306e+03 
       6.743495695211e-04       3.186939517128e+03 
       6.940409324645e-04       3.274309765830e+03 
       7.143072935870e-04       3.363981691166e+03 
       7.351654431385e-04       3.456009418886e+03 
       7.566326616533e-04       3.550448074298e+03 
       7.787267342661e-04       3.647353230222e+03 
       8.014659654471e-04       3.746781848881e+03 
       8.248691941665e-04       3.848791365855e+03 
       8.489558095026e-04       3.953440003314e+03 
       8.737457667049e-04       4.060786674718e+03 
       8.992596037266e-04       4.170891176104e+03 
       9.255184582400e-04       4.283813691366e+03 
       9.525440851488e-04       4.399615150081e+03 
       9.803588746111e-04       4.518357166227e+03 
       1.008985870589e-03       4.640101509173e+03 
       1.038448789942e-03       4.764910608822e+03 
       1.068772042073e-03       4.892847215330e+03 
       1.099980749152e-03       5.023974361599e+03 
       1.132100766931e-03       5.158355296130e+03 
       1.165158706163e-03       5.296053226995e+03 
       1.199181954648e-03       5.437131785027e+03 
       1.234198699926e-03       5.581654277437e+03 
       1.270237952626e-03       5.729690509435e+03 
       1.307329570505e-03       5.881319261471e+03 
       1.345504283181e-03       6.036584525693e+03 
       1.384793717592e-03       6.195548747643e+03 
       1.425230424202e-03       6.358273791154e+03 
       1.466847903962e-03       6.524820858902e+03 
       1.509680636071e-03       6.695249776712e+03 
       1.553764106540e-03       6.869620376390e+03 
