# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       5.703992215030e+01 
       1.038448789942e-05       5.863796218327e+01 
       1.068772042073e-05       6.028077297722e+01 
       1.099980749152e-05       6.196960057624e+01 
       1.132100766931e-05       6.370575277925e+01 
       1.165158706163e-05       6.549053692857e+01 
       1.199181954648e-05       6.732532019635e+01 
       1.234198699926e-05       6.921151235247e+01 
       1.270237952626e-05       7.115053803397e+01 
       1.307329570505e-05       7.314388293141e+01 
       1.345504283181e-05       7.519305487437e+01 
       1.384793717592e-05       7.729971934869e+01 
       1.425230424201e-05       7.946533419073e+01 
       1.466847903962e-05       8.169164744687e+01 
       1.509680636071e-05       8.398031436813e+01 
       1.553764106540e-05       8.633308247427e+01 
       1.599134837587e-05       8.875178150197e+01 
       1.645830417899e-05       9.123825997793e+01 
       1.693889533774e-05       9.379437589235e+01 
       1.743352001170e-05       9.642209476729e+01 
       1.794258798689e-05       9.912344309605e+01 
       1.846652101534e-05       1.019004679513e+02 
       1.900575316444e-05       1.047552768412e+02 
       1.956073117657e-05       1.076900695454e+02 
       2.013191483923e-05       1.107070697779e+02 
       2.071977736597e-05       1.138086073399e+02 
       2.132480578841e-05       1.169970178127e+02 
       2.194750135975e-05       1.202747407749e+02 
       2.258837997005e-05       1.236443087526e+02 
       2.324797257365e-05       1.271082542692e+02 
       2.392682562900e-05       1.306692407127e+02 
       2.462550155146e-05       1.343299856925e+02 
       2.534457917919e-05       1.380932775859e+02 
       2.608465425274e-05       1.419619873323e+02 
       2.684633990860e-05       1.459390789973e+02 
       2.763026718718e-05       1.500275750137e+02 
       2.843708555556e-05       1.542305999163e+02 
       2.926746344566e-05       1.585513616121e+02 
       3.012208880792e-05       1.629931555816e+02 
       3.100166968130e-05       1.675593741050e+02 
       3.190693477991e-05       1.722534993793e+02 
       3.283863409664e-05       1.770791043819e+02 
       3.379753952460e-05       1.820398886493e+02 
       3.478444549660e-05       1.871396193024e+02 
       3.580016964326e-05       1.923821987697e+02 
       3.684555347050e-05       1.977716212625e+02 
       3.792146305661e-05       2.033119990570e+02 
       3.902878976984e-05       2.090075599249e+02 
       4.016845100688e-05       2.148626411911e+02 
       4.134139095287e-05       2.208817190954e+02 
       4.254858136364e-05       2.270693731594e+02 
       4.379102237084e-05       2.334303273801e+02 
       4.506974331045e-05       2.399694293921e+02 
       4.638580357563e-05       2.466916683039e+02 
       4.774029349437e-05       2.536021685860e+02 
       4.913433523283e-05       2.607061937436e+02 
       5.056908372497e-05       2.680091577278e+02 
       5.204572762948e-05       2.755166296138e+02 
       5.356549031448e-05       2.832343403991e+02 
       5.512963087109e-05       2.911681565663e+02 
       5.673944515656e-05       2.993241242591e+02 
       5.839626686785e-05       3.077084692099e+02 
       6.010146864658e-05       3.163275595606e+02 
       6.185646321622e-05       3.251879758898e+02 
       6.366270455252e-05       3.342964587990e+02 
       6.552168908807e-05       3.436599382045e+02 
       6.743495695211e-05       3.532855493755e+02 
       6.940409324645e-05       3.631806154257e+02 
       7.143072935870e-05       3.733526716961e+02 
       7.351654431385e-05       3.838094359111e+02 
       7.566326616533e-05       3.945588877511e+02 
       7.787267342661e-05       4.056091903578e+02 
       8.014659654471e-05       4.169687467176e+02 
       8.248691941665e-05       4.286461865847e+02 
       8.489558095026e-05       4.406503944054e+02 
       8.737457667049e-05       4.529904874370e+02 
       8.992596037266e-05       4.656758287927e+02 
       9.255184582400e-05       4.787160556994e+02 
       9.525440851488e-05       4.921210652154e+02 
       9.803588746111e-05       5.059010270486e+02 
       1.008985870589e-04       5.200663921515e+02 
       1.038448789942e-04       5.346279028854e+02 
       1.068772042073e-04       5.495965879190e+02 
       1.099980749152e-04       5.649837904930e+02 
       1.132100766931e-04       5.808011651631e+02 
       1.165158706163e-04       5.970606711841e+02 
       1.199181954648e-04       6.137746221052e+02 
       1.234198699926e-04       6.309556408617e+02 
       1.270237952626e-04       6.486167133401e+02 
       1.307329570505e-04       6.667711723673e+02 
       1.345504283181e-04       6.854327193101e+02 
       1.384793717592e-04       7.046154249247e+02 
       1.425230424201e-04       7.243337366899e+02 
       1.466847903962e-04       7.446025288512e+02 
       1.509680636071e-04       7.654370112397e+02 
       1.553764106540e-04       7.868528814321e+02 
       1.599134837587e-04       8.088662027901e+02 
       1.645830417899e-04       8.314934958553e+02 
       1.693889533774e-04       8.547517115001e+02 
       1.743352001170e-04       8.786582881008e+02 
       1.794258798689e-04       9.032311021303e+02 
       1.846652101534e-04       9.284884939842e+02 
       1.900575316444e-04       9.544493089491e+02 
       1.956073117657e-04       9.811329237298e+02 
       2.013191483923e-04       1.008559164555e+03 
       2.071977736597e-04       1.036748417316e+03 
       2.132480578841e-04       1.065721596218e+03 
       2.194750135975e-04       1.095500169062e+03 
       2.258837997005e-04       1.126106149034e+03 
       2.324797257365e-04       1.157562169897e+03 
       2.392682562900e-04       1.189891303772e+03 
       2.462550155146e-04       1.223117399224e+03 
       2.534457917919e-04       1.257264831397e+03 
       2.608465425274e-04       1.292358610697e+03 
       2.684633990860e-04       1.328424342198e+03 
       2.763026718718e-04       1.365488319924e+03 
       2.843708555556e-04       1.403577514541e+03 
       2.926746344566e-04       1.442719485071e+03 
       3.012208880792e-04       1.482942583172e+03 
       3.100166968130e-04       1.524275765811e+03 
       3.190693477991e-04       1.566748737853e+03 
       3.283863409664e-04       1.610391958173e+03 
       3.379753952460e-04       1.655236556887e+03 
       3.478444549660e-04       1.701314443430e+03 
       3.580016964326e-04       1.748658262936e+03 
       3.684555347050e-04       1.797301482511e+03 
       3.792146305661e-04       1.847278342422e+03 
       3.902878976984e-04       1.898623685187e+03 
       4.016845100688e-04       1.951373488239e+03 
       4.134139095287e-04       2.005564317336e+03 
       4.254858136364e-04       2.061233604156e+03 
       4.379102237084e-04       2.118419701062e+03 
       4.506974331045e-04       2.177161510949e+03 
       4.638580357563e-04       2.237499235330e+03 
       4.774029349438e-04       2.299473597757e+03 
       4.913433523283e-04       2.363126332194e+03 
       5.056908372497e-04       2.428499986688e+03 
       5.204572762948e-04       2.495638035438e+03 
       5.356549031448e-04       2.564584795435e+03 
       5.512963087109e-04       2.635385514086e+03 
       5.673944515656e-04       2.708086362743e+03 
       5.839626686785e-04       2.782734326993e+03 
       6.010146864658e-04       2.859377353988e+03 
       6.185646321622e-04       2.938064271838e+03 
       6.366270455252e-04       3.018844891628e+03 
       6.552168908807e-04       3.101769777998e+03 
       6.743495695211e-04       3.186890594102e+03 
       6.940409324645e-04       3.274259501575e+03 
       7.143072935870e-04       3.363930050348e+03 
       7.351654431385e-04       3.455956365342e+03 
       7.566326616533e-04       3.550393571015e+03 
       7.787267342661e-04       3.647297239340e+03 
       8.014659654471e-04       3.746724331660e+03 
       8.248691941665e-04       3.848732282676e+03 
       8.489558095026e-04       3.953379313663e+03 
       8.737457667049e-04       4.060724337175e+03 
       8.992596037266e-04       4.170827148338e+03 
       9.255184582400e-04       4.283747930115e+03 
       9.525440851488e-04       4.399547611151e+03 
       9.803588746111e-04       4.518287804476e+03 
       1.008985870589e-03       4.640030278513e+03 
       1.038448789942e-03       4.764837462205e+03 
       1.068772042073e-03       4.892772104746e+03 
       1.099980749152e-03       5.023897238068e+03 
       1.132100766931e-03       5.158276109705e+03 
       1.165158706163e-03       5.295971926755e+03 
       1.199181954648e-03       5.437048319076e+03 
       1.234198699926e-03       5.581568592906e+03 
       1.270237952626e-03       5.729602552385e+03 
       1.307329570505e-03       5.881228976755e+03 
       1.345504283181e-03       6.036491857487e+03 
       1.384793717592e-03       6.195453639122e+03 
       1.425230424202e-03       6.358176184662e+03 
       1.466847903962e-03       6.524720695730e+03 
       1.509680636071e-03       6.695146997267e+03 
       1.553764106540e-03       6.869514920166e+03 
       1.599134837587e-03       7.047882221739e+03 
       1.645830417899e-03       7.230305849030e+03 
       1.693889533774e-03       7.416841118732e+03 
       1.743352001170e-03       7.607541010234e+03 
       1.794258798689e-03       7.802457825264e+03 
       1.846652101534e-03       8.001640130365e+03 
       1.900575316444e-03       8.205135643663e+03 
       1.956073117657e-03       8.412988362905e+03 
       2.013191483923e-03       8.625240275575e+03 
       2.071977736597e-03       8.841929778744e+03 
       2.132480578841e-03       9.063092273510e+03 
       2.194750135975e-03       9.288759877908e+03 
       2.258837997005e-03       9.518959742026e+03 
       2.324797257365e-03       9.753716858108e+03 
       2.392682562900e-03       9.993049448502e+03 
       2.462550155146e-03       1.023697285111e+04 
       2.534457917919e-03       1.048549662562e+04 
       2.608465425274e-03       1.073862399702e+04 
       2.684633990860e-03       1.099635424867e+04 
       2.763026718718e-03       1.125867867550e+04 
       2.843708555556e-03       1.152558355885e+04 
       2.926746344566e-03       1.179704731555e+04 
       3.012208880792e-03       1.207304032212e+04 
       3.100166968130e-03       1.235352735875e+04 
       3.190693477991e-03       1.263846184499e+04 
       3.283863409664e-03       1.292779235868e+04 
       3.379753952460e-03       1.322145418392e+04 
       3.478444549660e-03       1.351937546615e+04 
       3.580016964326e-03       1.382147398738e+04 
       3.684555347050e-03       1.412765552671e+04 
       3.792146305661e-03       1.443781873283e+04 
       3.902878976984e-03       1.475184533323e+04 
       4.016845100688e-03       1.506960666744e+04 
       4.134139095287e-03       1.539097074282e+04 
       4.254858136364e-03       1.571577594444e+04 
       4.379102237084e-03       1.604386255010e+04 
       4.506974331045e-03       1.637504706934e+04 
       4.638580357563e-03       1.670908149535e+04 
       4.774029349438e-03       1.704585765030e+04 
       4.913433523283e-03       1.738506926354e+04 
       5.056908372497e-03       1.772659868053e+04 
       5.204572762948e-03       1.807007806557e+04 
       5.356549031448e-03       1.841524945101e+04 
       5.512963087109e-03       1.876180263881e+04 
       5.673944515656e-03       1.910942806638e+04 
       5.839626686785e-03       1.945779865766e+04 
       6.010146864658e-03       1.980656837124e+04 
       6.185646321622e-03       2.015535804196e+04 
       6.366270455252e-03       2.050378209488e+04 
       6.552168908807e-03       2.085143237060e+04 
       6.743495695211e-03       2.119787656055e+04 
       6.940409324645e-03       2.154261126253e+04 
       7.143072935870e-03       2.188523738884e+04 
       7.351654431385e-03       2.222518379527e+04 
       7.566326616533e-03       2.256198248613e+04 
       7.787267342661e-03       2.289502608500e+04 
       8.014659654471e-03       2.322375408564e+04 
       8.248691941665e-03       2.354755938067e+04 
       8.489558095026e-03       2.386587179860e+04 
       8.737457667049e-03       2.417788512618e+04 
       8.992596037266e-03       2.448316813470e+04 
       9.255184582400e-03       2.478077643689e+04 
       9.525440851488e-03       2.507016488251e+04 
       9.803588746111e-03       2.535051557483e+04 
       1.008985870589e-02       2.562105662948e+04 
       1.038448789942e-02       2.588101000783e+04 
       1.068772042073e-02       2.612952912055e+04 
       1.099980749152e-02       2.636580111454e+04 
       1.132100766931e-02       2.658896309621e+04 
       1.165158706163e-02       2.679820580149e+04 
       1.199181954648e-02       2.699251413591e+04 
       1.234198699926e-02       2.717096221777e+04 
       1.270237952626e-02       2.733281820152e+04 
       1.307329570505e-02       2.747706708317e+04 
       1.345504283181e-02       2.760278393818e+04 
       1.384793717592e-02       2.770908156684e+04 
       1.425230424202e-02       2.779502642276e+04 
       1.466847903963e-02       2.785979412379e+04 
       1.509680636074e-02       2.790236243518e+04 
       1.553764106548e-02       2.792187058258e+04 
       1.599134837608e-02       2.791767399234e+04 
       1.645830417957e-02       2.788889653432e+04 
       1.693889533924e-02       2.783488383859e+04 
       1.743352001546e-02       2.775490173901e+04 
       1.794258799607e-02       2.764840073387e+04 
       1.846652103709e-02       2.751488977492e+04 
       1.900575321452e-02       2.735395213957e+04 
       1.956073128870e-02       2.716529399801e+04 
       2.013191508353e-02       2.694875410514e+04 
       2.071977788416e-02       2.670436815277e+04 
       2.132480685939e-02       2.643211161850e+04 
       2.194750351787e-02       2.613238394876e+04 
       2.258838421306e-02       2.580557895108e+04 
       2.324798071816e-02       2.545250095401e+04 
       2.392684090240e-02       2.507387105087e+04 
