# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870272e-05       8.603965711805e-03 
       1.020669376006e-05       8.699587622714e-03 
       1.032488170360e-05       8.796272214251e-03 
       1.044443819903e-05       8.894031415401e-03 
       1.056537909342e-05       8.992877019918e-03 
       1.068772041737e-05       9.092821149145e-03 
       1.081147838709e-05       9.193876718119e-03 
       1.093666940655e-05       9.296054754710e-03 
       1.106331006970e-05       9.399366922627e-03 
       1.119141716262e-05       9.503828659741e-03 
       1.132100766576e-05       9.609451341401e-03 
       1.145209875620e-05       9.716247925755e-03 
       1.158470780992e-05       9.824231400394e-03 
       1.171885240412e-05       9.933414975128e-03 
       1.185455031952e-05       1.004381192677e-02 
       1.199181954271e-05       1.015543580648e-02 
       1.213067826860e-05       1.026830021605e-02 
       1.227114490275e-05       1.038241866338e-02 
       1.241323806387e-05       1.049780566830e-02 
       1.255697658625e-05       1.061447497779e-02 
       1.270237952227e-05       1.073244096321e-02 
       1.284946614494e-05       1.085171800281e-02 
       1.299825595043e-05       1.097232066902e-02 
       1.314876866067e-05       1.109426364816e-02 
       1.330102422595e-05       1.121756189435e-02 
       1.345504282758e-05       1.134223082864e-02 
       1.361084488057e-05       1.146828488795e-02 
       1.376845103630e-05       1.159573953260e-02 
       1.392788218531e-05       1.172461138403e-02 
       1.408915946001e-05       1.185491511659e-02 
       1.425230423754e-05       1.198666667275e-02 
       1.441733814255e-05       1.211988278363e-02 
       1.458428305012e-05       1.225457940713e-02 
       1.475316108862e-05       1.239077299228e-02 
       1.492399464263e-05       1.252848016785e-02 
       1.509680635597e-05       1.266771776833e-02 
       1.527161913464e-05       1.280850281015e-02 
       1.544845614988e-05       1.295085246930e-02 
       1.562734084126e-05       1.309478654275e-02 
       1.580829691973e-05       1.324031781979e-02 
       1.599134837084e-05       1.338746648626e-02 
       1.617651945786e-05       1.353625050785e-02 
       1.636383472500e-05       1.368668567762e-02 
       1.655331900072e-05       1.383879751344e-02 
       1.674499740094e-05       1.399259742256e-02 
       1.693889533242e-05       1.414810628485e-02 
       1.713503849614e-05       1.430534376623e-02 
       1.733345289065e-05       1.446432902141e-02 
       1.753416481556e-05       1.462508087224e-02 
       1.773720087503e-05       1.478761924514e-02 
       1.794258798126e-05       1.495196399870e-02 
       1.815035335809e-05       1.511813521364e-02 
