# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.008985870272e-05       2.425053041146e+05       0.000000000000e+00       2.425052956796e+05       3.233390235632e+05       3.233388605985e+05       0.000000000000e+00       2.448480085802e+05 
       1.020669376006e-05       2.425053029445e+05       0.000000000000e+00       2.425052943130e+05       3.233389898140e+05       3.233388230534e+05       0.000000000000e+00       2.448480063894e+05 
       1.032488170360e-05       2.425053013403e+05       0.000000000000e+00       2.425052925078e+05       3.233389547362e+05       3.233387840913e+05       0.000000000000e+00       2.448480037367e+05 
       1.044443819903e-05       2.425053004905e+05       0.000000000000e+00       2.425052914521e+05       3.233389198972e+05       3.233387452773e+05       0.000000000000e+00       2.448480018215e+05 
       1.056537909342e-05       2.425052991971e+05       0.000000000000e+00       2.425052899483e+05       3.233388836815e+05       3.233387049943e+05       0.000000000000e+00       2.448479994340e+05 
       1.068772041737e-05       2.425052976950e+05       0.000000000000e+00       2.425052882307e+05       3.233388463841e+05       3.233386635347e+05       0.000000000000e+00       2.448479968104e+05 
       1.081147838709e-05       2.425053046420e+05       0.000000000000e+00       2.425052949573e+05       3.233388195301e+05       3.233386324216e+05       0.000000000000e+00       2.448480026916e+05 
       1.093666940655e-05       2.425053038319e+05       0.000000000000e+00       2.425052939215e+05       3.233387814919e+05       3.233385900251e+05       0.000000000000e+00       2.448480007145e+05 
       1.106331006970e-05       2.425052853659e+05       0.000000000000e+00       2.425052752247e+05       3.233387190520e+05       3.233385231254e+05       0.000000000000e+00       2.448479808844e+05 
       1.119141716262e-05       2.425052838780e+05       0.000000000000e+00       2.425052735005e+05       3.233386783683e+05       3.233384778780e+05       0.000000000000e+00       2.448479781684e+05 
       1.132100766576e-05       2.425052822305e+05       0.000000000000e+00       2.425052716113e+05       3.233386365705e+05       3.233384314102e+05       0.000000000000e+00       2.448479752631e+05 
       1.145209875620e-05       2.425052811815e+05       0.000000000000e+00       2.425052703150e+05       3.233385946484e+05       3.233383847093e+05       0.000000000000e+00       2.448479729328e+05 
       1.158470780992e-05       2.425052798770e+05       0.000000000000e+00       2.425052687574e+05       3.233385514415e+05       3.233383366124e+05       0.000000000000e+00       2.448479703153e+05 
       1.171885240412e-05       2.425052786134e+05       0.000000000000e+00       2.425052672348e+05       3.233385073233e+05       3.233382874902e+05       0.000000000000e+00       2.448479677087e+05 
       1.185455031952e-05       2.425052766870e+05       0.000000000000e+00       2.425052650433e+05       3.233384613330e+05       3.233382363793e+05       0.000000000000e+00       2.448479644019e+05 
       1.199181954271e-05       2.425052748419e+05       0.000000000000e+00       2.425052629271e+05       3.233384144398e+05       3.233381842463e+05       0.000000000000e+00       2.448479611456e+05 
       1.213067826860e-05       2.425052727581e+05       0.000000000000e+00       2.425052605657e+05       3.233383661932e+05       3.233381306378e+05       0.000000000000e+00       2.448479576157e+05 
       1.227114490275e-05       2.425052673385e+05       0.000000000000e+00       2.425052548621e+05       3.233383124397e+05       3.233380713977e+05       0.000000000000e+00       2.448479506849e+05 
       1.241323806387e-05       2.425052649961e+05       0.000000000000e+00       2.425052522291e+05       3.233382617056e+05       3.233380150490e+05       0.000000000000e+00       2.448479468268e+05 
       1.255697658625e-05       2.425052620346e+05       0.000000000000e+00       2.425052489702e+05       3.233382090368e+05       3.233379566349e+05       0.000000000000e+00       2.448479423087e+05 
       1.270237952227e-05       2.425052595001e+05       0.000000000000e+00       2.425052461315e+05       3.233381558028e+05       3.233378975217e+05       0.000000000000e+00       2.448479381862e+05 
       1.284946614494e-05       2.425052570142e+05       0.000000000000e+00       2.425052433341e+05       3.233381014721e+05       3.233378371750e+05       0.000000000000e+00       2.448479340763e+05 
       1.299825595043e-05       2.425052548282e+05       0.000000000000e+00       2.425052408294e+05       3.233380463531e+05       3.233377758998e+05       0.000000000000e+00       2.448479302320e+05 
       1.314876866067e-05       2.425052523365e+05       0.000000000000e+00       2.425052380117e+05       3.233379896105e+05       3.233377128576e+05       0.000000000000e+00       2.448479260409e+05 
       1.330102422595e-05       2.425052501699e+05       0.000000000000e+00       2.425052355114e+05       3.233379320570e+05       3.233376488577e+05       0.000000000000e+00       2.448479221390e+05 
       1.345504282758e-05       2.425052518845e+05       0.000000000000e+00       2.425052368846e+05       3.233378784051e+05       3.233375886094e+05       0.000000000000e+00       2.448479221156e+05 
       1.361084488057e-05       2.425052495035e+05       0.000000000000e+00       2.425052341541e+05       3.233378179894e+05       3.233375214435e+05       0.000000000000e+00       2.448479179164e+05 
       1.376845103630e-05       2.425052438589e+05       0.000000000000e+00       2.425052281520e+05       3.233377518890e+05       3.233374484358e+05       0.000000000000e+00       2.448479103806e+05 
       1.392788218531e-05       2.425052451145e+05       0.000000000000e+00       2.425052290418e+05       3.233376936246e+05       3.233373831029e+05       0.000000000000e+00       2.448479097684e+05 
       1.408915946001e-05       2.425052428773e+05       0.000000000000e+00       2.425052264302e+05       3.233376293069e+05       3.233373115523e+05       0.000000000000e+00       2.448479055861e+05 
       1.425230423754e-05       2.425052375006e+05       0.000000000000e+00       2.425052206704e+05       3.233375593746e+05       3.233372342189e+05       0.000000000000e+00       2.448478981894e+05 
       1.441733814255e-05       2.425052350324e+05       0.000000000000e+00       2.425052178102e+05       3.233374918583e+05       3.233371591288e+05       0.000000000000e+00       2.448478936831e+05 
       1.458428305012e-05       2.425052324698e+05       0.000000000000e+00       2.425052148465e+05       3.233374227202e+05       3.233370822406e+05       0.000000000000e+00       2.448478890346e+05 
       1.475316108862e-05       2.425052297688e+05       0.000000000000e+00       2.425052117349e+05       3.233373518666e+05       3.233370034563e+05       0.000000000000e+00       2.448478841983e+05 
       1.492399464263e-05       2.425052268518e+05       0.000000000000e+00       2.425052083979e+05       3.233372791587e+05       3.233369226328e+05       0.000000000000e+00       2.448478790949e+05 
       1.509680635597e-05       2.425052238522e+05       0.000000000000e+00       2.425052049684e+05       3.233372047376e+05       3.233368399073e+05       0.000000000000e+00       2.448478738578e+05 
       1.527161913464e-05       2.425052208392e+05       0.000000000000e+00       2.425052015156e+05       3.233371286584e+05       3.233367553301e+05       0.000000000000e+00       2.448478685558e+05 
       1.544845614988e-05       2.425052176324e+05       0.000000000000e+00       2.425051978587e+05       3.233370506422e+05       3.233366686181e+05       0.000000000000e+00       2.448478630054e+05 
       1.562734084126e-05       2.425052347137e+05       0.000000000000e+00       2.425052144794e+05       3.233369979590e+05       3.233366070366e+05       0.000000000000e+00       2.448478778854e+05 
       1.580829691973e-05       2.425052310587e+05       0.000000000000e+00       2.425052103530e+05       3.233369158699e+05       3.233365158419e+05       0.000000000000e+00       2.448478717735e+05 
       1.599134837084e-05       2.425052274003e+05       0.000000000000e+00       2.425052062123e+05       3.233368319777e+05       3.233364226320e+05       0.000000000000e+00       2.448478656017e+05 
       1.617651945786e-05       2.425052236607e+05       0.000000000000e+00       2.425052019791e+05       3.233367461368e+05       3.233363272563e+05       0.000000000000e+00       2.448478592903e+05 
       1.636383472500e-05       2.425052004773e+05       0.000000000000e+00       2.425051782908e+05       3.233366324877e+05       3.233362038505e+05       0.000000000000e+00       2.448478332882e+05 
       1.655331900072e-05       2.425052159085e+05       0.000000000000e+00       2.425051932051e+05       3.233365683971e+05       3.233361297759e+05       0.000000000000e+00       2.448478462133e+05 
       1.674499740094e-05       2.425052117277e+05       0.000000000000e+00       2.425051884955e+05       3.233364761855e+05       3.233360273475e+05       0.000000000000e+00       2.448478392750e+05 
       1.693889533242e-05       2.425052048520e+05       0.000000000000e+00       2.425051810787e+05       3.233363783629e+05       3.233359190699e+05       0.000000000000e+00       2.448478295526e+05 
       1.713503849614e-05       2.425052007272e+05       0.000000000000e+00       2.425051764001e+05       3.233362821427e+05       3.233358121515e+05       0.000000000000e+00       2.448478225429e+05 
       1.733345289065e-05       2.425051988563e+05       0.000000000000e+00       2.425051739625e+05       3.233361868147e+05       3.233357058761e+05       0.000000000000e+00       2.448478177425e+05 
       1.753416481556e-05       2.425051944993e+05       0.000000000000e+00       2.425051690257e+05       3.233360860096e+05       3.233355938686e+05       0.000000000000e+00       2.448478103643e+05 
       1.773720087503e-05       2.425051899850e+05       0.000000000000e+00       2.425051639181e+05       3.233359827820e+05       3.233354791778e+05       0.000000000000e+00       2.448478027578e+05 
       1.794258798126e-05       2.425051853614e+05       0.000000000000e+00       2.425051586873e+05       3.233358771444e+05       3.233353618100e+05       0.000000000000e+00       2.448477949700e+05 
       1.815035335809e-05       2.425051805859e+05       0.000000000000e+00       2.425051532905e+05       3.233357689872e+05       3.233352416494e+05       0.000000000000e+00       2.448477869561e+05 
       1.836052454460e-05       2.425051757704e+05       0.000000000000e+00       2.425051478392e+05       3.233356584058e+05       3.233351187847e+05       0.000000000000e+00       2.448477788275e+05 
       1.857312939875e-05       2.425051708432e+05       0.000000000000e+00       2.425051422614e+05       3.233355452492e+05       3.233349930590e+05       0.000000000000e+00       2.448477705100e+05 
       1.878819610109e-05       2.425051636807e+05       0.000000000000e+00       2.425051344331e+05       3.233354266296e+05       3.233348615776e+05       0.000000000000e+00       2.448477598578e+05 
       1.900575315847e-05       2.425051619884e+05       0.000000000000e+00       2.425051320595e+05       3.233353127629e+05       3.233347345494e+05       0.000000000000e+00       2.448477546489e+05 
       1.922582940784e-05       2.425051564833e+05       0.000000000000e+00       2.425051258573e+05       3.233351912130e+05       3.233345995312e+05       0.000000000000e+00       2.448477455088e+05 
       1.944845402008e-05       2.425051510385e+05       0.000000000000e+00       2.425051196991e+05       3.233350670831e+05       3.233344616196e+05       0.000000000000e+00       2.448477363462e+05 
       1.967365650383e-05       2.425051450226e+05       0.000000000000e+00       2.425051129533e+05       3.233349394696e+05       3.233343199033e+05       0.000000000000e+00       2.448477265217e+05 
