# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       1.008985923246e-05       2.425053046473e+05       0.000000000000e+00       0.000000000000e+00       2.425052962356e+05       3.233390240832e+05       3.233388613113e+05       0.000000000000e+00       0.000000000000e+00       2.448480091272e+05 
       1.020669429593e-05       2.425053034625e+05       0.000000000000e+00       0.000000000000e+00       2.425052948549e+05       3.233389903100e+05       3.233388237467e+05       0.000000000000e+00       0.000000000000e+00       2.448480069216e+05 
       1.032488224568e-05       2.425053024741e+05       0.000000000000e+00       0.000000000000e+00       2.425052936661e+05       3.233389560480e+05       3.233387856056e+05       0.000000000000e+00       0.000000000000e+00       2.448480048907e+05 
       1.044443874738e-05       2.425053147101e+05       0.000000000000e+00       0.000000000000e+00       2.425053056969e+05       3.233389386521e+05       3.233387642395e+05       0.000000000000e+00       0.000000000000e+00       2.448480161876e+05 
       1.056537964813e-05       2.425053138294e+05       0.000000000000e+00       0.000000000000e+00       2.425053046062e+05       3.233389029819e+05       3.233387245067e+05       0.000000000000e+00       0.000000000000e+00       2.448480142166e+05 
       1.068772097850e-05       2.425052980463e+05       0.000000000000e+00       0.000000000000e+00       2.425052886082e+05       3.233388466392e+05       3.233386640059e+05       0.000000000000e+00       0.000000000000e+00       2.448479971746e+05 
       1.081147895471e-05       2.425052967309e+05       0.000000000000e+00       0.000000000000e+00       2.425052870729e+05       3.233388087637e+05       3.233386218764e+05       0.000000000000e+00       0.000000000000e+00       2.448479947139e+05 
       1.093666998075e-05       2.425052866662e+05       0.000000000000e+00       0.000000000000e+00       2.425052767833e+05       3.233387583812e+05       3.233385671407e+05       0.000000000000e+00       0.000000000000e+00       2.448479833928e+05 
       1.106331065055e-05       2.425052854184e+05       0.000000000000e+00       0.000000000000e+00       2.425052753053e+05       3.233387188935e+05       3.233385231984e+05       0.000000000000e+00       0.000000000000e+00       2.448479809467e+05 
       1.119141775019e-05       2.425052840250e+05       0.000000000000e+00       0.000000000000e+00       2.425052736762e+05       3.233386783305e+05       3.233384780771e+05       0.000000000000e+00       0.000000000000e+00       2.448479783261e+05 
       1.132100826013e-05       2.425052826852e+05       0.000000000000e+00       0.000000000000e+00       2.425052720954e+05       3.233386369375e+05       3.233384320197e+05       0.000000000000e+00       0.000000000000e+00       2.448479757314e+05 
       1.145209935746e-05       2.425052813836e+05       0.000000000000e+00       0.000000000000e+00       2.425052705471e+05       3.233385946729e+05       3.233383849819e+05       0.000000000000e+00       0.000000000000e+00       2.448479731464e+05 
       1.158470841815e-05       2.425052801430e+05       0.000000000000e+00       0.000000000000e+00       2.425052690541e+05       3.233385515456e+05       3.233383369703e+05       0.000000000000e+00       0.000000000000e+00       2.448479705934e+05 
       1.171885301939e-05       2.425052784450e+05       0.000000000000e+00       0.000000000000e+00       2.425052670978e+05       3.233385068423e+05       3.233382872690e+05       0.000000000000e+00       0.000000000000e+00       2.448479675482e+05 
       1.185455094190e-05       2.425052766989e+05       0.000000000000e+00       0.000000000000e+00       2.425052650875e+05       3.233384610866e+05       3.233382363987e+05       0.000000000000e+00       0.000000000000e+00       2.448479644236e+05 
       1.199182017231e-05       2.425052746094e+05       0.000000000000e+00       0.000000000000e+00       2.425052627275e+05       3.233384138613e+05       3.233381839398e+05       0.000000000000e+00       0.000000000000e+00       2.448479609204e+05 
       1.213067890549e-05       2.425052726672e+05       0.000000000000e+00       0.000000000000e+00       2.425052605085e+05       3.233383657972e+05       3.233381305202e+05       0.000000000000e+00       0.000000000000e+00       2.448479575335e+05 
       1.227114554701e-05       2.425052697011e+05       0.000000000000e+00       0.000000000000e+00       2.425052572591e+05       3.233383153087e+05       3.233380745515e+05       0.000000000000e+00       0.000000000000e+00       2.448479530795e+05 
       1.241323871559e-05       2.425052676834e+05       0.000000000000e+00       0.000000000000e+00       2.425052549517e+05       3.233382650010e+05       3.233380186358e+05       0.000000000000e+00       0.000000000000e+00       2.448479495492e+05 
       1.255697724552e-05       2.425052655447e+05       0.000000000000e+00       0.000000000000e+00       2.425052525164e+05       3.233382134227e+05       3.233379613190e+05       0.000000000000e+00       0.000000000000e+00       2.448479458620e+05 
       1.270238018917e-05       2.425052633539e+05       0.000000000000e+00       0.000000000000e+00       2.425052500221e+05       3.233381606400e+05       3.233379026641e+05       0.000000000000e+00       0.000000000000e+00       2.448479420865e+05 
       1.284946681956e-05       2.425052611621e+05       0.000000000000e+00       0.000000000000e+00       2.425052475198e+05       3.233381066944e+05       3.233378427097e+05       0.000000000000e+00       0.000000000000e+00       2.448479382737e+05 
       1.299825663287e-05       2.425052588365e+05       0.000000000000e+00       0.000000000000e+00       2.425052448764e+05       3.233380513820e+05       3.233377812483e+05       0.000000000000e+00       0.000000000000e+00       2.448479342884e+05 
       1.314876935100e-05       2.425052564472e+05       0.000000000000e+00       0.000000000000e+00       2.425052421620e+05       3.233379947686e+05       3.233377183427e+05       0.000000000000e+00       0.000000000000e+00       2.448479302007e+05 
       1.330102492428e-05       2.425052539587e+05       0.000000000000e+00       0.000000000000e+00       2.425052393407e+05       3.233379367783e+05       3.233376539138e+05       0.000000000000e+00       0.000000000000e+00       2.448479259739e+05 
