# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156127217100e+03       3.965515060547e-02       0.000000000000e+00       3.017270148705e+00       5.143440346979e-08       3.476377307700e-03      -1.439127552080e-05 
    3       1.082080852500e+03       5.009588970822e-02       0.000000000000e+00       3.403958015868e+00       6.337603048293e-08       3.466985500229e-03      -1.528336052277e-05 
    4       1.015296203994e+03       4.259245877713e-02       0.000000000000e+00       3.177278838654e+00       7.337649623168e-08       3.376547800158e-03      -1.275242386129e-05 
    5       9.656167027446e+02       2.787825514612e-02       0.000000000000e+00       2.691930846204e+00       8.208043376125e-08       3.256998545751e-03      -8.501798202629e-06 
    6       9.312612519362e+02       1.530225420267e-02       0.000000000000e+00       2.150308571660e+00       8.971645688326e-08       3.127961163383e-03      -3.941551897084e-06 
    7       9.084861876560e+02       8.182481997526e-03       0.000000000000e+00       1.669633043009e+00       9.646935110528e-08       2.998986558902e-03      -1.379040276123e-07 
    8       8.945263695681e+02       5.285739896729e-03       0.000000000000e+00       1.301066516669e+00       1.024831940390e-07       2.875320281943e-03       2.297559662820e-06 
    9       8.870743039614e+02       4.229568777049e-03       0.000000000000e+00       1.055137292653e+00       1.078548974284e-07       2.759625879149e-03       3.216337074547e-06 
   10       8.842028332909e+02       3.556797431109e-03       0.000000000000e+00       9.191610278160e-01       1.126460510777e-07       2.652230476587e-03       2.856302400947e-06 
   11       8.851692910516e+02       2.948979442776e-03       0.000000000000e+00       8.687026422940e-01       1.141773990029e-07       2.564108992150e-03       1.710755208797e-06 
   12       8.888461881571e+02       2.552559536325e-03       0.000000000000e+00       8.762202677384e-01       1.178801241967e-07       2.463260391240e-03       2.991340728602e-07 
   13       8.947012972321e+02       2.435555491763e-03       0.000000000000e+00       9.175241436617e-01       1.211917099319e-07       2.375283930537e-03      -8.995431455764e-07 
   14       9.021912262213e+02       2.504354356252e-03       0.000000000000e+00       9.747510500227e-01       1.241554192859e-07       2.284092755998e-03      -1.622665415452e-06 
   15       9.112779910496e+02       2.659234965040e-03       0.000000000000e+00       1.037014906033e+00       1.268075603768e-07       2.201656010273e-03      -1.781991236149e-06 
   16       9.214957085340e+02       2.895588314753e-03       0.000000000000e+00       1.099439193959e+00       1.291808537851e-07       2.124467933818e-03      -1.485294445420e-06 
   17       9.327877847534e+02       3.269674136544e-03       0.000000000000e+00       1.161656884400e+00       1.313028141214e-07       2.051029595111e-03      -9.480583747297e-07 
   18       9.447727283905e+02       3.823011313505e-03       0.000000000000e+00       1.225589027867e+00       1.331456802987e-07       1.980683180724e-03      -4.194177522028e-07 
   19       9.575351242981e+02       4.553725944898e-03       0.000000000000e+00       1.293307752997e+00       1.348841026578e-07       1.915497892632e-03      -5.308706726199e-08 
   20       9.709186697388e+02       5.440686960559e-03       0.000000000000e+00       1.366505705050e+00       1.363745030870e-07       1.853921199985e-03       3.645012913136e-08 
   21       9.849689133993e+02       6.477403234958e-03       0.000000000000e+00       1.444795118591e+00       1.377075852119e-07       1.795996333062e-03      -1.357466394353e-07 
   22       9.995419965534e+02       7.659211589087e-03       0.000000000000e+00       1.526313550883e+00       1.388574151962e-07       1.739654892683e-03      -4.636329119475e-07 
