# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156131006633e+03       3.965685732851e-02       1.706722661874e-06       3.017270115816e+00       5.143440346979e-08       3.476377307700e-03      -1.439127552080e-05 
    3       1.082088413940e+03       5.009930395276e-02       3.414240825411e-06       3.403957869285e+00       6.337603048293e-08       3.466985500229e-03      -1.528336052277e-05 
    4       1.015308767692e+03       4.259815094746e-02       5.692152047773e-06       3.177278417432e+00       7.337649623168e-08       3.376547800158e-03      -1.275242386129e-05 
    5       9.656354768222e+02       2.788679667859e-02       8.541469894864e-06       2.691929886521e+00       8.208043376125e-08       3.256998545751e-03      -8.501798202629e-06 
    6       9.312874177941e+02       1.531421779528e-02       1.196342198552e-05       2.150306684390e+00       8.971645688326e-08       3.127961163383e-03      -3.941551897084e-06 
    7       9.085208961271e+02       8.198441820016e-03       1.595942559661e-05       1.669629693286e+00       9.646935110528e-08       2.998986558902e-03      -1.379040276123e-07 
    8       8.945707378037e+02       5.306271777123e-03       2.053106013318e-05       1.301061005716e+00       1.024831940390e-07       2.875320281943e-03       2.297559662820e-06 
    9       8.871294131006e+02       4.255250360420e-03       2.568003730836e-05       1.055128742080e+00       1.078548974284e-07       2.759625879149e-03       3.216337074547e-06 
   10       8.842697269403e+02       3.588208306361e-03       3.140816993570e-05       9.191483664854e-01       1.126460510777e-07       2.652230476587e-03       2.856302400947e-06 
   11       8.852489745757e+02       2.986701233449e-03       3.771734026226e-05       8.686845958201e-01       1.141773990029e-07       2.564108992150e-03       1.710755208797e-06 
   12       8.889396287506e+02       2.597175951695e-03       4.460946876327e-05       8.761953505798e-01       1.178801241967e-07       2.463260391240e-03       2.991340728602e-07 
   13       8.948094247228e+02       2.487652334936e-03       5.208648427943e-05       9.174906537306e-01       1.211917099319e-07       2.375283930537e-03      -8.995431455764e-07 
   14       9.023149345277e+02       2.564519486567e-03       6.015029630748e-05       9.747070656683e-01       1.241554192859e-07       2.284092755998e-03      -1.622665415452e-06 
   15       9.114181401968e+02       2.728058212858e-03       6.880277015626e-05       1.036958285217e+00       1.268075603768e-07       2.201656010273e-03      -1.781991236149e-06 
   16       9.216531271171e+02       2.973661347592e-03       7.804570555832e-05       1.099367575412e+00       1.291808537851e-07       2.124467933818e-03      -1.485294445420e-06 
   17       9.329632727256e+02       3.357590276573e-03       8.788081918617e-05       1.161567690525e+00       1.313028141214e-07       2.051029595111e-03      -9.480583747297e-07 
   18       9.449670601030e+02       3.921365308288e-03       9.830972963684e-05       1.225479469261e+00       1.331456802987e-07       1.980683180724e-03      -4.194177522028e-07 
   19       9.577490513160e+02       4.663113689058e-03       1.093339571289e-04       1.293174833781e+00       1.348841026578e-07       1.915497892632e-03      -5.308706726199e-08 
   20       9.711529242244e+02       5.561705182848e-03       1.209548996894e-04       1.366346230384e+00       1.363745030870e-07       1.853921199985e-03       3.645012913136e-08 
   21       9.852242104480e+02       6.610649143138e-03       1.331738591794e-04       1.444605701686e+00       1.377075852119e-07       1.795996333062e-03      -1.357466394353e-07 
   22       9.998190371734e+02       7.805282480491e-03       1.459920149814e-04       1.526090622386e+00       1.388574151962e-07       1.739654892683e-03      -4.636329119475e-07 
   23       1.014925058312e+03       9.144043222571e-03       1.594104624998e-04       1.607418620837e+00       1.398967260823e-07       1.685490114609e-03      -8.367016694122e-07 
   24       1.030416456931e+03       1.062510825573e-02       1.734301864231e-04       1.684395890340e+00       1.407757525825e-07       1.633486569667e-03      -1.124569984310e-06 
   25       1.046372986430e+03       1.224945832846e-02       1.880521137211e-04       1.754640462166e+00       1.415510062566e-07       1.584723512916e-03      -1.264403785635e-06 
