# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       5.859280029407e+01 
       2.255719769589e-05       1.268421367259e+02 
       3.506555420660e-05       1.937254461816e+02 
       4.764645159108e-05       2.600148315366e+02 
       6.033190141592e-05       3.261351344359e+02 
       7.315467092723e-05       3.923958958236e+02 
       8.614855854463e-05       4.590558901447e+02 
       9.934868083335e-05       5.263492661673e+02 
       1.127917744318e-04       5.944987368013e+02 
       1.265165164427e-04       6.637233357426e+02 
       1.405638668095e-04       7.342436769652e+02 
       1.549774361739e-04       8.062858561386e+02 
       1.698038826023e-04       8.800847525822e+02 
       1.850933403405e-04       9.558867300972e+02 
       2.008998833298e-04       1.033952554297e+03 
       2.172820255191e-04       1.114559816482e+03 
       2.343032589166e-04       1.198005546454e+03 
       2.520326286987e-04       1.284608788856e+03 
       2.705453423507e-04       1.374713251648e+03 
       2.899234065332e-04       1.468689671300e+03 
       3.102562808848e-04       1.566938466881e+03 
       3.316415320020e-04       1.669891941460e+03 
       3.541854630778e-04       1.778016263813e+03 
       3.780036848925e-04       1.891813074131e+03 
       4.032215818915e-04       2.011819973694e+03 
       4.299746130893e-04       2.138610907901e+03 
       4.584083720524e-04       2.272793981692e+03 
       4.886783144482e-04       2.415008563324e+03 
       5.209490477482e-04       2.565919114301e+03 
       5.553930689342e-04       2.726207807214e+03 
       5.921888370366e-04       2.896562164260e+03 
       6.315180835930e-04       3.077660623648e+03 
       6.735623014525e-04       3.270153937526e+03 
       7.184984152794e-04       3.474643211897e+03 
       7.664937265708e-04       3.691655864615e+03 
       8.177003367690e-04       3.921619200110e+03 
       8.722493706395e-04       4.164834957352e+03 
       9.302454266520e-04       4.421455884351e+03 
       9.917617446558e-04       4.691467216351e+03 
       1.056836578430e-03       4.974674797513e+03 
       1.125471177361e-03       5.270702308400e+03 
       1.197629621944e-03       5.578996843779e+03 
       1.273240547622e-03       5.898816678755e+03 
       1.352200571856e-03       6.229316968827e+03 
       1.434379055135e-03       6.569558677607e+03 
       1.519623712112e-03       6.918505995648e+03 
       1.607766558727e-03       7.275079024829e+03 
       1.698629727670e-03       7.638181467687e+03 
       1.792030784804e-03       8.006728574851e+03 
       1.887787303997e-03       8.379667058593e+03 
       1.985720580816e-03       8.755991885942e+03 
       2.085658468535e-03       9.134758408772e+03 
       2.187437394457e-03       9.515090128686e+03 
       2.290903659856e-03       9.896182144958e+03 
       2.395914147453e-03       1.027730206604e+04 
       2.502336562553e-03       1.065778765580e+04 
       2.610049324495e-03       1.103704662034e+04 
       2.718941209310e-03       1.141454942137e+04 
       2.828910826494e-03       1.178982733386e+04 
       2.939865995182e-03       1.216246649420e+04 
       3.051723069185e-03       1.253210141238e+04 
       3.164406246984e-03       1.289841403593e+04 
       3.277846891959e-03       1.326112771230e+04 
       3.391982879722e-03       1.361999917870e+04 
       3.506757983022e-03       1.397482012994e+04 
       3.622121300023e-03       1.432541375897e+04 
       3.738026728427e-03       1.467162453999e+04 
       3.854432485584e-03       1.501332530627e+04 
       3.971300673230e-03       1.535040616063e+04 
       4.088596884516e-03       1.568277951339e+04 
       4.206289850465e-03       1.601037008793e+04 
       4.324351122720e-03       1.633311686987e+04 
       4.442754789394e-03       1.665098581784e+04 
       4.561477220893e-03       1.696392066203e+04 
       4.680496842748e-03       1.727183047572e+04 
       4.799793932661e-03       1.757488771599e+04 
       4.919350439215e-03       1.787294811150e+04 
       5.039149819915e-03       1.816598310379e+04 
       5.159176896443e-03       1.845411841572e+04 
       5.279417725232e-03       1.873736632806e+04 
       5.399859481667e-03       1.901564786849e+04 
       5.520490356386e-03       1.928900341747e+04 
       5.641299462347e-03       1.955661355364e+04 
       5.762276751463e-03       1.982018750090e+04 
       5.883412939734e-03       2.007884384619e+04 
       6.004699439957e-03       2.033281100485e+04 
       6.126128301163e-03       2.058213557370e+04 
       6.247692154061e-03       2.082700145131e+04 
       6.369384161834e-03       2.106650225172e+04 
       6.491197975701e-03       2.130150738049e+04 
