# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.008985870589e-05       1.974869516645e+07       0.000000000000e+00       1.974869470279e+07       2.631776480044e+07       2.631744223371e+07       0.000000000000e+00       1.975065505211e+07 
       2.255719769589e-05       1.974858722432e+07       0.000000000000e+00       1.974858490782e+07       2.626239974226e+07       2.626079016933e+07       0.000000000000e+00       1.975053014867e+07 
       3.506555420660e-05       1.974839192909e+07       0.000000000000e+00       1.974838633512e+07       2.616461425469e+07       2.616073582787e+07       0.000000000000e+00       1.975030489754e+07 
       4.764645159108e-05       1.974811073051e+07       0.000000000000e+00       1.974810041270e+07       2.602402859472e+07       2.601689745118e+07       0.000000000000e+00       1.974998063072e+07 
       6.033190141592e-05       1.974774080188e+07       0.000000000000e+00       1.974772428054e+07       2.584002929886e+07       2.582865773458e+07       0.000000000000e+00       1.974955433318e+07 
       7.315467092723e-05       1.974727906118e+07       0.000000000000e+00       1.974725481081e+07       2.561177974724e+07       2.559517448547e+07       0.000000000000e+00       1.974902266564e+07 
       8.614855854463e-05       1.974672147725e+07       0.000000000000e+00       1.974668791392e+07       2.533822538718e+07       2.531538672603e+07       0.000000000000e+00       1.974838127273e+07 
       9.934868083335e-05       1.974606283892e+07       0.000000000000e+00       1.974601830723e+07       2.501810195084e+07       2.498802388297e+07       0.000000000000e+00       1.974762455460e+07 
       1.127917744318e-04       1.974529708622e+07       0.000000000000e+00       1.974523984493e+07       2.464994839668e+07       2.461161944521e+07       0.000000000000e+00       1.974674600178e+07 
       1.265165164427e-04       1.974441678659e+07       0.000000000000e+00       1.974434499443e+07       2.423212271075e+07       2.418452868906e+07       0.000000000000e+00       1.974573767655e+07 
       1.405638668095e-04       1.974341349031e+07       0.000000000000e+00       1.974332518897e+07       2.376282696728e+07       2.370495475864e+07       0.000000000000e+00       1.974459057534e+07 
       1.549774361739e-04       1.974227712310e+07       0.000000000000e+00       1.974217022150e+07       2.324013849313e+07       2.317098308523e+07       0.000000000000e+00       1.974329403147e+07 
       1.698038826023e-04       1.974099662945e+07       0.000000000000e+00       1.974086888563e+07       2.266205614176e+07       2.258063023286e+07       0.000000000000e+00       1.974183637196e+07 
       1.850933403405e-04       1.973955782483e+07       0.000000000000e+00       1.973940682551e+07       2.202655957788e+07       2.193190562620e+07       0.000000000000e+00       1.974020278800e+07 
       2.008998833298e-04       1.973794594641e+07       0.000000000000e+00       1.973776908754e+07       2.133169255292e+07       2.122290072128e+07       0.000000000000e+00       1.973837791061e+07 
       2.172820255191e-04       1.973614337316e+07       0.000000000000e+00       1.973593783938e+07       2.057566731143e+07       2.045189855019e+07       0.000000000000e+00       1.973634356307e+07 
       2.343032589166e-04       1.973412986500e+07       0.000000000000e+00       1.973389260568e+07       1.975700528179e+07       1.961751975744e+07       0.000000000000e+00       1.973407904196e+07 
       2.520326286987e-04       1.973188227191e+07       0.000000000000e+00       1.973160998022e+07       1.887471389900e+07       1.871890832284e+07       0.000000000000e+00       1.973156088080e+07 
       2.705453423507e-04       1.972937469897e+07       0.000000000000e+00       1.972906378839e+07       1.792851252113e+07       1.775596548997e+07       0.000000000000e+00       1.972876308295e+07 
       2.899234065332e-04       1.972657669660e+07       0.000000000000e+00       1.972622328300e+07       1.691910661923e+07       1.672963580195e+07       0.000000000000e+00       1.972565539657e+07 
       3.102562808848e-04       1.972345424974e+07       0.000000000000e+00       1.972305412967e+07       1.584852917518e+07       1.564225657103e+07       0.000000000000e+00       1.972220440575e+07 
       3.316415320020e-04       1.971996856746e+07       0.000000000000e+00       1.971951720721e+07       1.472053374041e+07       1.449796507738e+07       0.000000000000e+00       1.971837244131e+07 
       3.541854630778e-04       1.971607553314e+07       0.000000000000e+00       1.971556806188e+07       1.354104717451e+07       1.330316049796e+07       0.000000000000e+00       1.971411716806e+07 
       3.780036848925e-04       1.971172568315e+07       0.000000000000e+00       1.971115690332e+07       1.231865733361e+07       1.206700134575e+07       0.000000000000e+00       1.970939171309e+07 
       4.032215818915e-04       1.970686202589e+07       0.000000000000e+00       1.970622642750e+07       1.106510482385e+07       1.080189617769e+07       0.000000000000e+00       1.970414263279e+07 
       4.299746130893e-04       1.970142259887e+07       0.000000000000e+00       1.970071439993e+07       9.795715352398e+06       9.523931097589e+06       0.000000000000e+00       1.969831260201e+07 
       4.584083720524e-04       1.969533684946e+07       0.000000000000e+00       1.969455008399e+07       8.529664186638e+06       8.253118157990e+06       0.000000000000e+00       1.969183688102e+07 
       4.886783144482e-04       1.968852755659e+07       0.000000000000e+00       1.968765614028e+07       7.289973982440e+06       7.013336894513e+06       0.000000000000e+00       1.968464522524e+07 
       5.209490477482e-04       1.968090825330e+07       0.000000000000e+00       1.967994617105e+07       6.103003158554e+06       5.831772021694e+06       0.000000000000e+00       1.967665917069e+07 
       5.553930689342e-04       1.967238719397e+07       0.000000000000e+00       1.967132867659e+07       4.997303614426e+06       4.737654520307e+06       0.000000000000e+00       1.966779564303e+07 
       5.921888370366e-04       1.966286418072e+07       0.000000000000e+00       1.966170395093e+07       4.001590597481e+06       3.760099975934e+06       0.000000000000e+00       1.965796317510e+07 
       6.315180835930e-04       1.965223344971e+07       0.000000000000e+00       1.965096704133e+07       3.141768561381e+06       2.924973320069e+06       0.000000000000e+00       1.964706389778e+07 
       6.735623014525e-04       1.964038458851e+07       0.000000000000e+00       1.963900868538e+07       2.437114845903e+06       2.250901618285e+06       0.000000000000e+00       1.963499330101e+07 
       7.184984152794e-04       1.962720400502e+07       0.000000000000e+00       1.962571678904e+07       1.896069004243e+06       1.744933866817e+06       0.000000000000e+00       1.962164043168e+07 
       7.664937265708e-04       1.961257850783e+07       0.000000000000e+00       1.961098009032e+07       1.512543712076e+06       1.398819884729e+06       0.000000000000e+00       1.960689038258e+07 
       8.177003367690e-04       1.959639657081e+07       0.000000000000e+00       1.959468927951e+07       1.264111176472e+06       1.187317821148e+06       0.000000000000e+00       1.959062500553e+07 
       8.722493706395e-04       1.957855200757e+07       0.000000000000e+00       1.957674066868e+07       1.113567915413e+06       1.070100136987e+06       0.000000000000e+00       1.957272709241e+07 
       9.302454266520e-04       1.955894677306e+07       0.000000000000e+00       1.955703867996e+07       1.014940438394e+06       9.983062225904e+05       0.000000000000e+00       1.955308498085e+07 
       9.917617446558e-04       1.953749412812e+07       0.000000000000e+00       1.953549904347e+07       9.236540242109e+05       9.253611458856e+05       0.000000000000e+00       1.953159883684e+07 
       1.056836578430e-03       1.951412106552e+07       0.000000000000e+00       1.951205071006e+07       8.084680256400e+05       8.194758038120e+05       0.000000000000e+00       1.950818662222e+07 
       1.125471177361e-03       1.948877135171e+07       0.000000000000e+00       1.948663892977e+07       6.607753072711e+05       6.731520075407e+05       0.000000000000e+00       1.948278994145e+07 
       1.197629621944e-03       1.946140607886e+07       0.000000000000e+00       1.945922533352e+07       4.962102061109e+05       5.044778699042e+05       0.000000000000e+00       1.945537495463e+07 
       1.273240547622e-03       1.943195957581e+07       0.000000000000e+00       1.942974378082e+07       3.459114711402e+05       3.475868628532e+05       0.000000000000e+00       1.942588558587e+07 
       1.352200571856e-03       1.940044978252e+07       0.000000000000e+00       1.939821085428e+07       2.397317210958e+05       2.348965629913e+05       0.000000000000e+00       1.939434875720e+07 
       1.434379055135e-03       1.936693240671e+07       0.000000000000e+00       1.936468005474e+07       1.893551772360e+05       1.795829937426e+05       0.000000000000e+00       1.936082344986e+07 
       1.519623712112e-03       1.933144677114e+07       0.000000000000e+00       1.932918762507e+07       1.812537235324e+05       1.685247183700e+05       0.000000000000e+00       1.932534446059e+07 
       1.607766558727e-03       1.929404965882e+07       0.000000000000e+00       1.929178684539e+07       1.848473941843e+05       1.710029978297e+05       0.000000000000e+00       1.928795881447e+07 
       1.698629727670e-03       1.925480978819e+07       0.000000000000e+00       1.925254271279e+07       1.716165498454e+05       1.583959872806e+05       0.000000000000e+00       1.924872605022e+07 
       1.792030784804e-03       1.921380756241e+07       0.000000000000e+00       1.921153224202e+07       1.325589027672e+05       1.217290222584e+05       0.000000000000e+00       1.920772328401e+07 
       1.887787303997e-03       1.917113028242e+07       0.000000000000e+00       1.916883985810e+07       8.148760681793e+04       7.452842042048e+04       0.000000000000e+00       1.916504138461e+07 
       1.985720580816e-03       1.912687004336e+07       0.000000000000e+00       1.912455561406e+07       4.179866550632e+04       3.914852755744e+04       0.000000000000e+00       1.912077892348e+07 
       2.085658468535e-03       1.908112193654e+07       0.000000000000e+00       1.907877356845e+07       2.730585952384e+04       2.781556073115e+04       0.000000000000e+00       1.907503471467e+07 
       2.187437394457e-03       1.903398242150e+07       0.000000000000e+00       1.903159010461e+07       3.251868430436e+04       3.382064205861e+04       0.000000000000e+00       1.902790338911e+07 
       2.290903659856e-03       1.898554729461e+07       0.000000000000e+00       1.898310185125e+07       3.963314966640e+04       3.940073982985e+04       0.000000000000e+00       1.897947554998e+07 
       2.395914147453e-03       1.893591045342e+07       0.000000000000e+00       1.893340416882e+07       3.494018379922e+04       3.214023453355e+04       0.000000000000e+00       1.892984138476e+07 
       2.502336562553e-03       1.888516200821e+07       0.000000000000e+00       1.888258896944e+07       1.954027650087e+04       1.468180147276e+04       0.000000000000e+00       1.887909180191e+07 
       2.610049324495e-03       1.883339000396e+07       0.000000000000e+00       1.883074627873e+07       5.436399865648e+03      -3.049203587132e+02       0.000000000000e+00       1.882731882197e+07 
       2.718941209310e-03       1.878067700404e+07       0.000000000000e+00       1.877796041079e+07       2.217350674777e+03      -3.649040739041e+03       0.000000000000e+00       1.877460809359e+07 
       2.828910826494e-03       1.872710207924e+07       0.000000000000e+00       1.872431184319e+07       7.922398595698e+03       2.002541603101e+03       0.000000000000e+00       1.872103823619e+07 
       2.939865995182e-03       1.867273965423e+07       0.000000000000e+00       1.866987583356e+07       1.237518238688e+04       6.422208153383e+03       0.000000000000e+00       1.866668075236e+07 
       3.051723069185e-03       1.861765828851e+07       0.000000000000e+00       1.861472111779e+07       8.283668245435e+03       2.944837111694e+03       0.000000000000e+00       1.861160211210e+07 
       3.164406246984e-03       1.856192361977e+07       0.000000000000e+00       1.855891315454e+07      -1.853262490267e+03      -4.416119802260e+02       0.000000000000e+00       1.855586931785e+07 
       3.277846891959e-03       1.850559721660e+07       0.000000000000e+00       1.850251273226e+07      -9.555635901032e+03       8.953474841307e+03       0.000000000000e+00       1.849954682990e+07 
       3.391982879722e-03       1.844873406049e+07       0.000000000000e+00       1.844557389994e+07      -9.772394398975e+03       2.590194332577e+04       0.000000000000e+00       1.844268970707e+07 
       3.506757983022e-03       1.839138666236e+07       0.000000000000e+00       1.838814813655e+07      -5.534219225178e+03       3.795079227557e+04       0.000000000000e+00       1.838534821450e+07 
       3.622121300023e-03       1.833360511154e+07       0.000000000000e+00       1.833028447449e+07      -3.590702430905e+03       3.900763981607e+04       0.000000000000e+00       1.832757031182e+07 
       3.738026728427e-03       1.827543268849e+07       0.000000000000e+00       1.827202552665e+07      -6.748059962963e+03       3.305710265963e+04       0.000000000000e+00       1.826939914314e+07 
       3.854432485584e-03       1.821691258698e+07       0.000000000000e+00       1.821341404119e+07      -1.150615086153e+04       2.826855018833e+04       0.000000000000e+00       1.821087942679e+07 
       3.971300673230e-03       1.815808267026e+07       0.000000000000e+00       1.815448785181e+07      -1.287963702527e+04       2.894417247602e+04       0.000000000000e+00       1.815205041383e+07 
       4.088596884516e-03       1.809898023325e+07       0.000000000000e+00       1.809528445582e+07      -1.021260068969e+04       3.269195763681e+04       0.000000000000e+00       1.809294924668e+07 
       4.206289850465e-03       1.803963745221e+07       0.000000000000e+00       1.803583655993e+07      -7.390003558317e+03       3.430150684700e+04       0.000000000000e+00       1.803360686210e+07 
       4.324351122720e-03       1.798008398326e+07       0.000000000000e+00       1.797617446998e+07      -7.824805406529e+03       3.154526732108e+04       0.000000000000e+00       1.797405214485e+07 
       4.442754789394e-03       1.792035490370e+07       0.000000000000e+00       1.791633384815e+07      -1.048813930352e+04       2.699096829580e+04       0.000000000000e+00       1.791432075662e+07 
       4.561477220893e-03       1.786046490317e+07       0.000000000000e+00       1.785632997489e+07      -2.639329775408e+04      -2.678983267003e+04       0.000000000000e+00       1.785441975676e+07 
       4.680496842748e-03       1.780040468129e+07       0.000000000000e+00       1.779615395056e+07      -2.498459741428e+04      -2.535995667409e+04       0.000000000000e+00       1.779435804351e+07 
       4.799793932661e-03       1.774029434931e+07       0.000000000000e+00       1.773592608558e+07      -2.367761075524e+04      -2.403333682808e+04       0.000000000000e+00       1.773424590816e+07 
       4.919350439215e-03       1.768008400366e+07       0.000000000000e+00       1.767559636847e+07      -2.246419952157e+04      -2.280169527438e+04       0.000000000000e+00       1.767403344600e+07 
       5.039149819915e-03       1.761978048526e+07       0.000000000000e+00       1.761517157209e+07      -2.133621920510e+04      -2.165676214699e+04       0.000000000000e+00       1.761372748671e+07 
       5.159176896443e-03       1.755946067533e+07       0.000000000000e+00       1.755472811775e+07      -2.028523448649e+04      -2.058998875368e+04       0.000000000000e+00       1.755340481231e+07 
       5.279417725232e-03       1.749914021233e+07       0.000000000000e+00       1.749428134524e+07      -1.930469060726e+04      -1.959471996067e+04       0.000000000000e+00       1.749308100742e+07 
       5.399859481667e-03       1.743878957106e+07       0.000000000000e+00       1.743380139020e+07      -1.838917306906e+04      -1.866545157683e+04       0.000000000000e+00       1.743272649918e+07 
       5.520490356386e-03       1.737843312319e+07       0.000000000000e+00       1.737331235059e+07      -1.753314632110e+04      -1.779656678774e+04       0.000000000000e+00       1.737236560677e+07 
       5.641299462347e-03       1.731771116031e+07       0.000000000000e+00       1.731245434051e+07      -1.673618681107e+04      -1.698757355720e+04       0.000000000000e+00       1.731163869885e+07 
       5.762276751463e-03       1.725738726316e+07       0.000000000000e+00       1.725199103964e+07      -1.598475924185e+04      -1.622486117480e+04       0.000000000000e+00       1.725130914932e+07 
       5.883412939734e-03       1.719706416527e+07       0.000000000000e+00       1.719152524387e+07      -1.527990257541e+04      -1.550941415009e+04       0.000000000000e+00       1.719097982060e+07 
       6.004699439957e-03       1.713683670132e+07       0.000000000000e+00       1.713115192106e+07      -1.461710760341e+04      -1.483666837355e+04       0.000000000000e+00       1.713074554326e+07 
       6.126128301163e-03       1.707671727010e+07       0.000000000000e+00       1.707088386775e+07      -1.399312422977e+04      -1.420332478091e+04       0.000000000000e+00       1.707061878148e+07 
       6.247692154061e-03       1.701677275016e+07       0.000000000000e+00       1.701078822874e+07      -1.340455949041e+04      -1.360594556926e+04       0.000000000000e+00       1.701066644048e+07 
       6.369384161833e-03       1.695662653733e+07       0.000000000000e+00       1.695048855027e+07      -1.285237821136e+04      -1.304545883472e+04       0.000000000000e+00       1.695051205395e+07 
       6.491197975701e-03       1.689662753431e+07       0.000000000000e+00       1.689033392821e+07      -1.233074919878e+04      -1.251599301587e+04       0.000000000000e+00       1.689050445530e+07 
       6.613127694760e-03       1.683671514470e+07       0.000000000000e+00       1.683026400665e+07      -1.183814420337e+04      -1.201598701420e+04       0.000000000000e+00       1.683058310786e+07 
       6.735167829630e-03       1.677690900841e+07       0.000000000000e+00       1.677029822252e+07      -1.137236867450e+04      -1.154321534020e+04       0.000000000000e+00       1.677076761158e+07 
       6.857313269518e-03       1.671720078451e+07       0.000000000000e+00       1.671042823862e+07      -1.093166727705e+04      -1.109589463299e+04       0.000000000000e+00       1.671104962918e+07 
       6.979559252335e-03       1.665753000020e+07       0.000000000000e+00       1.665059332426e+07      -1.051484695246e+04      -1.067280660118e+04       0.000000000000e+00       1.665136866210e+07 
       7.101901337569e-03       1.659804493509e+07       0.000000000000e+00       1.659094187526e+07      -1.011922632823e+04      -1.027124509140e+04       0.000000000000e+00       1.659187296641e+07 
       7.224335381610e-03       1.653860018304e+07       0.000000000000e+00       1.653132797054e+07      -9.744457726104e+03      -9.890841767934e+03       0.000000000000e+00       1.653241709126e+07 
       7.346857515298e-03       1.647955639624e+07       0.000000000000e+00       1.647211249943e+07      -9.386692820508e+03      -9.527725742621e+03       0.000000000000e+00       1.647336162301e+07 
       7.469464123462e-03       1.642038938353e+07       0.000000000000e+00       1.641277107201e+07      -9.048505034338e+03      -9.184455962565e+03       0.000000000000e+00       1.641418249207e+07 
       7.592151826260e-03       1.636133766276e+07       0.000000000000e+00       1.635354228556e+07      -8.726997691450e+03      -8.858116879949e+03       0.000000000000e+00       1.635511815963e+07 
       7.714917462131e-03       1.630242708776e+07       0.000000000000e+00       1.629445211362e+07      -8.421038183216e+03      -8.547560173077e+03       0.000000000000e+00       1.629619449262e+07 
       7.837758072220e-03       1.624363946377e+07       0.000000000000e+00       1.623548247513e+07      -8.129747297918e+03      -8.251892164840e+03       0.000000000000e+00       1.623739332146e+07 
       7.960670886125e-03       1.618499614909e+07       0.000000000000e+00       1.617665493623e+07      -7.852144659402e+03      -7.970119002819e+03       0.000000000000e+00       1.617873603397e+07 
       8.083653308837e-03       1.612648751065e+07       0.000000000000e+00       1.611795981827e+07      -7.587473453388e+03      -7.701471511554e+03       0.000000000000e+00       1.612021299238e+07 
       8.206702908768e-03       1.606811272773e+07       0.000000000000e+00       1.605939672056e+07      -7.334972899304e+03      -7.445177382319e+03       0.000000000000e+00       1.606182344837e+07 
       8.329817406768e-03       1.600987513528e+07       0.000000000000e+00       1.600096887572e+07      -7.093938308101e+03      -7.200521253309e+03       0.000000000000e+00       1.600357071858e+07 
       8.452994666029e-03       1.595178887856e+07       0.000000000000e+00       1.594269066392e+07      -6.863650627272e+03      -6.966774082592e+03       0.000000000000e+00       1.594546898451e+07 
       8.576232682811e-03       1.589381492511e+07       0.000000000000e+00       1.588452301853e+07      -6.643684789439e+03      -6.743501729182e+03       0.000000000000e+00       1.588747921962e+07 
       8.699529577895e-03       1.583600514468e+07       0.000000000000e+00       1.582651771372e+07      -6.433206913596e+03      -6.529861440884e+03       0.000000000000e+00       1.582965326207e+07 
