# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156073763421e+03       3.965352950916e-02       0.000000000000e+00       3.017162722536e+00       5.143192294416e-08       3.476126864172e-03      -1.439081166776e-05 
    3       1.082030694417e+03       5.009278228078e-02       0.000000000000e+00       3.403771904887e+00       6.337292086029e-08       3.466758158858e-03      -1.528262878144e-05 
    4       1.015246392139e+03       4.258846229102e-02       0.000000000000e+00       3.177003832404e+00       7.337301876605e-08       3.376354599677e-03      -1.275159596739e-05 
    5       9.655645503315e+02       2.787407500226e-02       0.000000000000e+00       2.691559607116e+00       8.207675666579e-08       3.256836750662e-03      -8.501077691524e-06 
    6       9.312049988511e+02       1.529828965983e-02       0.000000000000e+00       2.149840558357e+00       8.971266588123e-08       3.127824394655e-03      -3.941035851163e-06 
    7       9.084248977133e+02       8.178875843676e-03       0.000000000000e+00       1.669075323260e+00       9.646550324937e-08       2.998870032491e-03      -1.375480528685e-07 
    8       8.944591855934e+02       5.282599516480e-03       0.000000000000e+00       1.300420882583e+00       1.024793324531e-07       2.875220212835e-03       2.297845516246e-06 
    9       8.870012893022e+02       4.226976016262e-03       0.000000000000e+00       1.054415466752e+00       1.078510382041e-07       2.759536833030e-03       3.216604742634e-06 
   10       8.841267730542e+02       3.554738348200e-03       0.000000000000e+00       9.184172069861e-01       1.126422052357e-07       2.652145778733e-03       2.856567269864e-06 
   11       8.850942201395e+02       2.947368955883e-03       0.000000000000e+00       8.680168417372e-01       1.141735894616e-07       2.564020898928e-03       1.710928495491e-06 
   12       8.887749890095e+02       2.551300765426e-03       0.000000000000e+00       8.756519915527e-01       1.178763628900e-07       2.463172682689e-03       2.993226671462e-07 
   13       8.946353206856e+02       2.434569198409e-03       0.000000000000e+00       9.170913693605e-01       1.211880013814e-07       2.375199496344e-03      -8.993322501291e-07 
   14       9.021306597254e+02       2.503590551432e-03       0.000000000000e+00       9.744397719638e-01       1.241517787387e-07       2.284010918509e-03      -1.622438662612e-06 
   15       9.112220014494e+02       2.658677104132e-03       0.000000000000e+00       1.036800429339e+00       1.268039870583e-07       2.201575335811e-03      -1.781783980191e-06 
