# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870728e-05       5.859231176464e+01 
       2.255719778763e-05       1.268410705381e+02 
       3.506555438942e-05       1.937238198551e+02 
       4.764645186636e-05       2.600126260310e+02 
       6.033190178577e-05       3.261323503322e+02 
       7.315467139448e-05       3.923924914495e+02 
       8.614855911287e-05       4.590518439953e+02 
       9.934868150699e-05       5.263445418422e+02 
       1.127917752162e-04       5.944932850159e+02 
       1.265165173439e-04       6.637171066173e+02 
       1.405638678349e-04       7.342366067748e+02 
       1.549774373317e-04       8.062778663126e+02 
       1.698038839022e-04       8.800757463776e+02 
       1.850933417935e-04       9.558766068356e+02 
       2.008998849484e-04       1.033941186499e+03 
       2.172820273174e-04       1.114547053982e+03 
       2.343032609108e-04       1.197991207941e+03 
       2.520326309069e-04       1.284592695082e+03 
       2.705453447934e-04       1.374695127707e+03 
       2.899234092336e-04       1.468669268044e+03 
       3.102562838690e-04       1.566915434821e+03 
       3.316415352992e-04       1.669865874819e+03 
       3.541854667209e-04       1.777986676807e+03 
       3.780036889183e-04       1.891779404789e+03 
       4.032215863409e-04       2.011781538224e+03 
       4.299746180079e-04       2.138566937728e+03 
       4.584083774905e-04       2.272743339079e+03 
       4.886783204611e-04       2.414950109774e+03 
       5.209490543965e-04       2.565851484552e+03 
       5.553930762832e-04       2.726129161305e+03 
       5.921888451566e-04       2.896470439609e+03 
       6.315180925584e-04       3.077553201715e+03 
       6.735623113410e-04       3.270027770567e+03 
       7.184984261710e-04       3.474494576984e+03 
       7.664937385462e-04       3.691480175330e+03 
       8.177003499079e-04       3.921411119082e+03 
       8.722493850187e-04       4.164587988840e+03 
       9.302454423433e-04       4.421162372663e+03 
       9.917617617239e-04       4.691118089794e+03 
       1.056836596931e-03       4.974259483834e+03 
       1.125471197341e-03       5.270208217100e+03 
       1.197629643439e-03       5.578409801739e+03 
       1.273240570655e-03       5.898183017732e+03 
       1.352200596440e-03       6.228678466462e+03 
       1.434379081275e-03       6.568916176346e+03 
       1.519623739800e-03       6.917861120737e+03 
       1.607766587951e-03       7.274432173463e+03 
       1.698629758411e-03       7.637534018164e+03 
       1.792030817038e-03       8.006081344556e+03 
       1.887787337697e-03       8.379020602260e+03 
       1.985720615951e-03       8.755346539056e+03 
       2.085658505077e-03       9.134114715539e+03 
       2.187437432375e-03       9.514448599311e+03 
       2.290903699119e-03       9.895542926902e+03 
       2.395914188032e-03       1.027666519886e+04 
       2.502336604421e-03       1.065715359772e+04 
       2.610049367626e-03       1.103641561276e+04 
       2.718941253678e-03       1.141392159163e+04 
       2.828910872076e-03       1.178920252936e+04 
       2.939866041956e-03       1.216184464977e+04 
       3.051723117132e-03       1.253148289479e+04 
       3.164406296083e-03       1.289779954584e+04 
       3.277846942195e-03       1.326051561129e+04 
       3.391982931079e-03       1.361939027915e+04 
       3.506758035485e-03       1.397421521514e+04 
       3.622121353578e-03       1.432481125106e+04 
       3.738026783062e-03       1.467102500589e+04 
       3.854432541288e-03       1.501272886962e+04 
       3.971300729992e-03       1.534981304453e+04 
       4.088596942327e-03       1.568218910339e+04 
       4.206289909316e-03       1.600978156236e+04 
       4.324351182603e-03       1.633253620370e+04 
       4.442754850300e-03       1.665040387543e+04 
       4.561477282816e-03       1.696334383517e+04 
       4.680496905682e-03       1.727129975664e+04 
       4.799793996599e-03       1.757432420822e+04 
       4.919350504153e-03       1.787235579290e+04 
       5.039149885847e-03       1.816551182070e+04 
       5.159176963364e-03       1.845367446503e+04 
       5.279417793139e-03       1.873689158139e+04 
       5.399859550555e-03       1.901515813008e+04 
       5.520490426251e-03       1.928849944858e+04 
       5.641299533186e-03       1.955693540334e+04 
       5.762276823272e-03       1.982049866894e+04 
       5.883413012511e-03       2.007921565290e+04 
       6.004699513698e-03       2.033312723882e+04 
       6.126128375866e-03       2.058225630218e+04 
       6.247692229723e-03       2.082662819377e+04 
       6.369384238452e-03       2.106632793163e+04 
       6.491198053275e-03       2.130133890933e+04 
       6.613127773286e-03       2.153174490385e+04 
       6.735167909108e-03       2.175756978842e+04 
       6.857313349944e-03       2.197880151074e+04 
       6.979559333709e-03       2.219560167445e+04 
       7.101901419889e-03       2.240792718003e+04 
       7.224335464874e-03       2.261582514627e+04 
       7.346857599505e-03       2.281934345035e+04 
       7.469464208611e-03       2.301857455445e+04 
       7.592151912349e-03       2.321350583512e+04 
       7.714917549159e-03       2.340418862296e+04 
       7.837758160187e-03       2.359068777438e+04 
       7.960670975029e-03       2.377302854564e+04 
       8.083653398677e-03       2.395127208431e+04 
       8.206702999544e-03       2.412544001352e+04 
       8.329817498478e-03       2.429559198212e+04 
       8.452994758674e-03       2.446176304788e+04 
       8.576232776388e-03       2.462400587083e+04 
       8.699529672405e-03       2.478237296147e+04 
       8.822883684167e-03       2.493688647012e+04 
       8.946293158530e-03       2.508762865955e+04 
       9.069756545069e-03       2.523463784292e+04 
       9.193272389906e-03       2.537787474991e+04 
       9.316839330006e-03       2.551741765936e+04 
       9.440456087896e-03       2.565335941026e+04 
       9.564121466784e-03       2.578579142912e+04 
       9.687834346044e-03       2.591459848491e+04 
       9.811593677022e-03       2.603981349704e+04 
       9.935398479155e-03       2.616161962854e+04 
       1.005924783637e-02       2.628003178223e+04 
       1.018314089375e-02       2.639511630959e+04 
       1.030707685441e-02       2.650670953099e+04 
       1.043105497663e-02       2.661504020908e+04 
       1.055507457119e-02       2.672011406371e+04 
       1.067913499882e-02       2.682195464931e+04 
       1.080323566797e-02       2.692066839587e+04 
       1.092737603258e-02       2.701605830366e+04 
       1.105155559012e-02       2.710843171109e+04 
       1.117577387969e-02       2.719771027253e+04 
       1.130003048031e-02       2.728393628395e+04 
       1.142432500930e-02       2.736710890707e+04 
       1.154865712075e-02       2.744744960775e+04 
       1.167302650415e-02       2.752465833722e+04 
       1.179743288307e-02       2.759911005643e+04 
       1.192187601394e-02       2.767062745914e+04 
       1.204635568493e-02       2.773922961311e+04 
       1.217087171492e-02       2.780509226880e+04 
       1.229542395248e-02       2.786820988644e+04 
       1.242001227501e-02       2.792865990472e+04 
       1.254463658786e-02       2.798632920791e+04 
       1.266929682359e-02       2.804127227756e+04 
       1.279399294122e-02       2.809365723809e+04 
       1.291872492557e-02       2.814340279300e+04 
       1.304349278665e-02       2.819065760376e+04 
       1.316829655908e-02       2.823521278225e+04 
       1.329313630159e-02       2.827735706105e+04 
       1.341801209651e-02       2.831703095486e+04 
       1.354292404935e-02       2.835427133376e+04 
       1.366787228842e-02       2.838906308619e+04 
       1.379285696441e-02       2.842145597575e+04 
       1.391787825013e-02       2.845157272084e+04 
       1.404293634015e-02       2.847929067419e+04 
       1.416803145059e-02       2.850473180382e+04 
       1.429316381886e-02       2.852791561027e+04 
       1.441833370345e-02       2.854885926477e+04 
       1.454354138377e-02       2.856759320239e+04 
       1.466878716000e-02       2.858419212366e+04 
       1.479407135296e-02       2.859858146355e+04 
       1.491939430397e-02       2.861097702919e+04 
       1.504475637487e-02       2.862118910346e+04 
       1.517015794786e-02       2.862928295181e+04 
       1.529559942554e-02       2.863543688825e+04 
       1.542108123086e-02       2.863952099135e+04 
       1.554660380716e-02       2.864154428803e+04 
       1.567216761816e-02       2.864174839407e+04 
       1.579777314806e-02       2.863999185916e+04 
       1.592342090158e-02       2.863632828254e+04 
       1.604911140403e-02       2.863080402497e+04 
       1.617484520145e-02       2.862345834340e+04 
       1.630062286073e-02       2.861417540838e+04 
       1.642644496973e-02       2.860317875630e+04 
       1.655231213744e-02       2.859041979711e+04 
       1.667822499420e-02       2.857593248783e+04 
       1.680418419184e-02       2.855962010795e+04 
       1.693019040389e-02       2.854168855896e+04 
       1.705624432587e-02       2.852212441879e+04 
       1.718234667545e-02       2.850089655084e+04 
       1.730849819277e-02       2.847805028927e+04 
       1.743469964069e-02       2.845358700223e+04 
       1.756095180508e-02       2.842759979701e+04 
       1.768725549515e-02       2.840001113400e+04 
       1.781361154375e-02       2.837084429557e+04 
       1.794002080772e-02       2.834028937600e+04 
       1.806648416827e-02       2.830819306191e+04 
       1.819300253131e-02       2.827475197349e+04 
       1.831957682788e-02       2.823971450876e+04 
       1.844620801457e-02       2.820338421243e+04 
       1.857289707388e-02       2.816561385228e+04 
       1.869964501473e-02       2.812652908915e+04 
       1.882645287291e-02       2.808610537113e+04 
       1.895332171153e-02       2.804431257920e+04 
       1.908025262153e-02       2.800128685148e+04 
       1.920724672222e-02       2.795694194723e+04 
       1.933430516177e-02       2.791140146295e+04 
       1.946142911781e-02       2.786458598060e+04 
       1.958861979797e-02       2.781658445384e+04 
       1.971587844047e-02       2.776737947102e+04 
       1.984320631477e-02       2.771703193971e+04 
       1.997060472217e-02       2.766550205491e+04 
       2.009807499648e-02       2.761287321367e+04 
       2.022561850468e-02       2.755917325031e+04 
       2.035323664764e-02       2.750434995449e+04 
       2.048093086082e-02       2.744848424946e+04 
       2.060870261506e-02       2.739157229927e+04 
       2.073655341729e-02       2.733364872111e+04 
       2.086448481135e-02       2.727470556025e+04 
       2.099249837882e-02       2.721475835515e+04 
       2.112059573986e-02       2.715389032531e+04 
       2.124877855405e-02       2.709206948669e+04 
       2.137704852135e-02       2.702929472464e+04 
       2.150540738297e-02       2.696568551467e+04 
       2.163385692236e-02       2.690105670979e+04 
       2.176239896618e-02       2.683571267875e+04 
       2.189103538535e-02       2.676941555782e+04 
       2.201976809603e-02       2.670231497777e+04 
       2.214859906080e-02       2.663441407943e+04 
       2.227753028967e-02       2.656572185093e+04 
       2.240656384134e-02       2.649620245006e+04 
       2.253570182430e-02       2.642593245749e+04 
       2.266494639810e-02       2.635494320753e+04 
       2.279429977461e-02       2.628327843570e+04 
       2.292376421933e-02       2.621079801986e+04 
       2.305334205270e-02       2.613767077921e+04 
       2.318303565154e-02       2.606387138587e+04 
       2.331284745046e-02       2.598939709765e+04 
       2.344277994333e-02       2.591427411879e+04 
       2.357283568482e-02       2.583854094441e+04 
       2.370301729198e-02       2.576220589672e+04 
       2.383332744586e-02       2.568524201391e+04 
       2.396376889320e-02       2.560771911234e+04 
       2.409434444816e-02       2.552972548268e+04 
       2.422505699411e-02       2.545105720427e+04 
       2.435590948549e-02       2.537183195148e+04 
       2.448690494972e-02       2.529214761593e+04 
       2.461804648920e-02       2.521196339206e+04 
       2.474933728331e-02       2.513121624451e+04 
       2.488078059058e-02       2.505007954816e+04 
       2.501237975082e-02       2.496847001308e+04 
       2.514413818743e-02       2.488632849766e+04 
       2.527605940970e-02       2.480388776252e+04 
       2.540814701527e-02       2.472090622801e+04 
       2.554040469259e-02       2.463757450309e+04 
       2.567283622353e-02       2.455387071231e+04 
       2.580544548607e-02       2.446971316349e+04 
       2.593823645708e-02       2.438525792325e+04 
       2.607121321517e-02       2.430042389814e+04 
       2.620437994370e-02       2.421521830137e+04 
       2.633774093385e-02       2.412970820804e+04 
       2.647130058782e-02       2.404377972264e+04 
       2.660506342216e-02       2.395777745755e+04 
       2.673903407119e-02       2.387134446196e+04 
       2.687321729059e-02       2.378465211593e+04 
       2.700761796108e-02       2.369764167874e+04 
       2.714224109226e-02       2.361050213369e+04 
       2.727709182663e-02       2.352296940014e+04 
       2.741217544367e-02       2.343520745140e+04 
       2.754749736419e-02       2.334731618073e+04 
       2.768306315477e-02       2.325916263331e+04 
       2.781887853241e-02       2.317070815903e+04 
       2.795494936933e-02       2.308220942252e+04 
       2.809128169802e-02       2.299345259307e+04 
       2.822788171641e-02       2.290443917600e+04 
       2.836475579333e-02       2.281539759426e+04 
       2.850191047415e-02       2.272623299604e+04 
       2.863935248666e-02       2.263682695234e+04 
       2.877708874714e-02       2.254734747491e+04 
       2.891512636683e-02       2.245762735992e+04 
       2.905347265849e-02       2.236791430185e+04 
       2.919213514336e-02       2.227810892585e+04 
       2.933112155838e-02       2.218811334439e+04 
       2.947043986373e-02       2.209799452596e+04 
       2.961009825067e-02       2.200784978804e+04 
       2.975010514976e-02       2.191769104754e+04 
       2.989046923943e-02       2.182733173679e+04 
       3.003119945492e-02       2.173706344322e+04 
       3.017230499766e-02       2.164663977745e+04 
       3.031379534503e-02       2.155603764637e+04 
       3.045568026057e-02       2.146570017964e+04 
       3.059796980475e-02       2.137514812814e+04 
       3.074067434609e-02       2.128458096111e+04 
       3.088380457296e-02       2.119402506110e+04 
       3.102737150585e-02       2.110348030659e+04 
       3.117138651025e-02       2.101283281524e+04 
       3.131586131013e-02       2.092221524872e+04 
       3.146080800219e-02       2.083169061619e+04 
       3.160623907064e-02       2.074101998177e+04 
       3.175216740288e-02       2.065048888255e+04 
       3.189860630590e-02       2.056004993980e+04 
       3.204556952348e-02       2.046948558893e+04 
       3.219307125437e-02       2.037899221528e+04 
       3.234112617136e-02       2.028858162813e+04 
       3.248974944131e-02       2.019820769473e+04 
       3.263895674637e-02       2.010779480152e+04 
       3.278876430621e-02       2.001758450160e+04 
       3.293918890154e-02       1.992731436544e+04 
       3.309024789889e-02       1.983717887295e+04 
       3.324195927676e-02       1.974707188376e+04 
       3.339434165325e-02       1.965705797306e+04 
       3.354741431528e-02       1.956707362129e+04 
       3.370119724940e-02       1.947711961487e+04 
       3.385571117453e-02       1.938732695081e+04 
       3.401097757647e-02       1.929756550512e+04 
       3.416701874457e-02       1.920785427978e+04 
       3.432385781054e-02       1.911829126247e+04 
       3.448151878966e-02       1.902880645804e+04 
       3.464002662450e-02       1.893935740728e+04 
       3.479940723135e-02       1.884999409774e+04 
       3.495968754962e-02       1.876083788783e+04 
       3.512089559437e-02       1.867167358906e+04 
       3.528306051219e-02       1.858262608866e+04 
       3.544621264081e-02       1.849367672427e+04 
       3.561038357262e-02       1.840482788095e+04 
       3.577560622245e-02       1.831602948422e+04 
       3.594191489998e-02       1.822739847237e+04 
