# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156093227292e+03       3.965577383007e-02       1.706710030190e-06       3.017203595460e+00       5.143261831458e-08       3.476174006097e-03      -1.439100677392e-05 
    3       1.082052925866e+03       5.009687564257e-02       3.414215458270e-06       3.403817905661e+00       6.337377517399e-08       3.466805166661e-03      -1.528283597872e-05 
    4       1.015272722243e+03       4.259473182017e-02       5.692109543210e-06       3.177046484073e+00       7.337400819973e-08       3.376400428550e-03      -1.275176885034e-05 
    5       9.655964188585e+02       2.788299437874e-02       8.541405725194e-06       2.691595138925e+00       8.207786453275e-08       3.256880990562e-03      -8.501192946470e-06 
    6       9.312437919587e+02       1.531046057143e-02       1.196333147633e-05       2.149867818257e+00       8.971387695381e-08       3.127866889307e-03      -3.941089279907e-06 
    7       9.084719214568e+02       8.194946431121e-03       1.595930391203e-05       1.669094602776e+00       9.646680403988e-08       2.998910758892e-03      -1.375499169296e-07 
    8       8.945156825370e+02       5.303202858620e-03       2.053090226806e-05       1.300433002840e+00       1.024807137306e-07       2.875259272157e-03       2.297876663503e-06 
    9       8.870684303968e+02       4.252714708081e-03       2.567983808769e-05       1.054421212199e+00       1.078524919939e-07       2.759574376082e-03       3.216648348099e-06 
   10       8.842056550488e+02       3.586197170532e-03       3.140792402128e-05       9.184169990315e-01       1.126437214175e-07       2.652181874596e-03       2.856606009085e-06 
   11       8.851859021306e+02       2.985130406615e-03       3.771704216631e-05       8.680105649600e-01       1.141751294864e-07       2.564055758413e-03       1.710951704498e-06 
   12       8.888804804039e+02       2.595951411904e-03       4.460911286837e-05       8.756389492456e-01       1.178779522787e-07       2.463206196245e-03       2.993267125845e-07 
   13       8.947555878836e+02       2.486698625416e-03       5.208606486399e-05       9.170703137784e-01       1.211896349366e-07       2.375231782191e-03      -8.993444701055e-07 
   14       9.022665961853e+02       2.563789130103e-03       6.014980757549e-05       9.744090034001e-01       1.241534519035e-07       2.284041898370e-03      -1.622460653460e-06 
   15       9.113745041111e+02       2.727535824124e-03       6.880220627009e-05       1.036757868261e+00       1.268056955298e-07       2.201605246358e-03      -1.781808096340e-06 
   16       9.216130815996e+02       2.973348729419e-03       7.804506067315e-05       1.099243335894e+00       1.291790788758e-07       2.124419751368e-03      -1.485153826492e-06 
   17       9.329265526314e+02       3.357483646385e-03       8.788008748439e-05       1.161502148512e+00       1.313011335937e-07       2.050985200960e-03      -9.479702394871e-07 
   18       9.449331710825e+02       3.921457019280e-03       9.830890536177e-05       1.225457503100e+00       1.331440948086e-07       1.980639532557e-03      -4.193776757873e-07 
   19       9.577174377214e+02       4.663394210844e-03       1.093330346117e-04       1.293184410687e+00       1.348826048087e-07       1.915453827001e-03      -5.308299990036e-08 
   20       9.711232464587e+02       5.562164717710e-03       1.209538733800e-04       1.366380029520e+00       1.363730893731e-07       1.853880197752e-03       3.643297976904e-08 
   21       9.851962806839e+02       6.611276595956e-03       1.331727236609e-04       1.444657305244e+00       1.377062521032e-07       1.795959833552e-03      -1.357718543468e-07 
   22       9.997928177744e+02       7.806066544186e-03       1.459907649892e-04       1.526153903415e+00       1.388561629978e-07       1.739619764624e-03      -4.636584334934e-07 
   23       1.014900479319e+03       9.144974124213e-03       1.594090929222e-04       1.607488924064e+00       1.398955533066e-07       1.685455333680e-03      -8.367236535309e-07 
   24       1.030393359886e+03       1.062617805921e-02       1.734286923069e-04       1.684470630613e+00       1.407746566715e-07       1.633455624129e-03      -1.124588572429e-06 
   25       1.046351124333e+03       1.225065402608e-02       1.880504902560e-04       1.754717669529e+00       1.415499831902e-07       1.584697931862e-03      -1.264419840070e-06 
   26       1.062773682661e+03       1.402256980221e-02       2.032753238402e-04       1.816508466609e+00       1.421992120614e-07       1.539258982839e-03      -1.231192882027e-06 
   27       1.079555187567e+03       1.596032550201e-02       2.191039902513e-04       1.869301785778e+00       1.427502546955e-07       1.496368770333e-03      -1.072251946245e-06 
   28       1.096495373521e+03       1.808660599884e-02       2.355372249177e-04       1.913181300820e+00       1.431656828132e-07       1.454179218284e-03      -8.745926977631e-07 
   29       1.113671419441e+03       2.041357239446e-02       2.525757795008e-04       1.948861007752e+00       1.435212102749e-07       1.413413831045e-03      -6.907523114526e-07 
   30       1.131165363851e+03       2.294996803504e-02       2.702203595761e-04       1.977577246110e+00       1.438380758791e-07       1.375008103572e-03      -5.732250843938e-07 
   31       1.148975436722e+03       2.570369275469e-02       2.884716245410e-04       2.000543439588e+00       1.440336293066e-07       1.339071305942e-03      -5.737161172275e-07 
   32       1.167119961497e+03       2.868054630280e-02       3.073302805896e-04       2.017148395511e+00       1.441541748200e-07       1.305452599285e-03      -6.765152806688e-07 
   33       1.185550723655e+03       3.188485231592e-02       3.267970232882e-04       2.026066028310e+00       1.442290149340e-07       1.273081421122e-03      -8.278109225840e-07 
   34       1.204167358082e+03       3.532073856962e-02       3.468725256852e-04       2.025866011053e+00       1.442205781745e-07       1.240325659366e-03      -9.617973728921e-07 
   35       1.223002442738e+03       3.899581706210e-02       3.675574766640e-04       2.015596583443e+00       1.441617699890e-07       1.207714890006e-03      -1.052996960187e-06 
   36       1.242087703848e+03       4.291875009585e-02       3.888525591832e-04       1.994388950836e+00       1.440596476120e-07       1.176341212356e-03      -1.087001192630e-06 
   37       1.261417144478e+03       4.709771715581e-02       4.107584319848e-04       1.961465890516e+00       1.438739018206e-07       1.147048606355e-03      -1.053490678980e-06 
   38       1.281010269124e+03       5.153847185686e-02       4.332756941637e-04       1.916717323825e+00       1.436441400135e-07       1.120095957979e-03      -9.676620381553e-07 
   39       1.300860406718e+03       5.624559359183e-02       4.564049115254e-04       1.860321128854e+00       1.434072345011e-07       1.095215121781e-03      -8.599422670759e-07 
   40       1.320911447355e+03       6.122294917029e-02       4.801466276653e-04       1.792600053125e+00       1.431495093529e-07       1.071578497414e-03      -7.724857225850e-07 
   41       1.341090115474e+03       6.647437851466e-02       5.045013316098e-04       1.713883195263e+00       1.428224890472e-07       1.048113949013e-03      -7.478735825582e-07 
   42       1.361427328638e+03       7.200612982437e-02       5.294693451096e-04       1.624015619896e+00       1.424494494434e-07       1.024892892989e-03      -7.845296280932e-07 
   43       1.381968010493e+03       7.782514039084e-02       5.550509007298e-04       1.522703527912e+00       1.420566053148e-07       1.002239998934e-03      -8.624731102170e-07 
   44       1.402734926480e+03       8.393837831437e-02       5.812461712160e-04       1.409646049782e+00       1.416364529750e-07       9.803463406354e-04      -9.534020422535e-07 
   45       1.423734449655e+03       9.035210435164e-02       6.080552299518e-04       1.284531024749e+00       1.411603982639e-07       9.592924246856e-04      -1.027610656384e-06 
   46       1.444981561724e+03       9.706938374274e-02       6.354779208294e-04       1.147024529420e+00       1.406533745027e-07       9.392033106893e-04      -1.081122395131e-06 
   47       1.466478249316e+03       1.040918381410e-01       6.635139476012e-04       9.967755508377e-01       1.401444565324e-07       9.201112650928e-04      -1.118751849980e-06 
   48       1.488204113596e+03       1.114202863731e-01       6.921629057129e-04       8.334166907623e-01       1.396418138232e-07       9.018843526168e-04      -1.147365194095e-06 
