# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156083707543e+03       3.965544761948e-02       1.706695385025e-06       3.017178775385e+00       5.143218968929e-08       3.476145160842e-03      -1.439088839303e-05 
    3       1.082044014519e+03       5.009646354245e-02       3.414186157613e-06       3.403789905244e+00       6.337324715618e-08       3.466776322016e-03      -1.528271026130e-05 
    4       1.015264359574e+03       4.259438143209e-02       5.692060685923e-06       3.177020349116e+00       7.337339262288e-08       3.376372153726e-03      -1.275166395310e-05 
    5       9.655884606502e+02       2.788276500886e-02       8.541332396616e-06       2.691572997203e+00       8.207717167553e-08       3.256853547461e-03      -8.501123016152e-06 
    6       9.312361094343e+02       1.531033462240e-02       1.196322874511e-05       2.149850132937e+00       8.971311826470e-08       3.127840412477e-03      -3.941056863077e-06 
    7       9.084644328696e+02       8.194879013041e-03       1.595916682711e-05       1.669080872648e+00       9.646598880458e-08       2.998885327306e-03      -1.375487842440e-07 
    8       8.945083121195e+02       5.303159226464e-03       2.053072585584e-05       1.300422305359e+00       1.024798474663e-07       2.875234781997e-03       2.297857767971e-06 
    9       8.870611172184e+02       4.252679715149e-03       2.567961734937e-05       1.054412537988e+00       1.078515796716e-07       2.759550684644e-03       3.216621888189e-06 
   10       8.841983531301e+02       3.586167658354e-03       3.140765393048e-05       9.184094431317e-01       1.126427659448e-07       2.652158954829e-03       2.856582497374e-06 
   11       8.851785930171e+02       2.985105835862e-03       3.771671766697e-05       8.680034260865e-01       1.141741634599e-07       2.564033727639e-03       1.710937624031e-06 
   12       8.888731498763e+02       2.595930039975e-03       4.460872887291e-05       8.756317465439e-01       1.178769538899e-07       2.463184946207e-03       2.993242695964e-07 
   13       8.947482104362e+02       2.486678148567e-03       5.208561625182e-05       9.170627702778e-01       1.211886072332e-07       2.375211256495e-03      -8.993370534072e-07 
   14       9.022591443476e+02       2.563768015276e-03       6.014928919189e-05       9.744009845470e-01       1.241523976139e-07       2.284022119859e-03      -1.622447328222e-06 
   15       9.113669704667e+02       2.727513359036e-03       6.880161292546e-05       1.036749342403e+00       1.268046176643e-07       2.201585982734e-03      -1.781793473082e-06 
   16       9.216054716842e+02       2.973324235683e-03       7.804438714263e-05       1.099234295812e+00       1.291779798076e-07       2.124400917910e-03      -1.485141602088e-06 
