# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156067361558e+03       3.965330989672e-02       0.000000000000e+00       3.017146012661e+00       5.143163679944e-08       3.476107632051e-03      -1.439073196738e-05 
    3       1.082024702058e+03       5.009250485276e-02       0.000000000000e+00       3.403753053866e+00       6.337256693327e-08       3.466738974577e-03      -1.528254414189e-05 
    4       1.015240772480e+03       4.258822642406e-02       0.000000000000e+00       3.176986237292e+00       7.337261047672e-08       3.376335988578e-03      -1.275152534536e-05 
    5       9.655592086958e+02       2.787392062776e-02       0.000000000000e+00       2.691544700509e+00       8.207630133495e-08       3.256818851648e-03      -8.501030610301e-06 
    6       9.311998448112e+02       1.529820493359e-02       0.000000000000e+00       2.149828651913e+00       8.971216828729e-08       3.127807190507e-03      -3.941014024930e-06 
    7       9.084198660133e+02       8.178830546763e-03       0.000000000000e+00       1.669066079479e+00       9.646496781154e-08       2.998853495041e-03      -1.375472907861e-07 
    8       8.944542361489e+02       5.282570259962e-03       0.000000000000e+00       1.300413680603e+00       1.024787653086e-07       2.875204423474e-03       2.297832790918e-06 
    9       8.869963875379e+02       4.226952606082e-03       0.000000000000e+00       1.054409627088e+00       1.078504434767e-07       2.759521779880e-03       3.216586927605e-06 
   10       8.841218813446e+02       3.554718661060e-03       0.000000000000e+00       9.184121203735e-01       1.126415835307e-07       2.652131284636e-03       2.856551447879e-06 
   11       8.850893177488e+02       2.947352632535e-03       0.000000000000e+00       8.680120344422e-01       1.141729550567e-07       2.564006789460e-03       1.710919020598e-06 
   12       8.887700729866e+02       2.551286635630e-03       0.000000000000e+00       8.756471422826e-01       1.178757075992e-07       2.463159193259e-03       2.993210117661e-07 
   13       8.946303803910e+02       2.434555715114e-03       0.000000000000e+00       9.170862902701e-01       1.211873274784e-07       2.375186533763e-03      -8.993272703971e-07 
   14       9.021256705332e+02       2.503576685873e-03       0.000000000000e+00       9.744343748395e-01       1.241510883205e-07       2.283998374231e-03      -1.622429680589e-06 
   15       9.112169534192e+02       2.658662379667e-03       0.000000000000e+00       1.036794687103e+00       1.268032817479e-07       2.201563224250e-03      -1.781774111920e-06 
   16       9.214380806121e+02       2.895221065285e-03       0.000000000000e+00       1.099293956377e+00       1.291766202460e-07       2.124379197821e-03      -1.485125473351e-06 
   17       9.327332530027e+02       3.269505822238e-03       0.000000000000e+00       1.161569156867e+00       1.312986349465e-07       2.050946101961e-03      -9.479520898867e-07 
   18       9.447207925900e+02       3.823030870249e-03       0.000000000000e+00       1.225543653033e+00       1.331415614460e-07       1.980601782875e-03      -4.193696512866e-07 
   19       9.574852279492e+02       4.553920460604e-03       0.000000000000e+00       1.293292622889e+00       1.348800387190e-07       1.915417297807e-03      -5.308203369272e-08 
   20       9.708704601012e+02       5.441043662815e-03       0.000000000000e+00       1.366513396296e+00       1.363704952859e-07       1.853844860669e-03       3.643226481221e-08 
   21       9.849221860913e+02       6.477908177499e-03       0.000000000000e+00       1.444819117538e+00       1.377036330390e-07       1.795925635177e-03      -1.357692111024e-07 
   22       9.994967022177e+02       7.659850700049e-03       0.000000000000e+00       1.526347668177e+00       1.388535224940e-07       1.739586631471e-03      -4.636495419086e-07 
   23       1.014581645306e+03       8.985311131366e-03       0.000000000000e+00       1.607718389354e+00       1.398928934862e-07       1.685423215570e-03      -8.367077180369e-07 
   24       1.030051124148e+03       1.045246898254e-02       0.000000000000e+00       1.684739791187e+00       1.407719805508e-07       1.633424533770e-03      -1.124567200858e-06 
   25       1.045984806286e+03       1.206230110850e-02       0.000000000000e+00       1.755030717389e+00       1.415472927247e-07       1.584667801715e-03      -1.264395757578e-06 
   26       1.062382604137e+03       1.381897687284e-02       0.000000000000e+00       1.816869763964e+00       1.421965096809e-07       1.539229649753e-03      -1.231169241051e-06 
   27       1.079138688456e+03       1.574089808577e-02       0.000000000000e+00       1.869715831046e+00       1.427475422829e-07       1.496340151878e-03      -1.072231168353e-06 
   28       1.096052816899e+03       1.785075168190e-02       0.000000000000e+00       1.913652701976e+00       1.431629629202e-07       1.454151391341e-03      -8.745757843016e-07 
   29       1.113202178069e+03       2.016070138552e-02       0.000000000000e+00       1.949394454928e+00       1.435184840021e-07       1.413386864346e-03      -6.907391963800e-07 
   30       1.130668816738e+03       2.267949370468e-02       0.000000000000e+00       1.978177483893e+00       1.438353439324e-07       1.374981998222e-03      -5.732144700706e-07 
   31       1.148450970486e+03       2.541503210709e-02       0.000000000000e+00       2.001215247734e+00       1.440308939831e-07       1.339045995851e-03      -5.737054707835e-07 
   32       1.166566973585e+03       2.837312021332e-02       0.000000000000e+00       2.017896601955e+00       1.441514375487e-07       1.305427985676e-03      -6.765024258609e-07 
   33       1.184968624965e+03       3.155808594720e-02       0.000000000000e+00       2.026895500093e+00       1.442262766023e-07       1.273057394937e-03      -8.277949205944e-07 
   34       1.203555576447e+03       3.497406177366e-02       0.000000000000e+00       2.026781628682e+00       1.442178404022e-07       1.240302121076e-03      -9.617787693759e-07 
   35       1.222360429785e+03       3.862866446371e-02       0.000000000000e+00       2.016603189751e+00       1.441590337647e-07       1.207691775432e-03      -1.052976769904e-06 
   36       1.241414940375e+03       4.253056140062e-02       0.000000000000e+00       1.995491314027e+00       1.440569137708e-07       1.176318522834e-03      -1.086980578403e-06 
   37       1.260713142410e+03       4.668793754592e-02       0.000000000000e+00       1.962668669404e+00       1.438711719403e-07       1.147026417304e-03      -1.053470855006e-06 
   38       1.280274563348e+03       5.110655237303e-02       0.000000000000e+00       1.918025023083e+00       1.436414149085e-07       1.120074335687e-03      -9.676438883228e-07 
   39       1.300092554160e+03       5.579099153747e-02       0.000000000000e+00       1.861738058000e+00       1.434045142790e-07       1.095194092409e-03      -8.599260886180e-07 
   40       1.320111029005e+03       6.074512852902e-02       0.000000000000e+00       1.794130285852e+00       1.431467943770e-07       1.071558037826e-03      -7.724710067798e-07 
   41       1.340256737912e+03       6.597281033129e-02       0.000000000000e+00       1.715530521654e+00       1.428197806016e-07       1.048093988410e-03      -7.478590172315e-07 
   42       1.360560623421e+03       7.148029244450e-02       0.000000000000e+00       1.625783478883e+00       1.424467483789e-07       1.024873355457e-03      -7.845139708770e-07 
   43       1.381067635297e+03       7.727451980842e-02       0.000000000000e+00       1.524594949977e+00       1.420539120021e-07       1.002220823407e-03      -8.624555614133e-07 
   44       1.401800567000e+03       8.336246856372e-02       0.000000000000e+00       1.411663602228e+00       1.416337679537e-07       9.803274924642e-04      -9.533824228661e-07 
   45       1.422765818718e+03       8.975040819180e-02       0.000000000000e+00       1.286676763420e+00       1.411577226467e-07       9.592738999382e-04      -1.027589437013e-06 
   46       1.443978388706e+03       9.644141431247e-02       0.000000000000e+00       1.149299977281e+00       1.406507089321e-07       9.391851104243e-04      -1.081100140812e-06 
   47       1.465440276598e+03       1.034371199412e-01       0.000000000000e+00       9.991816539779e-01       1.401418010921e-07       9.200933893134e-04      -1.118729029055e-06 
   48       1.487131095651e+03       1.107383560072e-01       0.000000000000e+00       8.359537647683e-01       1.396391684297e-07       9.018668024416e-04      -1.147342131688e-06 
   49       1.509006146039e+03       1.183451130869e-01       0.000000000000e+00       6.592301192071e-01       1.391237347822e-07       8.841825222474e-04      -1.176102308905e-06 
   50       1.531017240402e+03       1.262571568267e-01       0.000000000000e+00       4.686503230047e-01       1.385615755861e-07       8.666520606065e-04      -1.214399868155e-06 
   51       1.553186314673e+03       1.344761599273e-01       0.000000000000e+00       2.640297150167e-01       1.379671423599e-07       8.493259996389e-04      -1.264015817215e-06 
   52       1.575548467629e+03       1.430040827160e-01       0.000000000000e+00       4.524715099241e-02       1.373612177189e-07       8.323434113196e-04      -1.324252137952e-06 
   53       1.598130119250e+03       1.518425627089e-01       0.000000000000e+00      -1.877967032364e-01       1.367510171215e-07       8.157865141717e-04      -1.393938562617e-06 
   54       1.620948154690e+03       1.609929071065e-01       0.000000000000e+00      -4.351789448757e-01       1.361264672375e-07       7.996706132731e-04      -1.471377183272e-06 
   55       1.644012288154e+03       1.704559482891e-01       0.000000000000e+00      -6.969592557944e-01       1.354688587955e-07       7.839759773899e-04      -1.554445380831e-06 
   56       1.667334803238e+03       1.802315854598e-01       0.000000000000e+00      -9.731967479932e-01       1.347921538314e-07       7.687827568196e-04      -1.641088381947e-06 
   57       1.690921732909e+03       1.903191159904e-01       0.000000000000e+00      -1.263936555199e+00       1.341144810783e-07       7.541671516942e-04      -1.728907593484e-06 
   58       1.714769136942e+03       2.007173498817e-01       0.000000000000e+00      -1.569204733455e+00       1.334450450213e-07       7.401565414476e-04      -1.814971701297e-06 
   59       1.738862371348e+03       2.114245969209e-01       0.000000000000e+00      -1.889008038725e+00       1.327818374449e-07       7.267223066629e-04      -1.895770020101e-06 
   60       1.763175357806e+03       2.224386538388e-01       0.000000000000e+00      -2.223333704504e+00       1.321091401251e-07       7.137723427364e-04      -1.967164242965e-06 
   61       1.787681666124e+03       2.337565597539e-01       0.000000000000e+00      -2.572148228805e+00       1.314058834601e-07       7.011932647315e-04      -2.025261474270e-06 
   62       1.812392321277e+03       2.453738274101e-01       0.000000000000e+00      -2.935393920057e+00       1.306818293434e-07       6.890121350552e-04      -2.069497492012e-06 
   63       1.837325224777e+03       2.572850158072e-01       0.000000000000e+00      -3.312991177731e+00       1.299524983253e-07       6.772749374962e-04      -2.100495828465e-06 
   64       1.862493741764e+03       2.694839268939e-01       0.000000000000e+00      -3.704839165749e+00       1.292283111644e-07       6.659974944243e-04      -2.119268088099e-06 
   65       1.887906345257e+03       2.819635853725e-01       0.000000000000e+00      -4.110815558657e+00       1.285133282920e-07       6.551615085792e-04      -2.127251259087e-06 
   66       1.913566260399e+03       2.947162185046e-01       0.000000000000e+00      -4.530776287807e+00       1.278038833640e-07       6.447104514551e-04      -2.126346281331e-06 
   67       1.939471108706e+03       3.077332359169e-01       0.000000000000e+00      -4.964555287530e+00       1.270871075267e-07       6.345452982822e-04      -2.118957871020e-06 
   68       1.965617025272e+03       3.210059240035e-01       0.000000000000e+00      -5.411969157735e+00       1.263473114158e-07       6.245601709131e-04      -2.107543779595e-06 
   69       1.992012774361e+03       3.345277376673e-01       0.000000000000e+00      -5.872832816161e+00       1.255919978329e-07       6.147721926711e-04      -2.093006810597e-06 
   70       2.018667868055e+03       3.482924388007e-01       0.000000000000e+00      -6.346946576277e+00       1.248333537490e-07       6.052229074201e-04      -2.075890655425e-06 
   71       2.045588109339e+03       3.622934208912e-01       0.000000000000e+00      -6.834091385686e+00       1.240805199144e-07       5.959399109492e-04      -2.056835891631e-06 
   72       2.072775350747e+03       3.765237071030e-01       0.000000000000e+00      -7.334028698044e+00       1.233388878308e-07       5.869350722684e-04      -2.036586149791e-06 
   73       2.100227253004e+03       3.909759483581e-01       0.000000000000e+00      -7.846500344973e+00       1.226093430622e-07       5.782026912480e-04      -2.015994435088e-06 
   74       2.127937043674e+03       4.056424214180e-01       0.000000000000e+00      -8.371228407980e+00       1.218874533410e-07       5.697175925997e-04      -1.996029603633e-06 
   75       2.155893275804e+03       4.205150269654e-01       0.000000000000e+00      -8.907915090370e+00       1.211625999194e-07       5.614331562028e-04      -1.977782993501e-06 
   76       2.184084851539e+03       4.355850162745e-01       0.000000000000e+00      -9.456254243813e+00       1.204226772883e-07       5.532997970372e-04      -1.962283188881e-06 
   77       2.212517684081e+03       4.508421179192e-01       0.000000000000e+00      -1.001596865783e+01       1.196723866803e-07       5.453309282958e-04      -1.949865860110e-06 
   78       2.241200649746e+03       4.662752475910e-01       0.000000000000e+00      -1.058677936912e+01       1.189198281333e-07       5.375512467807e-04      -1.940644726111e-06 
   79       2.270140461299e+03       4.818727580189e-01       0.000000000000e+00      -1.116839471926e+01       1.181710574552e-07       5.299768575329e-04      -1.934684033351e-06 
   80       2.299341534574e+03       4.976224314861e-01       0.000000000000e+00      -1.176051046560e+01       1.174296769921e-07       5.226143138081e-04      -1.931993529905e-06 
   81       2.328805855070e+03       5.135114723459e-01       0.000000000000e+00      -1.236280989219e+01       1.166963985707e-07       5.154596263892e-04      -1.932523285410e-06 
   82       2.358532844569e+03       5.295264995373e-01       0.000000000000e+00      -1.297496392066e+01       1.159685778968e-07       5.084972422328e-04      -1.936158356908e-06 
   83       2.388519227734e+03       5.456535391016e-01       0.000000000000e+00      -1.359663122114e+01       1.152397196891e-07       5.016989924519e-04      -1.942713300582e-06 
   84       2.418761222805e+03       5.618784557787e-01       0.000000000000e+00      -1.422745281827e+01       1.145025958652e-07       4.950353107013e-04      -1.951936492315e-06 
   85       2.449261823120e+03       5.781883463999e-01       0.000000000000e+00      -1.486703463892e+01       1.137610234371e-07       4.885145584616e-04      -1.963537083462e-06 
   86       2.480024483761e+03       5.945703648424e-01       0.000000000000e+00      -1.551496226118e+01       1.130209753007e-07       4.821514472336e-04      -1.977154401162e-06 
   87       2.511050811854e+03       6.110113033845e-01       0.000000000000e+00      -1.617080618002e+01       1.122870359413e-07       4.759550506760e-04      -1.992343085761e-06 
   88       2.542340472238e+03       6.274975926004e-01       0.000000000000e+00      -1.683412182577e+01       1.115621523590e-07       4.699282488578e-04      -2.008567358116e-06 
   89       2.573891093138e+03       6.440153012563e-01       0.000000000000e+00      -1.750444958246e+01       1.108473696820e-07       4.640671565267e-04      -2.025195144673e-06 
   90       2.605698171826e+03       6.605501362059e-01       0.000000000000e+00      -1.818131480620e+01       1.101415511095e-07       4.583605353921e-04      -2.041492060337e-06 
   91       2.637754980293e+03       6.770874422855e-01       0.000000000000e+00      -1.886422784360e+01       1.094410818255e-07       4.527891904245e-04      -2.056615249107e-06 
   92       2.670052470918e+03       6.936122022099e-01       0.000000000000e+00      -1.955268405011e+01       1.087395565242e-07       4.473253501700e-04      -2.069607082502e-06 
   93       2.702581963809e+03       7.101092913186e-01       0.000000000000e+00      -2.024617330024e+01       1.080304160730e-07       4.419421305104e-04      -2.079611845853e-06 
   94       2.735343876075e+03       7.265642858672e-01       0.000000000000e+00      -2.094421011437e+01       1.073165303322e-07       4.366458015675e-04      -2.086596433009e-06 
   95       2.768340137139e+03       7.429627766757e-01       0.000000000000e+00      -2.164630811807e+01       1.066028541132e-07       4.314495963995e-04      -2.090779715238e-06 
   96       2.801571468641e+03       7.592901284580e-01       0.000000000000e+00      -2.235197110072e+01       1.058935802753e-07       4.263639870946e-04      -2.092425940779e-06 
   97       2.835037328293e+03       7.755314832155e-01       0.000000000000e+00      -2.306069316420e+01       1.051920055080e-07       4.213964188617e-04      -2.091847304000e-06 
   98       2.868735853731e+03       7.916717636314e-01       0.000000000000e+00      -2.377195887153e+01       1.045003884997e-07       4.165510370322e-04      -2.089406568890e-06 
   99       2.902663806363e+03       8.076956764642e-01       0.000000000000e+00      -2.448524339559e+01       1.038198003268e-07       4.118284069743e-04      -2.085519746885e-06 
  100       2.936816515221e+03       8.235877159418e-01       0.000000000000e+00      -2.520001266777e+01       1.031499669017e-07       4.072252269190e-04      -2.080658829019e-06 
  101       2.971187820817e+03       8.393321671549e-01       0.000000000000e+00      -2.591572352664e+01       1.024891033163e-07       4.027340336980e-04      -2.075354572405e-06 
  102       3.005770018989e+03       8.549131094513e-01       0.000000000000e+00      -2.663182386668e+01       1.018337399174e-07       3.983429013929e-04      -2.070199341049e-06 
  103       3.040553804756e+03       8.703144198295e-01       0.000000000000e+00      -2.734775278689e+01       1.011785399510e-07       3.940351328976e-04      -2.065850000994e-06 
  104       3.075530185885e+03       8.855201619459e-01       0.000000000000e+00      -2.806294473307e+01       1.005182754059e-07       3.897948360727e-04      -2.062889926405e-06 
