# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870728e-05       5.859168718178e+01 
       2.255719778763e-05       1.268397184365e+02 
       3.506555438942e-05       1.937217547961e+02 
       4.764645186636e-05       2.600098543460e+02 
       6.033190178577e-05       3.261288738266e+02 
       7.315467139448e-05       3.923883086204e+02 
       8.614855911287e-05       4.590469505903e+02 
       9.934868150699e-05       5.263389311099e+02 
       1.127917752162e-04       5.944869478310e+02 
       1.265165173439e-04       6.637100315196e+02 
       1.405638678349e-04       7.342287799528e+02 
       1.549774373317e-04       8.062692715444e+02 
       1.698038839022e-04       8.800663649382e+02 
       1.850933417935e-04       9.558664173735e+02 
       2.008998849484e-04       1.033930164884e+03 
       2.172820273174e-04       1.114535173123e+03 
       2.343032609108e-04       1.197978437583e+03 
       2.520326309069e-04       1.284579001569e+03 
       2.705453447934e-04       1.374680473720e+03 
       2.899234092336e-04       1.468653612310e+03 
       3.102562838690e-04       1.566898731802e+03 
       3.316415352992e-04       1.669848074368e+03 
       3.541854667209e-04       1.777967723809e+03 
       3.780036889183e-04       1.891759238783e+03 
       4.032215863409e-04       2.011760093018e+03 
       4.299746180079e-04       2.138544141014e+03 
       4.584083774905e-04       2.272719112071e+03 
       4.886783204611e-04       2.414924366868e+03 
       5.209490543965e-04       2.565824133066e+03 
       5.553930762832e-04       2.726100101287e+03 
       5.921888451566e-04       2.896439563790e+03 
       6.315180925584e-04       3.077520395578e+03 
       6.735623113410e-04       3.269992912699e+03 
       7.184984261710e-04       3.474457539553e+03 
       7.664937385462e-04       3.691440824862e+03 
       8.177003499079e-04       3.921369317595e+03 
       8.722493850187e-04       4.164543595136e+03 
       9.302454423433e-04       4.421115243928e+03 
       9.917617617239e-04       4.691068083384e+03 
       1.056836596931e-03       4.974206459193e+03 
       1.125471197341e-03       5.270152037715e+03 
       1.197629643439e-03       5.578350336980e+03 
       1.273240570655e-03       5.898120144257e+03 
       1.352200596440e-03       6.228612069975e+03 
       1.434379081275e-03       6.568846152998e+03 
       1.519623739800e-03       6.917787377713e+03 
       1.607766587951e-03       7.274354629470e+03 
       1.698629758411e-03       7.637452603589e+03 
       1.792030817038e-03       8.005996001351e+03 
       1.887787337697e-03       8.378931283610e+03 
       1.985720615951e-03       8.755253208863e+03 
       2.085658505077e-03       9.134017347772e+03 
       2.187437432375e-03       9.514347177283e+03 
       2.290903699119e-03       9.895437442509e+03 
       2.395914188032e-03       1.027655565180e+04 
       2.502336604421e-03       1.065703999477e+04 
       2.610049367626e-03       1.103629796686e+04 
       2.718941253678e-03       1.141379992176e+04 
       2.828910872076e-03       1.178907685910e+04 
       2.939866041956e-03       1.216171500728e+04 
       3.051723117132e-03       1.253134931208e+04 
       3.164406296083e-03       1.289766205832e+04 
       3.277846942195e-03       1.326037425735e+04 
       3.391982931079e-03       1.361924509974e+04 
       3.506758035485e-03       1.397406625343e+04 
       3.622121353578e-03       1.432465855210e+04 
       3.738026783062e-03       1.467086861648e+04 
       3.854432541288e-03       1.501256883783e+04 
       3.971300729992e-03       1.534964941956e+04 
       4.088596942327e-03       1.568202193545e+04 
       4.206289909316e-03       1.600961090245e+04 
       4.324351182603e-03       1.633236210341e+04 
       4.442754850300e-03       1.665022638684e+04 
       4.561477282816e-03       1.696316301082e+04 
       4.680496905682e-03       1.727111575244e+04 
       4.799793996599e-03       1.757413689692e+04 
       4.919350504153e-03       1.787216598197e+04 
       5.039149885847e-03       1.816531865253e+04 
       5.159176963364e-03       1.845347822961e+04 
       5.279417793139e-03       1.873669213655e+04 
       5.399859550555e-03       1.901495558178e+04 
       5.520490426251e-03       1.928829393371e+04 
       5.641299533186e-03       1.955672687037e+04 
       5.762276823272e-03       1.982028736648e+04 
       5.883413012511e-03       2.007900133890e+04 
       6.004699513698e-03       2.033291022331e+04 
       6.126128375866e-03       2.058203674341e+04 
       6.247692229723e-03       2.082640542739e+04 
       6.369384238452e-03       2.106610313276e+04 
       6.491198053275e-03       2.130111187251e+04 
       6.613127773286e-03       2.153151478145e+04 
       6.735167909108e-03       2.175733754715e+04 
       6.857313349944e-03       2.197856801290e+04 
       6.979559333709e-03       2.219536387144e+04 
       7.101901419889e-03       2.240768787444e+04 
       7.224335464874e-03       2.261558436837e+04 
       7.346857599505e-03       2.281909895184e+04 
       7.469464208611e-03       2.301832916408e+04 
       7.592151912349e-03       2.321325871017e+04 
       7.714917549159e-03       2.340393843445e+04 
       7.837758160187e-03       2.359043611985e+04 
       7.960670975029e-03       2.377277485891e+04 
       8.083653398677e-03       2.395101653029e+04 
       8.206702999544e-03       2.412518259757e+04 
       8.329817498478e-03       2.429533626431e+04 
       8.452994758674e-03       2.446155889100e+04 
       8.576232776388e-03       2.462375376058e+04 
       8.699529672405e-03       2.478210805338e+04 
       8.822883684167e-03       2.493661979318e+04 
       8.946293158530e-03       2.508736191604e+04 
       9.069756545069e-03       2.523436635110e+04 
       9.193272389906e-03       2.537760286521e+04 
       9.316839330006e-03       2.551714813825e+04 
       9.440456087896e-03       2.565308624763e+04 
       9.564121466784e-03       2.578551666126e+04 
       9.687834346044e-03       2.591432224221e+04 
       9.811593677022e-03       2.603953558487e+04 
       9.935398479155e-03       2.616135307423e+04 
       1.005924783637e-02       2.627975321601e+04 
       1.018314089375e-02       2.639483468878e+04 
       1.030707685441e-02       2.650642739511e+04 
       1.043105497663e-02       2.661475938757e+04 
       1.055507457119e-02       2.671983089120e+04 
       1.067913499882e-02       2.682167117966e+04 
       1.080323566797e-02       2.692038137845e+04 
       1.092737603258e-02       2.701578868907e+04 
       1.105155559012e-02       2.710814603422e+04 
       1.117577387969e-02       2.719742020460e+04 
       1.130003048031e-02       2.728364867773e+04 
       1.142432500930e-02       2.736681682297e+04 
       1.154865712075e-02       2.744715711295e+04 
       1.167302650415e-02       2.752436495182e+04 
       1.179743288307e-02       2.759881598010e+04 
       1.192187601394e-02       2.767033259685e+04 
       1.204635568493e-02       2.773894068519e+04 
       1.217087171492e-02       2.780478622304e+04 
       1.229542395248e-02       2.786791331534e+04 
       1.242001227501e-02       2.792836211115e+04 
       1.254463658786e-02       2.798593539181e+04 
       1.266929682359e-02       2.804097224399e+04 
       1.279399294122e-02       2.809331556213e+04 
       1.291872492557e-02       2.814308990967e+04 
       1.304349278665e-02       2.819035641056e+04 
       1.316829655908e-02       2.823493090841e+04 
       1.329313630159e-02       2.827707214128e+04 
       1.341801209651e-02       2.831673610699e+04 
       1.354292404935e-02       2.835396282063e+04 
       1.366787228842e-02       2.838874750082e+04 
       1.379285696441e-02       2.842116293235e+04 
       1.391787825013e-02       2.845123439708e+04 
       1.404293634015e-02       2.847897598486e+04 
       1.416803145059e-02       2.850451159958e+04 
       1.429316381886e-02       2.852762580813e+04 
       1.441833370345e-02       2.854855851817e+04 
       1.454354138377e-02       2.856730377278e+04 
       1.466878716000e-02       2.858394652507e+04 
       1.479407135296e-02       2.859827856700e+04 
       1.491939430397e-02       2.861067278569e+04 
       1.504475637487e-02       2.862079993517e+04 
       1.517015794786e-02       2.862892113889e+04 
       1.529559942554e-02       2.863503166363e+04 
       1.542108123086e-02       2.863921576556e+04 
       1.554660380716e-02       2.864131977474e+04 
       1.567216761816e-02       2.864142399452e+04 
       1.579777314806e-02       2.863963471248e+04 
       1.592342090158e-02       2.863597318089e+04 
       1.604911140403e-02       2.863045597344e+04 
       1.617484520145e-02       2.862306935540e+04 
       1.630062286073e-02       2.861384615104e+04 
       1.642644496973e-02       2.860285273045e+04 
       1.655231213744e-02       2.859007748677e+04 
       1.667822499420e-02       2.857566099464e+04 
       1.680418419184e-02       2.855932798274e+04 
       1.693019040389e-02       2.854139794002e+04 
       1.705624432587e-02       2.852179793455e+04 
       1.718234667545e-02       2.850057616760e+04 
       1.730849819277e-02       2.847772176367e+04 
       1.743469964069e-02       2.845325497284e+04 
       1.756095180508e-02       2.842722131410e+04 
       1.768725549515e-02       2.839966018149e+04 
       1.781361154375e-02       2.837055684461e+04 
       1.794002080772e-02       2.833996049441e+04 
       1.806648416827e-02       2.830789531086e+04 
       1.819300253131e-02       2.827445444168e+04 
       1.831957682788e-02       2.823941274412e+04 
       1.844620801457e-02       2.820305825367e+04 
       1.857289707388e-02       2.816534160717e+04 
       1.869964501473e-02       2.812622710167e+04 
       1.882645287291e-02       2.808580702420e+04 
       1.895332171153e-02       2.804401563261e+04 
       1.908025262153e-02       2.800098367558e+04 
       1.920724672222e-02       2.795665937707e+04 
       1.933430516177e-02       2.791110485945e+04 
       1.946142911781e-02       2.786429934108e+04 
       1.958861979797e-02       2.781628719163e+04 
       1.971587844047e-02       2.776709724533e+04 
       1.984320631477e-02       2.771672786210e+04 
       1.997060472217e-02       2.766523801558e+04 
       2.009807499648e-02       2.761261288891e+04 
       2.022561850468e-02       2.755892171321e+04 
       2.035323664764e-02       2.750408249033e+04 
       2.048093086082e-02       2.744821916682e+04 
       2.060870261506e-02       2.739131314141e+04 
       2.073655341729e-02       2.733337064827e+04 
       2.086448481135e-02       2.727442836417e+04 
       2.099249837882e-02       2.721448231587e+04 
       2.112059573986e-02       2.715362704611e+04 
       2.124877855405e-02       2.709180454721e+04 
       2.137704852135e-02       2.702903190260e+04 
       2.150540738297e-02       2.696547354163e+04 
       2.163385692236e-02       2.690079868341e+04 
       2.176239896618e-02       2.683544619417e+04 
       2.189103538535e-02       2.676914864245e+04 
