# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905917834e-08       1.525921709346e-08       1.525921725136e-08       1.525921725006e-08       1.525904868897e-08       1.525921101079e-08 
       1.038448789616e-05       1.616320527238e-08       1.616338227461e-08       1.616338245061e-08       1.616338244917e-08       1.616319351039e-08       1.616337545588e-08 
       1.068772041737e-05       1.712092416980e-08       1.712112257738e-08       1.712112277360e-08       1.712112277202e-08       1.712091098035e-08       1.712111493313e-08 
       1.099980748807e-05       1.813539010982e-08       1.813561252321e-08       1.813561274205e-08       1.813561274029e-08       1.813537531918e-08       1.813560395310e-08 
       1.132100766576e-05       1.920996539897e-08       1.921021473524e-08       1.921021497939e-08       1.921021497745e-08       1.920994881226e-08       1.921020512671e-08 
       1.165158705797e-05       2.034821155258e-08       2.034849108404e-08       2.034849135649e-08       2.034849135435e-08       2.034819295116e-08       2.034848031081e-08 
       1.199181954271e-05       2.155390109614e-08       2.155421449362e-08       2.155421479774e-08       2.155421479538e-08       2.155388023474e-08       2.155420241404e-08 
       1.234198699538e-05       2.283103006568e-08       2.283138144710e-08       2.283138178667e-08       2.283138178405e-08       2.283100666909e-08       2.283136790225e-08 
       1.270237952227e-05       2.418383124783e-08       2.418422523342e-08       2.418422561266e-08       2.418422560976e-08       2.418380500734e-08       2.418421004499e-08 
       1.307329570095e-05       2.561678820905e-08       2.561722997937e-08       2.561723040300e-08       2.561723039980e-08       2.561675877829e-08       2.561721294743e-08 
       1.345504282758e-05       2.713465013976e-08       2.713514550954e-08       2.713514598289e-08       2.713514597933e-08       2.713461713015e-08       2.713512640969e-08 
       1.384793717157e-05       2.874244760354e-08       2.874300309483e-08       2.874300362384e-08       2.874300361990e-08       2.874241057913e-08       2.874298167536e-08 
       1.425230423754e-05       3.044550919594e-08       3.044613212553e-08       3.044613271687e-08       3.044613271250e-08       3.044546766762e-08       3.044610810404e-08 
       1.466847903501e-05       3.224947920042e-08       3.225017777673e-08       3.225017843788e-08       3.225017843302e-08       3.224943261945e-08       3.225015083642e-08 
       1.509680635597e-05       3.416033628777e-08       3.416111971961e-08       3.416112045894e-08       3.416112045355e-08       3.416028403851e-08       3.416108950505e-08 
       1.553764106052e-05       3.618441332282e-08       3.618529194136e-08       3.618529276826e-08       3.618529276227e-08       3.618435471456e-08       3.618525805381e-08 
       1.599134837084e-05       3.832841835962e-08       3.832940374266e-08       3.832940466772e-08       3.832940466106e-08       3.832835261701e-08       3.832936573528e-08 
       1.645830417382e-05       4.059945680744e-08       4.060056196286e-08       4.060056299762e-08       4.060056299022e-08       4.059938306292e-08       4.060051933339e-08 
       1.693889533242e-05       4.300505506734e-08       4.300629456485e-08       4.300629572250e-08       4.300629571426e-08       4.300497234576e-08       4.300624675089e-08 
       1.743352000622e-05       4.555318538389e-08       4.555457555948e-08       4.555457685444e-08       4.555457684527e-08       4.555309259235e-08       4.555452193016e-08 
       1.794258798126e-05       4.825229217523e-08       4.825385141495e-08       4.825385286495e-08       4.825385285474e-08       4.825218808233e-08       4.825379126141e-08 
       1.846652100954e-05       5.111132023196e-08       5.111306912241e-08       5.111307074659e-08       5.111307073522e-08       5.111120345900e-08       5.111300165039e-08 
       1.900575315847e-05       5.413974416817e-08       5.414170581121e-08       5.414170762764e-08       5.414170761498e-08       5.413961317805e-08       5.414163012681e-08 
       1.956073117042e-05       5.734759981270e-08       5.734980012806e-08       5.734980215786e-08       5.734980214374e-08       5.734745288073e-08       5.734971522903e-08 
       2.013191483291e-05       6.074551752123e-08       6.074798554615e-08       6.074798782682e-08       6.074798781107e-08       6.074535266279e-08       6.074789032000e-08 
       2.071977735946e-05       6.434475746208e-08       6.434752571456e-08       6.434752826306e-08       6.434752824550e-08       6.434457254336e-08       6.434741889671e-08 
       2.132480578171e-05       6.815724653546e-08       6.816035152166e-08       6.816035437299e-08       6.816035435340e-08       6.815703910818e-08       6.816023170444e-08 
       2.194750135285e-05       7.219561321532e-08       7.219909976624e-08       7.219910299037e-08       7.219910296850e-08       7.219538029895e-08       7.219896524310e-08 
       2.258837996296e-05       7.647324849313e-08       7.647715927270e-08       7.647716288088e-08       7.647716285647e-08       7.647298721820e-08       7.647700837453e-08 
