# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905922930e-08       1.525921710542e-08       1.525921726315e-08       1.525921726225e-08       1.525904874118e-08       1.525921102445e-08 
       1.038448789616e-05       1.616320532636e-08       1.616338228729e-08       1.616338246309e-08       1.616338246208e-08       1.616319356569e-08       1.616337547035e-08 
       1.068772041737e-05       1.712092422698e-08       1.712112259081e-08       1.712112278683e-08       1.712112278570e-08       1.712091103893e-08       1.712111494846e-08 
       1.099980748807e-05       1.813539017039e-08       1.813561253742e-08       1.813561275605e-08       1.813561275479e-08       1.813537538123e-08       1.813560396933e-08 
       1.132100766576e-05       1.920996546313e-08       1.921021475030e-08       1.921021499422e-08       1.921021499280e-08       1.920994887799e-08       1.921020514391e-08 
       1.165158705797e-05       2.034821162054e-08       2.034849110000e-08       2.034849137220e-08       2.034849137062e-08       2.034819302079e-08       2.034848032903e-08 
       1.199181954271e-05       2.155390116813e-08       2.155421451052e-08       2.155421481439e-08       2.155421481261e-08       2.155388030848e-08       2.155420243333e-08 
       1.234198699538e-05       2.283103014193e-08       2.283138146500e-08       2.283138180430e-08       2.283138180230e-08       2.283100674721e-08       2.283136792269e-08 
       1.270237952227e-05       2.418383132860e-08       2.418422525238e-08       2.418422563133e-08       2.418422562909e-08       2.418380509008e-08       2.418421006664e-08 
       1.307329570095e-05       2.561678829460e-08       2.561722999945e-08       2.561723042279e-08       2.561723042027e-08       2.561675886594e-08       2.561721297037e-08 
       1.345504282758e-05       2.713465023038e-08       2.713514553081e-08       2.713514600384e-08       2.713514600102e-08       2.713461722299e-08       2.713512643398e-08 
       1.384793717157e-05       2.874244769954e-08       2.874300311736e-08       2.874300364604e-08       2.874300364287e-08       2.874241067748e-08       2.874298170109e-08 
       1.425230423754e-05       3.044550929763e-08       3.044613214940e-08       3.044613274038e-08       3.044613273683e-08       3.044546777180e-08       3.044610813130e-08 
       1.466847903501e-05       3.224947930812e-08       3.225017780201e-08       3.225017846278e-08       3.225017845880e-08       3.224943272979e-08       3.225015086529e-08 
       1.509680635597e-05       3.416033640186e-08       3.416111974639e-08       3.416112048532e-08       3.416112048085e-08       3.416028415539e-08       3.416108953564e-08 
       1.553764106052e-05       3.618441344367e-08       3.618529196973e-08       3.618529279621e-08       3.618529279119e-08       3.618435483837e-08       3.618525808621e-08 
       1.599134837084e-05       3.832841848763e-08       3.832940377271e-08       3.832940469732e-08       3.832940469170e-08       3.832835274815e-08       3.832936576959e-08 
       1.645830417382e-05       4.059945694303e-08       4.060056199468e-08       4.060056302897e-08       4.060056302266e-08       4.059938320184e-08       4.060051936974e-08 
       1.693889533242e-05       4.300505521097e-08       4.300629459857e-08       4.300629575571e-08       4.300629574863e-08       4.300497249291e-08       4.300624678939e-08 
       1.743352000622e-05       4.555318553603e-08       4.555457559520e-08       4.555457688962e-08       4.555457688168e-08       4.555309274821e-08       4.555452197094e-08 
       1.794258798126e-05       4.825229233639e-08       4.825385145278e-08       4.825385290221e-08       4.825385289330e-08       4.825218824743e-08       4.825379130461e-08 
       1.846652100954e-05       5.111132040267e-08       5.111306916247e-08       5.111307078606e-08       5.111307077607e-08       5.111120363388e-08       5.111300169615e-08 
       1.900575315847e-05       5.413974434899e-08       5.414170585365e-08       5.414170766946e-08       5.414170765824e-08       5.413961336329e-08       5.414163017528e-08 
       1.956073117042e-05       5.734760000423e-08       5.734980017302e-08       5.734980220215e-08       5.734980218957e-08       5.734745307694e-08       5.734971528037e-08 
       2.013191483291e-05       6.074551772428e-08       6.074798559381e-08       6.074798787378e-08       6.074798785967e-08       6.074535287079e-08       6.074789037444e-08 
       2.071977735946e-05       6.434475767698e-08       6.434752576500e-08       6.434752831275e-08       6.434752829692e-08       6.434457276352e-08       6.434741895432e-08 
       2.132480578171e-05       6.815724676310e-08       6.816035157509e-08       6.816035442563e-08       6.816035440787e-08       6.815703934139e-08       6.816023176546e-08 
       2.194750135285e-05       7.219561345644e-08       7.219909982284e-08       7.219910304612e-08       7.219910302620e-08       7.219538054598e-08       7.219896530774e-08 
       2.258837996296e-05       7.647324874854e-08       7.647715933265e-08       7.647716293994e-08       7.647716291759e-08       7.647298747986e-08       7.647700844300e-08 
       2.324797256634e-05       8.100432215556e-08       8.100870897568e-08       8.100871301587e-08       8.100871299079e-08       8.100402905415e-08       8.100853970510e-08 
       2.392682562148e-05       8.580385682278e-08       8.580877099277e-08       8.580877546881e-08       8.580877544067e-08       8.580352835437e-08       8.580858133158e-08 
       2.462550154372e-05       9.088773758854e-08       9.089325140033e-08       9.089325641965e-08       9.089325638809e-08       9.088736905516e-08       9.089303859404e-08 
       2.534457917122e-05       9.627281128110e-08       9.627900349526e-08       9.627900917080e-08       9.627900913539e-08       9.627239747211e-08       9.627876453812e-08 
       2.608465424454e-05       1.019769357921e-07       1.019838821839e-07       1.019838885429e-07       1.019838885031e-07       1.019764715484e-07       1.019836141162e-07 
