# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905923020e-08       1.525921710563e-08       1.525921726335e-08       1.525921726247e-08       1.525904874210e-08       1.525921102469e-08 
       1.038448789616e-05       1.616320532731e-08       1.616338228751e-08       1.616338246331e-08       1.616338246231e-08       1.616319356667e-08       1.616337547060e-08 
       1.068772041737e-05       1.712092422799e-08       1.712112259104e-08       1.712112278706e-08       1.712112278594e-08       1.712091103996e-08       1.712111494873e-08 
       1.099980748807e-05       1.813539017145e-08       1.813561253768e-08       1.813561275630e-08       1.813561275504e-08       1.813537538233e-08       1.813560396962e-08 
       1.132100766576e-05       1.920996546426e-08       1.921021475057e-08       1.921021499448e-08       1.921021499307e-08       1.920994887915e-08       1.921020514421e-08 
       1.165158705797e-05       2.034821162174e-08       2.034849110028e-08       2.034849137248e-08       2.034849137090e-08       2.034819302202e-08       2.034848032935e-08 
       1.199181954271e-05       2.155390116940e-08       2.155421451082e-08       2.155421481468e-08       2.155421481291e-08       2.155388030978e-08       2.155420243367e-08 
       1.234198699538e-05       2.283103014328e-08       2.283138146532e-08       2.283138180461e-08       2.283138180262e-08       2.283100674859e-08       2.283136792305e-08 
       1.270237952227e-05       2.418383133003e-08       2.418422525272e-08       2.418422563166e-08       2.418422562943e-08       2.418380509154e-08       2.418421006703e-08 
       1.307329570095e-05       2.561678829611e-08       2.561722999980e-08       2.561723042314e-08       2.561723042063e-08       2.561675886748e-08       2.561721297077e-08 
       1.345504282758e-05       2.713465023198e-08       2.713514553119e-08       2.713514600421e-08       2.713514600140e-08       2.713461722463e-08       2.713512643441e-08 
       1.384793717157e-05       2.874244770123e-08       2.874300311776e-08       2.874300364643e-08       2.874300364328e-08       2.874241067921e-08       2.874298170155e-08 
       1.425230423754e-05       3.044550929942e-08       3.044613214982e-08       3.044613274080e-08       3.044613273726e-08       3.044546777363e-08       3.044610813178e-08 
       1.466847903501e-05       3.224947931002e-08       3.225017780246e-08       3.225017846322e-08       3.225017845925e-08       3.224943273174e-08       3.225015086580e-08 
       1.509680635597e-05       3.416033640387e-08       3.416111974686e-08       3.416112048578e-08       3.416112048133e-08       3.416028415745e-08       3.416108953618e-08 
       1.553764106052e-05       3.618441344581e-08       3.618529197023e-08       3.618529279670e-08       3.618529279170e-08       3.618435484055e-08       3.618525808678e-08 
       1.599134837084e-05       3.832841848989e-08       3.832940377324e-08       3.832940469784e-08       3.832940469224e-08       3.832835275047e-08       3.832936577020e-08 
       1.645830417382e-05       4.059945694543e-08       4.060056199525e-08       4.060056302953e-08       4.060056302324e-08       4.059938320429e-08       4.060051937038e-08 
       1.693889533242e-05       4.300505521351e-08       4.300629459916e-08       4.300629575629e-08       4.300629574924e-08       4.300497249550e-08       4.300624679007e-08 
       1.743352000622e-05       4.555318553872e-08       4.555457559583e-08       4.555457689024e-08       4.555457688232e-08       4.555309275096e-08       4.555452197166e-08 
       1.794258798126e-05       4.825229233923e-08       4.825385145345e-08       4.825385290287e-08       4.825385289398e-08       4.825218825034e-08       4.825379130537e-08 
       1.846652100954e-05       5.111132040568e-08       5.111306916318e-08       5.111307078676e-08       5.111307077679e-08       5.111120363696e-08       5.111300169695e-08 
       1.900575315847e-05       5.413974435218e-08       5.414170585440e-08       5.414170767019e-08       5.414170765901e-08       5.413961336656e-08       5.414163017614e-08 
       1.956073117042e-05       5.734760000761e-08       5.734980017381e-08       5.734980220293e-08       5.734980219038e-08       5.734745308041e-08       5.734971528128e-08 
       2.013191483291e-05       6.074551772777e-08       6.074798559464e-08       6.074798787459e-08       6.074798786051e-08       6.074535287440e-08       6.074789037538e-08 
       2.071977735946e-05       6.434475768077e-08       6.434752576589e-08       6.434752831363e-08       6.434752829783e-08       6.434457276740e-08       6.434741895534e-08 
       2.132480578171e-05       6.815724676712e-08       6.816035157603e-08       6.816035442656e-08       6.816035440883e-08       6.815703934551e-08       6.816023176654e-08 
       2.194750135285e-05       7.219561346070e-08       7.219909982384e-08       7.219910304711e-08       7.219910302722e-08       7.219538055034e-08       7.219896530888e-08 
       2.258837996296e-05       7.647324875304e-08       7.647715933371e-08       7.647716294098e-08       7.647716291866e-08       7.647298748448e-08       7.647700844421e-08 
       2.324797256634e-05       8.100432216033e-08       8.100870897680e-08       8.100871301697e-08       8.100871299193e-08       8.100402905904e-08       8.100853970638e-08 
       2.392682562148e-05       8.580385682784e-08       8.580877099396e-08       8.580877546998e-08       8.580877544188e-08       8.580352835955e-08       8.580858133294e-08 
       2.462550154372e-05       9.088773759389e-08       9.089325140159e-08       9.089325642089e-08       9.089325638937e-08       9.088736906064e-08       9.089303859547e-08 
       2.534457917122e-05       9.627281128677e-08       9.627900349659e-08       9.627900917212e-08       9.627900913675e-08       9.627239747792e-08       9.627876453965e-08 
       2.608465424454e-05       1.019769357981e-07       1.019838821853e-07       1.019838885442e-07       1.019838885046e-07       1.019764715545e-07       1.019836141178e-07 
       2.684633990017e-05       1.080190027368e-07       1.080267949475e-07       1.080268020722e-07       1.080268020277e-07       1.080184819132e-07       1.080264942313e-07 
       2.763026717849e-05       1.144190327059e-07       1.144277718941e-07       1.144277798701e-07       1.144277798201e-07       1.144184484549e-07       1.144274346184e-07 
       2.843708554663e-05       1.211982323170e-07       1.212080300578e-07       1.212080389371e-07       1.212080388810e-07       1.211975772516e-07       1.212076518776e-07 
       2.926746343646e-05       1.283790458118e-07       1.283900395580e-07       1.283900495269e-07       1.283900494640e-07       1.283783107845e-07       1.283896152182e-07 
       3.012208879845e-05       1.359852617031e-07       1.359976053820e-07       1.359976166336e-07       1.359976165630e-07       1.359844365150e-07       1.359971289857e-07 
       3.100166967156e-05       1.440421061142e-07       1.440559495976e-07       1.440559621875e-07       1.440559621083e-07       1.440411804594e-07       1.440554152909e-07 
       3.190693476988e-05       1.525762433098e-07       1.525917761698e-07       1.525917902969e-07       1.525917902081e-07       1.525752047209e-07       1.525911766606e-07 
       3.283863408632e-05       1.616159575585e-07       1.616333807236e-07       1.616333965290e-07       1.616333964293e-07       1.616147925515e-07       1.616327082224e-07 
       3.379753951399e-05       1.711911837341e-07       1.712107300598e-07       1.712107477743e-07       1.712107476625e-07       1.711898767087e-07       1.712099755943e-07 
       3.478444548567e-05       1.813336407337e-07       1.813555692556e-07       1.813555891123e-07       1.813555889868e-07       1.813321743609e-07       1.813547228257e-07 
       3.580016963202e-05       1.920769229024e-07       1.921015238561e-07       1.921015461150e-07       1.921015459742e-07       1.920752777496e-07       1.921005742562e-07 
       3.684555345892e-05       2.034566096825e-07       2.034842109979e-07       2.034842359616e-07       2.034842358036e-07       2.034547638760e-07       2.034831455755e-07 
       3.792146304469e-05       2.155103939413e-07       2.155413599182e-07       2.155413879088e-07       2.155413877316e-07       2.155083230464e-07       2.155401646042e-07 
       3.902878975758e-05       2.282781925629e-07       2.283129338165e-07       2.283129652027e-07       2.283129650038e-07       2.282758691248e-07       2.283115927588e-07 
       4.016845099426e-05       2.418022865657e-07       2.418412641878e-07       2.418412993837e-07       2.418412991606e-07       2.417996797746e-07       2.418397595861e-07 
       4.134139093988e-05       2.561274612077e-07       2.561711912381e-07       2.561712307066e-07       2.561712304563e-07       2.561245365059e-07       2.561695031693e-07 
       4.254858135027e-05       2.713011479151e-07       2.713502111271e-07       2.713502553938e-07       2.713502551129e-07       2.712978664932e-07       2.713483171738e-07 
       4.379102235708e-05       2.873735904047e-07       2.874286355715e-07       2.874286852124e-07       2.874286848972e-07       2.873699088013e-07       2.874265106808e-07 
       4.506974329629e-05       3.043980004070e-07       3.044597562932e-07       3.044598119495e-07       3.044598115959e-07       3.043938698558e-07       3.044573723197e-07 
       4.638580356106e-05       3.224307350586e-07       3.225000219587e-07       3.225000843880e-07       3.225000839912e-07       3.224261006971e-07       3.224973472512e-07 
       4.774029347938e-05       3.415314581743e-07       3.416092203430e-07       3.416092903043e-07       3.416092898591e-07       3.415262580010e-07       3.416062183946e-07 
       4.913433521739e-05       3.617634567346e-07       3.618507012054e-07       3.618507799399e-07       3.618507794404e-07       3.617576215558e-07       3.618473333806e-07 
       5.056908370909e-05       3.831936642560e-07       3.832915487265e-07       3.832916370397e-07       3.832916364792e-07       3.831871173605e-07       3.832877701546e-07 
       5.204572761313e-05       4.058930038422e-07       4.060028271902e-07       4.060029262422e-07       4.060029256133e-07       4.058856584337e-07       4.059985877231e-07 
       5.356549029765e-05       4.299365924952e-07       4.300598120695e-07       4.300599231824e-07       4.300599224768e-07       4.299283511011e-07       4.300550554561e-07 
       5.512963085377e-05       4.554039871184e-07       4.555422386274e-07       4.555423632775e-07       4.555423624858e-07       4.553947404027e-07       4.555369017269e-07 
       5.673944513873e-05       4.823795057430e-07       4.825345799312e-07       4.825347194547e-07       4.825347185664e-07       4.823691331950e-07       4.825285933800e-07 
       5.839626684951e-05       5.109522857242e-07       5.111262764237e-07       5.111264329640e-07       5.111264319673e-07       5.109406478556e-07       5.111195596085e-07 
       6.010146862770e-05       5.412168908905e-07       5.414121044318e-07       5.414122800361e-07       5.414122789178e-07       5.412038334607e-07       5.414045682959e-07 
       6.185646319679e-05       5.732734159378e-07       5.734924425428e-07       5.734926395409e-07       5.734926382861e-07       5.732587657682e-07       5.734839870928e-07 
       6.366270453251e-05       6.072278059929e-07       6.074736027770e-07       6.074738241466e-07       6.074738227387e-07       6.072113662473e-07       6.074641141255e-07 
       6.552168906749e-05       6.431924644475e-07       6.434682414484e-07       6.434684897679e-07       6.434684881882e-07       6.431740195805e-07       6.434575954112e-07 
       6.743495693093e-05       6.812862271275e-07       6.815956428905e-07       6.815959214463e-07       6.815959196738e-07       6.812655325681e-07       6.815836982296e-07 
       6.940409322464e-05       7.216350189136e-07       7.219821757043e-07       7.219824881922e-07       7.219824862035e-07       7.216118002661e-07       7.219687740579e-07 
