# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       7.559518509159e-26       4.634785000235e-09       2.157256292801e+22       1.415848794974e+04       1.415848794974e-10       1.415848794974e+18       2.676317464532e-09       2.751560535470e+44       2.562433079091e+33       1.112650056054e+20       1.303024480644e+34       2.725500000000e+14       0.000000000000e+00       8.048045081596e+26       4.151029920239e+26       3.914427962767e+01       3.892252110638e-08       1.902194177205e+44       4.653754712831e+44       4.653754712831e+44       1.551251570892e+44      -1.338578885210e+53       5.611301539319e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792998562e-26       4.685716703534e-09       2.111374631024e+22       1.415848794974e+04       1.431149813334e-10       1.400711366170e+18       2.705240379211e-09       2.635761930281e+44       2.481120538977e+33       1.077342830646e+20       1.261676188969e+34       2.696360464043e+14       0.000000000000e+00       7.750890676696e+26       3.997763280556e+26      -8.715247088885e+11       3.892252110638e-08       1.822140902098e+44       4.457902832531e+44       4.457902832531e+44       1.485967610793e+44      -1.268536174643e+53       5.731933078764e-06       1.957908987142e+00 
       9.787314738953e+13       7.891636500802e-26       4.736648406833e-09       2.066468804567e+22       1.415848794974e+04       1.446616189156e-10       1.385735777918e+18       2.734475798942e-09       2.524836674885e+44       2.402388253244e+33       1.043155993593e+20       1.221639984096e+34       2.667532554995e+14       0.000000000000e+00       7.464708141282e+26       3.850155724298e+26      -8.077706739523e+11       3.892252110638e-08       1.745456645219e+44       4.270293320250e+44       4.270293320250e+44       1.423431106701e+44      -1.202158531080e+53       5.852564618088e-06       1.917553076399e+00 
       9.682674483178e+13       8.063127328708e-26       4.787580110133e-09       2.022518058853e+22       1.415848794974e+04       1.462249709451e-10       1.370920299913e+18       2.764027163218e-09       2.418579675807e+44       2.326154343837e+33       1.010053992113e+20       1.182874230164e+34       2.639012852857e+14       0.000000000000e+00       7.189092182289e+26       3.707998208941e+26      -7.907006590411e+11       3.892252110638e-08       1.671999622440e+44       4.090579298388e+44       4.090579298388e+44       1.363526432749e+44      -1.139254175589e+53       5.973196157443e-06       1.878827179774e+00 
       9.579152979933e+13       8.238345114551e-26       4.838511813432e-09       1.979502080722e+22       1.415848794974e+04       1.478052180542e-10       1.356263220351e+18       2.793897895271e-09       2.316794470871e+44       2.252339530901e+33       9.780024016069e+19       1.145338612522e+34       2.610798061285e+14       0.000000000000e+00       6.923652653104e+26       3.571089504220e+26      -8.279356985147e+11       3.892252110638e-08       1.601634016574e+44       3.918428487582e+44       3.918428487582e+44       1.306142829148e+44      -1.079641364298e+53       6.093827696946e-06       1.841634499633e+00 
       9.476738268169e+13       8.417370640887e-26       4.891262506135e-09       1.937400989044e+22       1.415848794974e+04       1.494025428274e-10       1.341762845727e+18       2.824091442052e-09       2.219292865953e+44       2.180867050330e+33       9.469678898526e+19       1.108994095806e+34       2.582884922704e+14       0.000000000000e+00       6.668013819089e+26       3.439235813291e+26      -8.919003044231e+11       3.892252110638e-08       1.534229726263e+44       3.753522592349e+44       3.753522592349e+44       1.251174197405e+44      -1.023147863294e+53       6.214459236692e-06       1.805885747471e+00 
       9.375418514718e+13       8.600286449159e-26       4.944013198838e-09       1.896195325534e+22       1.415848794974e+04       1.510171298221e-10       1.327417500644e+18       2.854611287780e-09       2.125894587024e+44       2.111662573944e+33       9.169181823464e+19       1.073802883346e+34       2.555270216618e+14       0.000000000000e+00       6.421813822422e+26       3.312250496712e+26      -9.367696303946e+11       3.892252110638e-08       1.469662125423e+44       3.595556712575e+44       3.595556712575e+44       1.198518904149e+44      -9.696104510079e+52       6.335090776746e-06       1.771498435618e+00 
       9.275182012925e+13       8.787177066972e-26       4.998582880944e-09       1.855866045753e+22       1.415848794974e+04       1.526491655906e-10       1.313225527616e+18       2.885460958503e-09       2.036426946831e+44       2.044654132181e+33       8.878220287368e+19       1.039728377854e+34       2.527950752404e+14       0.000000000000e+00       6.184704157206e+26       3.189953801712e+26      -9.636819057387e+11       3.892252110638e-08       1.407811832824e+44       3.444238779780e+44       3.444238779780e+44       1.148079593218e+44      -9.188744466285e+52       6.455722317128e-06       1.738396244344e+00 
       9.176017181296e+13       8.978129172535e-26       5.051333573647e-09       1.816394510313e+22       1.415848794974e+04       1.542988387009e-10       1.299185286880e+18       2.916644024864e-09       1.950724525616e+44       1.979772039259e+33       8.596491703252e+19       1.006735143368e+34       2.500923368115e+14       0.000000000000e+00       5.956349175861e+26       3.072172607598e+26      -1.022194787043e+12       3.892252110638e-08       1.348564491358e+44       3.299289017094e+44       3.299289017094e+44       1.099763005658e+44      -8.707932632009e+52       6.576353857825e-06       1.706508457612e+00 
       9.077912562158e+13       9.173230631904e-26       5.105903255753e-09       1.777762476254e+22       1.415848794974e+04       1.559663397592e-10       1.285295156201e+18       2.948164081739e-09       1.868628865258e+44       1.916948820704e+33       8.323703085993e+19       9.747888684007e+33       2.474184947960e+14       0.000000000000e+00       5.736425645316e+26       2.958740196844e+26      -1.048983822950e+12       3.892252110638e-08       1.291810556602e+44       3.160439421977e+44       3.160439421977e+44       1.053479807287e+44      -8.252279841041e+52       6.696985398828e-06       1.675769446075e+00 
