# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905923012e-08       1.525921710561e-08       1.525921726334e-08       1.525921726245e-08       1.525904874202e-08       1.525921102467e-08 
       1.038448789616e-05       1.616320532722e-08       1.616338228749e-08       1.616338246329e-08       1.616338246229e-08       1.616319356658e-08       1.616337547058e-08 
       1.068772041737e-05       1.712092422789e-08       1.712112259102e-08       1.712112278704e-08       1.712112278592e-08       1.712091103986e-08       1.712111494871e-08 
       1.099980748807e-05       1.813539017135e-08       1.813561253765e-08       1.813561275628e-08       1.813561275502e-08       1.813537538223e-08       1.813560396959e-08 
       1.132100766576e-05       1.920996546415e-08       1.921021475054e-08       1.921021499446e-08       1.921021499305e-08       1.920994887904e-08       1.921020514418e-08 
       1.165158705797e-05       2.034821162163e-08       2.034849110025e-08       2.034849137246e-08       2.034849137088e-08       2.034819302190e-08       2.034848032932e-08 
       1.199181954271e-05       2.155390116928e-08       2.155421451079e-08       2.155421481466e-08       2.155421481288e-08       2.155388030966e-08       2.155420243364e-08 
       1.234198699538e-05       2.283103014315e-08       2.283138146529e-08       2.283138180458e-08       2.283138180259e-08       2.283100674846e-08       2.283136792301e-08 
       1.270237952227e-05       2.418383132989e-08       2.418422525268e-08       2.418422563163e-08       2.418422562940e-08       2.418380509141e-08       2.418421006699e-08 
       1.307329570095e-05       2.561678829597e-08       2.561722999977e-08       2.561723042310e-08       2.561723042060e-08       2.561675886734e-08       2.561721297073e-08 
       1.345504282758e-05       2.713465023183e-08       2.713514553115e-08       2.713514600418e-08       2.713514600137e-08       2.713461722448e-08       2.713512643437e-08 
       1.384793717157e-05       2.874244770107e-08       2.874300311773e-08       2.874300364640e-08       2.874300364324e-08       2.874241067905e-08       2.874298170150e-08 
       1.425230423754e-05       3.044550929925e-08       3.044613214978e-08       3.044613274076e-08       3.044613273722e-08       3.044546777346e-08       3.044610813174e-08 
       1.466847903501e-05       3.224947930985e-08       3.225017780242e-08       3.225017846318e-08       3.225017845921e-08       3.224943273156e-08       3.225015086576e-08 
       1.509680635597e-05       3.416033640368e-08       3.416111974682e-08       3.416112048574e-08       3.416112048128e-08       3.416028415726e-08       3.416108953613e-08 
       1.553764106052e-05       3.618441344561e-08       3.618529197018e-08       3.618529279665e-08       3.618529279166e-08       3.618435484035e-08       3.618525808672e-08 
       1.599134837084e-05       3.832841848968e-08       3.832940377319e-08       3.832940469779e-08       3.832940469219e-08       3.832835275025e-08       3.832936577014e-08 
       1.645830417382e-05       4.059945694520e-08       4.060056199519e-08       4.060056302947e-08       4.060056302318e-08       4.059938320406e-08       4.060051937032e-08 
       1.693889533242e-05       4.300505521327e-08       4.300629459911e-08       4.300629575624e-08       4.300629574918e-08       4.300497249526e-08       4.300624679001e-08 
       1.743352000622e-05       4.555318553847e-08       4.555457559577e-08       4.555457689018e-08       4.555457688226e-08       4.555309275071e-08       4.555452197160e-08 
       1.794258798126e-05       4.825229233897e-08       4.825385145339e-08       4.825385290281e-08       4.825385289392e-08       4.825218825007e-08       4.825379130530e-08 
       1.846652100954e-05       5.111132040540e-08       5.111306916312e-08       5.111307078669e-08       5.111307077672e-08       5.111120363668e-08       5.111300169688e-08 
       1.900575315847e-05       5.413974435188e-08       5.414170585433e-08       5.414170767013e-08       5.414170765894e-08       5.413961336626e-08       5.414163017606e-08 
       1.956073117042e-05       5.734760000729e-08       5.734980017374e-08       5.734980220285e-08       5.734980219030e-08       5.734745308008e-08       5.734971528120e-08 
       2.013191483291e-05       6.074551772749e-08       6.074798559455e-08       6.074798787451e-08       6.074798786043e-08       6.074535287406e-08       6.074789037529e-08 
       2.071977735946e-05       6.434475768042e-08       6.434752576581e-08       6.434752831355e-08       6.434752829775e-08       6.434457276704e-08       6.434741895524e-08 
       2.132480578171e-05       6.815724676674e-08       6.816035157594e-08       6.816035442647e-08       6.816035440874e-08       6.815703934512e-08       6.816023176644e-08 
       2.194750135285e-05       7.219561346030e-08       7.219909982375e-08       7.219910304702e-08       7.219910302712e-08       7.219538054993e-08       7.219896530877e-08 
       2.258837996296e-05       7.647324875262e-08       7.647715933361e-08       7.647716294088e-08       7.647716291856e-08       7.647298748405e-08       7.647700844409e-08 
       2.324797256634e-05       8.100432215989e-08       8.100870897670e-08       8.100871301687e-08       8.100871299183e-08       8.100402905859e-08       8.100853970626e-08 
       2.392682562148e-05       8.580385682736e-08       8.580877099385e-08       8.580877546987e-08       8.580877544177e-08       8.580352835906e-08       8.580858133281e-08 
       2.462550154372e-05       9.088773759339e-08       9.089325140147e-08       9.089325642077e-08       9.089325638925e-08       9.088736906013e-08       9.089303859534e-08 
       2.534457917122e-05       9.627281128625e-08       9.627900349647e-08       9.627900917199e-08       9.627900913662e-08       9.627239747738e-08       9.627876453950e-08 
       2.608465424454e-05       1.019769357975e-07       1.019838821851e-07       1.019838885441e-07       1.019838885044e-07       1.019764715540e-07       1.019836141177e-07 
       2.684633990017e-05       1.080190027362e-07       1.080267949474e-07       1.080268020721e-07       1.080268020275e-07       1.080184819126e-07       1.080264942311e-07 
       2.763026717849e-05       1.144190327053e-07       1.144277718939e-07       1.144277798699e-07       1.144277798200e-07       1.144184484542e-07       1.144274346182e-07 
       2.843708554663e-05       1.211982323164e-07       1.212080300577e-07       1.212080389369e-07       1.212080388809e-07       1.211975772509e-07       1.212076518774e-07 
       2.926746343646e-05       1.283790458111e-07       1.283900395578e-07       1.283900495268e-07       1.283900494639e-07       1.283783107838e-07       1.283896152180e-07 
       3.012208879845e-05       1.359852617024e-07       1.359976053818e-07       1.359976166334e-07       1.359976165629e-07       1.359844365143e-07       1.359971289855e-07 
       3.100166967156e-05       1.440421061134e-07       1.440559495974e-07       1.440559621873e-07       1.440559621081e-07       1.440411804586e-07       1.440554152907e-07 
       3.190693476988e-05       1.525762433089e-07       1.525917761696e-07       1.525917902967e-07       1.525917902079e-07       1.525752047201e-07       1.525911766604e-07 
       3.283863408632e-05       1.616159575576e-07       1.616333807234e-07       1.616333965288e-07       1.616333964291e-07       1.616147925506e-07       1.616327082222e-07 
       3.379753951399e-05       1.711911837332e-07       1.712107300596e-07       1.712107477741e-07       1.712107476623e-07       1.711898767078e-07       1.712099755940e-07 
       3.478444548567e-05       1.813336407327e-07       1.813555692554e-07       1.813555891121e-07       1.813555889866e-07       1.813321743599e-07       1.813547228254e-07 
       3.580016963202e-05       1.920769229013e-07       1.921015238558e-07       1.921015461148e-07       1.921015459740e-07       1.920752777485e-07       1.921005742560e-07 
       3.684555345892e-05       2.034566096813e-07       2.034842109976e-07       2.034842359613e-07       2.034842358033e-07       2.034547638748e-07       2.034831455752e-07 
       3.792146304469e-05       2.155103939401e-07       2.155413599179e-07       2.155413879086e-07       2.155413877313e-07       2.155083230451e-07       2.155401646039e-07 
       3.902878975758e-05       2.282781925616e-07       2.283129338162e-07       2.283129652024e-07       2.283129650035e-07       2.282758691235e-07       2.283115927585e-07 
       4.016845099426e-05       2.418022865644e-07       2.418412641875e-07       2.418412993834e-07       2.418412991602e-07       2.417996797732e-07       2.418397595858e-07 
       4.134139093988e-05       2.561274612063e-07       2.561711912378e-07       2.561712307063e-07       2.561712304559e-07       2.561245365045e-07       2.561695031689e-07 
       4.254858135027e-05       2.713011479137e-07       2.713502111267e-07       2.713502553935e-07       2.713502551126e-07       2.712978664917e-07       2.713483171734e-07 
       4.379102235708e-05       2.873735904031e-07       2.874286355711e-07       2.874286852120e-07       2.874286848968e-07       2.873699087997e-07       2.874265106804e-07 
       4.506974329629e-05       3.043980004053e-07       3.044597562929e-07       3.044598119492e-07       3.044598115955e-07       3.043938698541e-07       3.044573723193e-07 
       4.638580356106e-05       3.224307350568e-07       3.225000219583e-07       3.225000843876e-07       3.225000839908e-07       3.224261006953e-07       3.224973472507e-07 
       4.774029347938e-05       3.415314581724e-07       3.416092203425e-07       3.416092903039e-07       3.416092898586e-07       3.415262579990e-07       3.416062183941e-07 
       4.913433521739e-05       3.617634567326e-07       3.618507012050e-07       3.618507799395e-07       3.618507794399e-07       3.617576215537e-07       3.618473333801e-07 
       5.056908370909e-05       3.831936642539e-07       3.832915487260e-07       3.832916370393e-07       3.832916364787e-07       3.831871173583e-07       3.832877701540e-07 
       5.204572761313e-05       4.058930038400e-07       4.060028271897e-07       4.060029262417e-07       4.060029256128e-07       4.058856584314e-07       4.059985877225e-07 
       5.356549029765e-05       4.299365924929e-07       4.300598120690e-07       4.300599231818e-07       4.300599224762e-07       4.299283510987e-07       4.300550554554e-07 
       5.512963085377e-05       4.554039871159e-07       4.555422386268e-07       4.555423632770e-07       4.555423624852e-07       4.553947404001e-07       4.555369017262e-07 
       5.673944513873e-05       4.823795057404e-07       4.825345799306e-07       4.825347194541e-07       4.825347185657e-07       4.823691331922e-07       4.825285933793e-07 
       5.839626684951e-05       5.109522857214e-07       5.111262764231e-07       5.111264329633e-07       5.111264319666e-07       5.109406478527e-07       5.111195596077e-07 
       6.010146862770e-05       5.412168908875e-07       5.414121044311e-07       5.414122800354e-07       5.414122789171e-07       5.412038334576e-07       5.414045682951e-07 
       6.185646319679e-05       5.732734159347e-07       5.734924425421e-07       5.734926395402e-07       5.734926382854e-07       5.732587657649e-07       5.734839870920e-07 
       6.366270453251e-05       6.072278059896e-07       6.074736027762e-07       6.074738241459e-07       6.074738227379e-07       6.072113662439e-07       6.074641141246e-07 
       6.552168906749e-05       6.431924644440e-07       6.434682414476e-07       6.434684897670e-07       6.434684881873e-07       6.431740195769e-07       6.434575954103e-07 
       6.743495693093e-05       6.812862271238e-07       6.815956428897e-07       6.815959214454e-07       6.815959196729e-07       6.812655325643e-07       6.815836982286e-07 
       6.940409322464e-05       7.216350189096e-07       7.219821757033e-07       7.219824881913e-07       7.219824862026e-07       7.216118002620e-07       7.219687740569e-07 
       7.143072933625e-05       7.643721844088e-07       7.647616923666e-07       7.647620429297e-07       7.647620406983e-07       7.643461336997e-07       7.647466557652e-07 
       7.351654429076e-05       8.096389652586e-07       8.100759820798e-07       8.100763753348e-07       8.100763728312e-07       8.096097373057e-07       8.100591113912e-07 
