# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905922081e-08       1.525921710343e-08       1.525921726118e-08       1.525921726022e-08       1.525904873248e-08       1.525921102217e-08 
       1.024593865065e-05       1.573478997542e-08       1.573495776432e-08       1.573495793146e-08       1.573495793044e-08       1.573477882660e-08       1.573495130105e-08 
       1.040443299810e-05       1.622535239387e-08       1.622553071351e-08       1.622553089062e-08       1.622553088954e-08       1.622534054284e-08       1.622552384414e-08 
       1.056537909342e-05       1.673120886647e-08       1.673139838076e-08       1.673139856845e-08       1.673139856730e-08       1.673119626888e-08       1.673139107967e-08 
       1.072881486267e-05       1.725283619828e-08       1.725303761310e-08       1.725303781202e-08       1.725303781080e-08       1.725282280699e-08       1.725302985305e-08 
       1.089477881860e-05       1.779072605847e-08       1.779094012431e-08       1.779094033515e-08       1.779094033385e-08       1.779071182334e-08       1.779093187634e-08 
       1.106331006970e-05       1.834538544366e-08       1.834561295841e-08       1.834561318190e-08       1.834561318053e-08       1.834537031137e-08       1.834560419173e-08 
       1.123444832946e-05       1.891733715565e-08       1.891757896764e-08       1.891757920457e-08       1.891757920311e-08       1.891732106954e-08       1.891756964953e-08 
       1.140823392565e-05       1.950712029413e-08       1.950737730532e-08       1.950737755651e-08       1.950737755496e-08       1.950710319392e-08       1.950736740095e-08 
       1.158470780992e-05       2.011529076468e-08       2.011556393401e-08       2.011556420035e-08       2.011556419870e-08       2.011527258630e-08       2.011555340640e-08 
       1.176391156738e-05       2.074242180260e-08       2.074271214966e-08       2.074271243207e-08       2.074271243033e-08       2.074240247792e-08       2.074270095945e-08 
       1.194588742640e-05       2.138910451312e-08       2.138941312194e-08       2.138941342142e-08       2.138941341957e-08       2.138908396972e-08       2.138940122730e-08 
       1.213067826860e-05       2.205594842841e-08       2.205627645154e-08       2.205627676914e-08       2.205627676718e-08       2.205592658924e-08       2.205626380799e-08 
       1.231832763895e-05       2.274358208189e-08       2.274393074475e-08       2.274393108161e-08       2.274393107952e-08       2.274355886508e-08       2.274391730501e-08 
       1.250887975598e-05       2.345265360034e-08       2.345302420600e-08       2.345302456329e-08       2.345302456108e-08       2.345262891880e-08       2.345300991977e-08 
       1.270237952227e-05       2.418383131514e-08       2.418422524922e-08       2.418422562822e-08       2.418422562587e-08       2.418380507629e-08       2.418421006304e-08 
       1.289887253498e-05       2.493780439399e-08       2.493822312780e-08       2.493822352984e-08       2.493822352735e-08       2.493777649939e-08       2.493820698487e-08 
       1.309840509662e-05       2.571528348142e-08       2.571572858199e-08       2.571572900852e-08       2.571572900587e-08       2.571525382641e-08       2.571571142185e-08 
       1.330102422595e-05       2.651700138104e-08       2.651747451341e-08       2.651747496594e-08       2.651747496313e-08       2.651696985432e-08       2.651745627179e-08 
       1.350677766905e-05       2.734371373807e-08       2.734421667256e-08       2.734421715271e-08       2.734421714972e-08       2.734368022131e-08       2.734419728115e-08 
       1.371571391061e-05       2.819619975321e-08       2.819673437210e-08       2.819673488158e-08       2.819673487840e-08       2.819616412058e-08       2.819671375824e-08 
       1.392788218531e-05       2.907526291679e-08       2.907583122141e-08       2.907583176205e-08       2.907583175868e-08       2.907522503452e-08       2.907580930787e-08 
       1.414333248944e-05       2.998173176590e-08       2.998233588414e-08       2.998233645787e-08       2.998233645429e-08       2.998169149173e-08       2.998231258879e-08 
       1.436211559270e-05       3.091646066493e-08       3.091710285928e-08       3.091710346816e-08       3.091710346436e-08       3.091641784762e-08       3.091707809480e-08 
       1.458428305012e-05       3.188033061061e-08       3.188101328665e-08       3.188101393288e-08       3.188101392885e-08       3.188028508934e-08       3.188098696020e-08 
       1.480988721427e-05       3.287425006200e-08       3.287497577750e-08       3.287497646340e-08       3.287497645911e-08       3.287420166578e-08       3.287494779035e-08 
       1.503898124752e-05       3.389915579644e-08       3.389992727093e-08       3.389992799898e-08       3.389992799442e-08       3.389910434344e-08       3.389989751812e-08 
       1.527161913464e-05       3.495601379207e-08       3.495683391712e-08       3.495683468995e-08       3.495683468511e-08       3.495595908897e-08       3.495680228705e-08 
       1.550785569548e-05       3.604582013792e-08       3.604669198803e-08       3.604669280842e-08       3.604669280329e-08       3.604576197917e-08       3.604665836204e-08 
       1.574774659788e-05       3.716960198035e-08       3.717052881953e-08       3.717052969045e-08       3.717052968500e-08       3.716954014738e-08       3.717049307162e-08 
       1.599134837084e-05       3.832841846629e-08       3.832940376770e-08       3.832940469239e-08       3.832940468659e-08       3.832835272629e-08       3.832936576387e-08 
       1.623871841779e-05       3.952336178449e-08       3.952440923132e-08       3.952441021293e-08       3.952441020677e-08       3.952329189151e-08       3.952436882927e-08 
       1.648991503011e-05       4.075555809333e-08       4.075667164148e-08       4.075667268360e-08       4.075667267706e-08       4.075548378471e-08       4.075662868855e-08 
       1.674499740094e-05       4.202616880179e-08       4.202735259146e-08       4.202735369786e-08       4.202735369091e-08       4.202608979826e-08       4.202730692782e-08 
