# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905923023e-08       1.525921710564e-08       1.525921726336e-08       1.525921726247e-08       1.525904874212e-08       1.525921102470e-08 
       1.024593865065e-05       1.573478998513e-08       1.573495776659e-08       1.573495793371e-08       1.573495793276e-08       1.573477883654e-08       1.573495130365e-08 
       1.040443299810e-05       1.622535240389e-08       1.622553071586e-08       1.622553089294e-08       1.622553089193e-08       1.622534055310e-08       1.622552384682e-08 
       1.056537909342e-05       1.673120887679e-08       1.673139838318e-08       1.673139857084e-08       1.673139856977e-08       1.673119627946e-08       1.673139108244e-08 
       1.072881486267e-05       1.725283620892e-08       1.725303761560e-08       1.725303781449e-08       1.725303781335e-08       1.725282281789e-08       1.725302985591e-08 
       1.089477881860e-05       1.779072606945e-08       1.779094012688e-08       1.779094033769e-08       1.779094033648e-08       1.779071183458e-08       1.779093187928e-08 
       1.106331006970e-05       1.834538545498e-08       1.834561296106e-08       1.834561318452e-08       1.834561318324e-08       1.834537032297e-08       1.834560419477e-08 
       1.123444832946e-05       1.891733716732e-08       1.891757897038e-08       1.891757920727e-08       1.891757920591e-08       1.891732108150e-08       1.891756965266e-08 
       1.140823392565e-05       1.950712030617e-08       1.950737730814e-08       1.950737755929e-08       1.950737755784e-08       1.950710320626e-08       1.950736740418e-08 
       1.158470780992e-05       2.011529077709e-08       2.011556393693e-08       2.011556420322e-08       2.011556420167e-08       2.011527259902e-08       2.011555340973e-08 
       1.176391156738e-05       2.074242181540e-08       2.074271215267e-08       2.074271243503e-08       2.074271243339e-08       2.074240249104e-08       2.074270096288e-08 
       1.194588742640e-05       2.138910452632e-08       2.138941312504e-08       2.138941342447e-08       2.138941342273e-08       2.138908398324e-08       2.138940123084e-08 
       1.213067826860e-05       2.205594844202e-08       2.205627645473e-08       2.205627677229e-08       2.205627677043e-08       2.205592660319e-08       2.205626381164e-08 
       1.231832763895e-05       2.274358209593e-08       2.274393074805e-08       2.274393108485e-08       2.274393108288e-08       2.274355887945e-08       2.274391730877e-08 
       1.250887975598e-05       2.345265361481e-08       2.345302420940e-08       2.345302456664e-08       2.345302456454e-08       2.345262893362e-08       2.345300992365e-08 
       1.270237952227e-05       2.418383133006e-08       2.418422525272e-08       2.418422563167e-08       2.418422562944e-08       2.418380509158e-08       2.418421006704e-08 
       1.289887253498e-05       2.493780440938e-08       2.493822313141e-08       2.493822353340e-08       2.493822353103e-08       2.493777651516e-08       2.493820698899e-08 
       1.309840509662e-05       2.571528349729e-08       2.571572858572e-08       2.571572901219e-08       2.571572900967e-08       2.571525384266e-08       2.571571142610e-08 
       1.330102422595e-05       2.651700139740e-08       2.651747451725e-08       2.651747496973e-08       2.651747496704e-08       2.651696987108e-08       2.651745627618e-08 
       1.350677766905e-05       2.734371375495e-08       2.734421667652e-08       2.734421715661e-08       2.734421715376e-08       2.734368023859e-08       2.734419728567e-08 
       1.371571391061e-05       2.819619977060e-08       2.819673437618e-08       2.819673488560e-08       2.819673488257e-08       2.819616413840e-08       2.819671376290e-08 
       1.392788218531e-05       2.907526293474e-08       2.907583122562e-08       2.907583176619e-08       2.907583176297e-08       2.907522505290e-08       2.907580931268e-08 
       1.414333248944e-05       2.998173178440e-08       2.998233588848e-08       2.998233646215e-08       2.998233645872e-08       2.998169151069e-08       2.998231259375e-08 
       1.436211559270e-05       3.091646068401e-08       3.091710286375e-08       3.091710347257e-08       3.091710346893e-08       3.091641786717e-08       3.091707809991e-08 
       1.458428305012e-05       3.188033063028e-08       3.188101329127e-08       3.188101393743e-08       3.188101393356e-08       3.188028510949e-08       3.188098696547e-08 
       1.480988721427e-05       3.287425008229e-08       3.287497578226e-08       3.287497646809e-08       3.287497646397e-08       3.287420168656e-08       3.287494779579e-08 
       1.503898124752e-05       3.389915581736e-08       3.389992727584e-08       3.389992800381e-08       3.389992799943e-08       3.389910436487e-08       3.389989752373e-08 
       1.527161913464e-05       3.495601381364e-08       3.495683392218e-08       3.495683469493e-08       3.495683469027e-08       3.495595911107e-08       3.495680229284e-08 
       1.550785569548e-05       3.604582016016e-08       3.604669199325e-08       3.604669281357e-08       3.604669280861e-08       3.604576200196e-08       3.604665836800e-08 
       1.574774659788e-05       3.716960200328e-08       3.717052882491e-08       3.717052969576e-08       3.717052969048e-08       3.716954017088e-08       3.717049307777e-08 
       1.599134837084e-05       3.832841848995e-08       3.832940377325e-08       3.832940469786e-08       3.832940469225e-08       3.832835275052e-08       3.832936577021e-08 
       1.623871841779e-05       3.952336180887e-08       3.952440923704e-08       3.952441021857e-08       3.952441021261e-08       3.952329191650e-08       3.952436883581e-08 
       1.648991503011e-05       4.075555811848e-08       4.075667164738e-08       4.075667268942e-08       4.075667268308e-08       4.075548381048e-08       4.075662869529e-08 
       1.674499740094e-05       4.202616882772e-08       4.202735259755e-08       4.202735370386e-08       4.202735369712e-08       4.202608982483e-08       4.202730693477e-08 
       1.700402563902e-05       4.333639134280e-08       4.333764983612e-08       4.333765101072e-08       4.333765100355e-08       4.333630734797e-08       4.333760128963e-08 
       1.726706078297e-05       4.468746057628e-08       4.468879857893e-08       4.468879978732e-08       4.468879977970e-08       4.468737138782e-08       4.468874693465e-08 
       1.753416481556e-05       4.608064991940e-08       4.608207226033e-08       4.608207358432e-08       4.608207357621e-08       4.608055497429e-08       4.608201739032e-08 
       1.780540067841e-05       4.751727227035e-08       4.751878439663e-08       4.751878580338e-08       4.751878579477e-08       4.751717132196e-08       4.751872606215e-08 
       1.808083228677e-05       4.899868166059e-08       4.900028923203e-08       4.900029072470e-08       4.900029071554e-08       4.899857433604e-08       4.900022721310e-08 
       1.836052454460e-05       5.052627418819e-08       5.052798325405e-08       5.052798484069e-08       5.052798483095e-08       5.052616007509e-08       5.052791731912e-08 
       1.864454335985e-05       5.210148955030e-08       5.210330652873e-08       5.210330821286e-08       5.210330820250e-08       5.210136822637e-08       5.210323642834e-08 
       1.893295566000e-05       5.372581226940e-08       5.372774398791e-08       5.372774577657e-08       5.372774576556e-08       5.372568327582e-08       5.372766945916e-08 
       1.922582940784e-05       5.540077314074e-08       5.540282686915e-08       5.540282876800e-08       5.540282875629e-08       5.540063599597e-08       5.540274763077e-08 
       1.952323361747e-05       5.712795079736e-08       5.713013418635e-08       5.713013620039e-08       5.713013618794e-08       5.712780499119e-08       5.713004994149e-08 
       1.982523837057e-05       5.890897284264e-08       5.891129410547e-08       5.891129624681e-08       5.891129623357e-08       5.890881781289e-08       5.891120454067e-08 
       2.013191483291e-05       6.074551772799e-08       6.074798559466e-08       6.074798787463e-08       6.074798786055e-08       6.074535287456e-08       6.074789037542e-08 
       2.044333527112e-05       6.263931631300e-08       6.264194003198e-08       6.264194244921e-08       6.264194243424e-08       6.263914105459e-08       6.264183879409e-08 
       2.075957306974e-05       6.459215357444e-08       6.459494272929e-08       6.459494529536e-08       6.459494527944e-08       6.459196724527e-08       6.459483510475e-08 
       2.108070274847e-05       6.660586926892e-08       6.660883451961e-08       6.660883724397e-08       6.660883722704e-08       6.660567116770e-08       6.660872009697e-08 
