# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905923006e-08       1.525921710560e-08       1.525921726332e-08       1.525921726243e-08       1.525904874195e-08       1.525921102465e-08 
       1.038448789616e-05       1.616320532715e-08       1.616338228747e-08       1.616338246327e-08       1.616338246228e-08       1.616319356651e-08       1.616337547056e-08 
       1.068772041737e-05       1.712092422782e-08       1.712112259100e-08       1.712112278702e-08       1.712112278590e-08       1.712091103979e-08       1.712111494869e-08 
       1.099980748807e-05       1.813539017128e-08       1.813561253763e-08       1.813561275626e-08       1.813561275500e-08       1.813537538215e-08       1.813560396957e-08 
       1.132100766576e-05       1.920996546407e-08       1.921021475053e-08       1.921021499444e-08       1.921021499303e-08       1.920994887896e-08       1.921020514416e-08 
       1.165158705797e-05       2.034821162154e-08       2.034849110023e-08       2.034849137244e-08       2.034849137085e-08       2.034819302181e-08       2.034848032930e-08 
       1.199181954271e-05       2.155390116919e-08       2.155421451077e-08       2.155421481464e-08       2.155421481286e-08       2.155388030957e-08       2.155420243362e-08 
       1.234198699538e-05       2.283103014305e-08       2.283138146527e-08       2.283138180456e-08       2.283138180257e-08       2.283100674836e-08       2.283136792299e-08 
       1.270237952227e-05       2.418383132979e-08       2.418422525266e-08       2.418422563161e-08       2.418422562937e-08       2.418380509130e-08       2.418421006696e-08 
       1.307329570095e-05       2.561678829586e-08       2.561722999975e-08       2.561723042308e-08       2.561723042057e-08       2.561675886723e-08       2.561721297071e-08 
       1.345504282758e-05       2.713465023172e-08       2.713514553112e-08       2.713514600415e-08       2.713514600134e-08       2.713461722436e-08       2.713512643434e-08 
       1.384793717157e-05       2.874244770095e-08       2.874300311770e-08       2.874300364637e-08       2.874300364321e-08       2.874241067893e-08       2.874298170147e-08 
       1.425230423754e-05       3.044550929912e-08       3.044613214975e-08       3.044613274073e-08       3.044613273719e-08       3.044546777333e-08       3.044610813170e-08 
