# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.000000000000e+14       7.561277649504e-26       4.636603989638e-09       2.156754404529e+22       1.433552182939e+04       1.433552182939e-10       1.433552182939e+18       2.676940257905e-09       2.749541967532e+44       2.519039726905e+33       1.112650056054e+20       1.266195763789e+34       2.725000000000e+14       0.000000000000e+00       7.965680626336e+34       1.435138604478e+31       3.913709850867e+05       3.828010583277e-08       1.902047593769e+44       4.651589561454e+44       4.651589561454e+44       1.550529853767e+44      -1.337644836586e+53       5.763879559008e-06       2.000000000000e+00 
       9.893085837570e+13       7.725596970674e-26       4.687535692938e-09       2.110883417175e+22       1.433552182939e+04       1.449044521068e-10       1.418225479845e+18       2.705870453111e-09       2.633828313174e+44       2.439104168582e+33       1.077342830646e+20       1.226016141275e+34       2.695865258403e+14       0.000000000000e+00       7.589543124125e+34       1.367371708548e+31      -2.328001643670e+21       3.828010583277e-08       1.822000487583e+44       4.455828800904e+44       4.455828800904e+44       1.485276266919e+44      -1.267651001210e+53       5.887791235407e-06       1.957909333121e+00 
       9.787314738953e+13       7.893481666394e-26       4.736648406833e-09       2.065988038113e+22       1.433552182939e+04       1.464704284244e-10       1.403062640914e+18       2.735112767719e-09       2.522984433477e+44       2.361705169494e+33       1.043155993593e+20       1.187111520709e+34       2.667042553736e+14       0.000000000000e+00       7.231170392878e+34       1.302805406492e+31      -2.526740452350e+21       3.828010583277e-08       1.745322140007e+44       4.268306573626e+44       4.268306573626e+44       1.422768857828e+44      -1.201319675385e+53       6.011702911560e-06       1.917553338227e+00 
       9.682674483178e+13       8.065013948000e-26       4.789399099536e-09       2.022047517593e+22       1.433552182939e+04       1.480533281822e-10       1.388061914205e+18       2.764671070825e-09       2.416805385427e+44       2.286762238145e+33       1.010053992113e+20       1.149441443025e+34       2.638528030874e+14       0.000000000000e+00       6.889719927925e+34       1.241287908269e+31      -2.614985987596e+21       3.828010583277e-08       1.671870777839e+44       4.088676163404e+44       4.088676163404e+44       1.362892054422e+44      -1.138459214003e+53       6.135614584290e-06       1.878827397014e+00 
       9.579152979933e+13       8.240273052952e-26       4.840330802836e-09       1.979041547180e+22       1.433552182939e+04       1.496533342710e-10       1.373221566509e+18       2.794548776461e-09       2.315094850973e+44       2.214197437238e+33       9.780024016069e+19       1.112966733029e+34       2.610318401559e+14       0.000000000000e+00       6.564392701700e+34       1.182675256904e+31      -2.583159250628e+21       3.828010583277e-08       1.601510594360e+44       3.916605445466e+44       3.916605445466e+44       1.305535148444e+44      -1.078888000009e+53       6.259526255080e-06       1.841634696496e+00 
       9.476738268169e+13       8.419340153212e-26       4.893081495538e-09       1.936950250372e+22       1.433552182939e+04       1.512706315583e-10       1.358539883148e+18       2.824749347677e-09       2.217664774052e+44       2.143935302626e+33       9.469678898526e+19       1.077649458652e+34       2.582410392836e+14       0.000000000000e+00       6.254427292009e+34       1.126830270597e+31      -2.487045781483e+21       3.828010583277e-08       1.534111498236e+44       3.751776272417e+44       3.751776272417e+44       1.250592090763e+44      -1.022433919676e+53       6.383437925584e-06       1.805885936030e+00 
       9.375418514718e+13       8.602298407058e-26       4.945832188241e-09       1.895754173409e+22       1.433552182939e+04       1.529054069094e-10       1.344015167774e+18       2.855276290338e-09       2.124335012885e+44       2.075902764832e+33       9.169181823464e+19       1.043452891510e+34       2.554800764827e+14       0.000000000000e+00       5.959098228950e+34       1.073622244905e+31      -2.380556731943e+21       3.828010583277e-08       1.469548872987e+44       3.593883885998e+44       3.593883885998e+44       1.197961295291e+44      -9.689338653267e+52       6.507349596505e-06       1.771498620397e+00 
       9.275182012925e+13       8.789232585429e-26       4.998582880944e-09       1.855434276284e+22       1.433552182939e+04       1.545578492089e-10       1.329645742179e+18       2.886133138979e-09       2.034933006906e+44       2.010029073060e+33       8.878220287368e+19       1.010341468702e+34       2.527486320568e+14       0.000000000000e+00       5.677714355460e+34       1.022926657363e+31      -2.285375728769e+21       3.828010583277e-08       1.407703346584e+44       3.442636353610e+44       3.442636353610e+44       1.147545451163e+44      -9.182332640869e+52       6.631261267994e-06       1.738396427084e+00 
       9.176017181296e+13       8.980228903240e-26       5.053152563050e-09       1.815971923944e+22       1.433552182939e+04       1.562281493829e-10       1.315429946093e+18       2.917323456645e-09       1.949293457706e+44       1.946245721616e+33       8.596491703252e+19       9.782807558301e+33       2.500463906160e+14       0.000000000000e+00       5.409617202777e+34       9.746248748018e+30      -2.194738779647e+21       3.828010583277e-08       1.348460570729e+44       3.297754028552e+44       3.297754028552e+44       1.099251342812e+44      -8.701856312879e+52       6.755172940017e-06       1.706508631389e+00 
       9.077912562158e+13       9.175375613745e-26       5.107722245157e-09       1.777348877674e+22       1.433552182939e+04       1.579165004205e-10       1.301366137001e+18       2.948850847023e-09       1.867258023415e+44       1.884486378669e+33       8.323703085993e+19       9.472374111860e+33       2.473730399481e+14       0.000000000000e+00       5.154179383127e+34       9.286038637646e+30      -2.108154457086e+21       3.828010583277e-08       1.291711009442e+44       3.158969032971e+44       3.158969032971e+44       1.052989677619e+44      -8.246521472439e+52       6.879084612472e-06       1.675769606686e+00 
