# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.0063e-05 to 722.317 h/Mpc,
# number of wavenumbers equal to 3929
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.006301081809e-05       2.584660331670e+05       2.584660330374e+05       2.584660245612e+05       3.446199631458e+05       3.446198006705e+05       0.000000000000e+00       2.610274396813e+05 
       1.010945956559e-05       2.584660321054e+05       2.584660319746e+05       2.584660234200e+05       3.446199486429e+05       3.446197846644e+05       0.000000000000e+00       2.610274381879e+05 
       1.015612271078e-05       2.584660311945e+05       2.584660310626e+05       2.584660224288e+05       3.446199342200e+05       3.446197687242e+05       0.000000000000e+00       2.610274368428e+05 
       1.020300124325e-05       2.584660303292e+05       2.584660301960e+05       2.584660214823e+05       3.446199197356e+05       3.446197527085e+05       0.000000000000e+00       2.610274355398e+05 
       1.025009615720e-05       2.584660292639e+05       2.584660291295e+05       2.584660203352e+05       3.446199048612e+05       3.446197362886e+05       0.000000000000e+00       2.610274340309e+05 
       1.029740845140e-05       2.584660284151e+05       2.584660282795e+05       2.584660194038e+05       3.446198901510e+05       3.446197200186e+05       0.000000000000e+00       2.610274327366e+05 
       1.034493912922e-05       2.584660272961e+05       2.584660271592e+05       2.584660182014e+05       3.446198749548e+05       3.446197032482e+05       0.000000000000e+00       2.610274311653e+05 
       1.039268919868e-05       2.584660264221e+05       2.584660262839e+05       2.584660172432e+05       3.446198599585e+05       3.446196866631e+05       0.000000000000e+00       2.610274298374e+05 
       1.044065967245e-05       2.584660254443e+05       2.584660253048e+05       2.584660161805e+05       3.446198446959e+05       3.446196697970e+05       0.000000000000e+00       2.610274284006e+05 
       1.048885156787e-05       2.584660245278e+05       2.584660243870e+05       2.584660151783e+05       3.446198293858e+05       3.446196528687e+05       0.000000000000e+00       2.610274270216e+05 
       1.053726590697e-05       2.584660234936e+05       2.584660233515e+05       2.584660140575e+05       3.446198137884e+05       3.446196356380e+05       0.000000000000e+00       2.610274255194e+05 
       1.058590371650e-05       2.584660223447e+05       2.584660222014e+05       2.584660128214e+05       3.446197979067e+05       3.446196181079e+05       0.000000000000e+00       2.610274238973e+05 
       1.063476602796e-05       2.584660213241e+05       2.584660211794e+05       2.584660117127e+05       3.446197820631e+05       3.446196006006e+05       0.000000000000e+00       2.610274224003e+05 
       1.068385387761e-05       2.584660202355e+05       2.584660200894e+05       2.584660105351e+05       3.446197659948e+05       3.446195828533e+05       0.000000000000e+00       2.610274208304e+05 
